dataset_id,long,lat,depositionalenvironment,region,ecozone_koppen_5,pollen_percentage,n_taxa_harmonised_per_sequence,n_sample_filtered_per_sequence,n_chron_control_filtered_per_sequence,max_pol_counts_per_sequence,min_pol_counts_per_sequence,mean_pol_counts_per_sequence,max_chronology_age_per_sequence,min_chronology_age_per_sequence,mean_chronology_age_per_sequence,max_chronology_age_error_per_sequence,min_chronology_age_error_per_sequence,mean_chronology_age_error_per_sequence,max_calibrated_age_per_sequence,min_calibrated_age_per_sequence,mean_calibrated_age_per_sequence,calibrated_age_range_per_sequence,max_calibrated_age_uncertainty_per_sequence,min_calibrated_age_uncertainty_per_sequence,mean_calibrated_age_uncertainty_per_sequence
46516,28.61129,59.61457,Lacustrine,Europe,Cold,FALSE,32,50,10,754,267,599,10603,-50,6351.6,388,50,142.1,10979.5,155,4135.26,10824.5,1761.77,160.53,943.44
26606,-93.72746,49.65882,Glacial Origin Lake,North America,Cold,FALSE,24,47,9,330,298,309,8570,-54,5445.11,70,1,37.89,10075,-7,6010.4,10082,870.54,112.01,423.38
22322,16.13167,50.585,Bog,Europe,Cold,FALSE,59,54,6,692,263,540,7504,-50,3884.5,90,1,42,8370,-50,3750.28,8420,919.05,2,559.7
48966,5.75969,52.24479,Natural Lake,Europe,Temperate,FALSE,60,102,22,2034,921,1158,11890,35,3872.5,130,20,51.36,11939,-36,5779.44,11975,1099.57,38.52,465.86
3565,-71.80778,46.89194,Bog,North America,Cold,FALSE,45,37,3,1296,259,594,7970,0,3840,140,1,87,9119,139,5045.54,8980,1656.42,356.54,1167.01
3032,-85.66111,46.42917,Lacustrine,North America,Cold,FALSE,38,42,6,992,508,689,9980,100,5330,135,50,81.67,11567,128,6247.87,11439,855.61,125.54,459.75
4383,8.32556,47.07556,Glacial Origin Lake,Europe,Cold,FALSE,66,124,9,1255,67,726,10740,0,6014.44,130,1,70.44,11974.5,0,8549.15,11974.5,673.62,2,448.97
45377,24.1,59.075,Bog,Europe,Cold,FALSE,56,142,9,2137,537,1226,10925,50,6349.44,318,5,199.11,11339,50,5148.61,11289,941.55,10,572.43
236,-79.78,47.23,Bog,North America,Cold,FALSE,32,38,3,238,202,216,9580,-30,5330,400,10,230,11917,9,6347.8,11908,4489.39,337.15,1937.31
4170,24.33333,41.98333,Swamp,Europe,Cold,FALSE,100,25,7,3000,816,1335,11875,0,6782.86,310,100,176.43,11705,142,7735.38,11563,1724.72,250.71,700.57
25372,4.07917,47.26194,Bog,Europe,Temperate,FALSE,84,56,5,2854,255,1202,6829,-52,4189.6,171,50,110.4,8458,-26,5141.27,8484,3804.79,62.5,1152.8
2642,-143.15,66.58333,Volcanic Origin Lake,North America,Cold,FALSE,30,41,7,510,289,342,17280,0,9024.29,400,70,213.86,11692,193,6276.7,11499,1790.36,233.08,866.37
46544,25.77353,58.48888,Bog,Europe,Cold,FALSE,64,47,8,2011,535,774,10193,698,4988.5,166,28,79.75,10876.5,349,4995.65,10527.5,1478.23,56.53,456.17
982,-85.11667,44.88333,Lacustrine,North America,Cold,FALSE,34,33,3,616,498,528,14015,-22,8212.67,500,5,335,11886,491.5,5341.8,11394.5,4119.25,1733.11,3441.25
13053,-101.261,20.383,Explosion Crater Lake,Latin America,Temperate,FALSE,18,62,5,432,28,332,7390,-51,3479.8,140,5,86,9818,-14,4565.24,9832,3504.81,237.02,890.44
26448,10.47833,46.87,Mire,Europe,Cold,FALSE,58,37,6,1647,125,644,10020,-13,4916.17,250,60,121.67,11908.5,51,6152.19,11857.5,1835.38,159.04,724.81
4042,13.67319,58.55679,Glacial Origin Lake,Europe,Cold,FALSE,48,113,14,3537,2646,2957,10330,0,5915.71,250,50,87.86,11907.5,225,6459.58,11682.5,619.02,125.04,275.97
3487,-97.36301,44.97734,Glacial Origin Lake,North America,Cold,FALSE,55,59,6,825,292,370,10940,0,3915,135,30,80.83,11868,-50,4849.85,11918,1706.77,16.5,899.17
21675,-76.5333,3.0833,Floodplain Mire,Latin America,Tropical,FALSE,89,38,8,521,54,311,8670,-47,3034,60,1,30.62,9763,-47,3090.57,9810,937.82,1,397.18
26499,11.01283,46.84566,Mire,Europe,Polar,FALSE,68,92,8,2066,1008,1238,9590,-15,6738.12,300,90,181.25,11517.5,497.5,7393.22,11020,1433.55,281.55,707.6
24840,-1.59583,47.27222,Bog,Europe,Temperate,FALSE,96,137,7,428,242,334,8174,592,4782.86,244,84,155.71,8391.5,487,4898.3,7904.5,978.35,173.05,339.27
15088,-85.50396,36.02755,Solution Origin Lake,North America,Temperate,FALSE,50,7,13,814,679,749,20950,115,14270.38,340,70,190.77,11176.5,-72,4689.57,11248.5,4020.49,2,2670.11
2395,-90.13333,20.86667,Solution Origin Lake,Latin America,Tropical,FALSE,28,31,6,601,165,299,8120,0,2889.83,1,1,1,8076,0,3873.27,8076,918.69,2,478.57
45347,9.83333,62.26667,Natural Lake,Europe,Polar,FALSE,52,68,9,816,429,595,10570,-49,6180.11,1,1,1,11432.5,45,6280.24,11387.5,1227.25,1.5,517.04
15922,-89.2827,46.2334,Kettle Lake,North America,Cold,FALSE,49,33,8,1046,458,603,9280,-46,4943,60,2,44,10438.5,46,5411.88,10392.5,1237.71,60.01,558.77
1010,-53.13333,47.32222,Fen,North America,Cold,FALSE,36,39,4,978,200,358,7290,-27,3770.75,150,14,83.5,8219.5,-27,4303.38,8246.5,1047.25,29.5,688.3
4542,32.63333,65.11667,Mire,Europe,Cold,FALSE,27,24,3,443,181,341,8990,0,5296.67,250,60,136.67,10979,590.5,5207.65,10388.5,3282.54,688.02,2008.09
14944,-112.23885,36.63046,Solution Origin Lake,North America,Cold,FALSE,33,18,5,940,373,462,11320,-45,5827,70,5,51,11987,52,6865.19,11935,1207.89,206.2,681.49
17402,-159.77674,60.21151,Moraine Dammed Lake,North America,Cold,FALSE,23,27,12,316,189,204,11200,-48,5469.33,170,1,63,11865.5,-6,5785.46,11871.5,896.06,237.08,543.88
234,-119.00833,37.59583,Glacial Scour Lake,North America,Cold,FALSE,45,32,6,802,370,488,11730,0,4247.5,860,30,300,11690.5,-2,4001.67,11692.5,2093.24,58,966.7
16081,-62.61486,45.66757,Glacial Scour Lake,North America,Cold,FALSE,41,37,9,830,264,316,13400,-35,7482.78,190,2,104.67,11657,-35,5014.23,11692,990.26,4,658.24
41421,0.67528,50.90583,Floodplain Mire,Europe,Temperate,FALSE,69,143,9,4533,155,1003,9960,0,5141.11,1,1,1,11409,284,5731.17,11125,904.57,62.54,431.04
1451,-71.56694,48.36583,Bog,North America,Cold,FALSE,44,31,3,818,270,532,7630,0,4076.67,120,1,72,8553.5,147,4758.05,8406.5,1811.64,533.6,1225.06
785,-80.25,44.37,Lacustrine,North America,Cold,FALSE,51,75,4,568,157,362,9750,0,5210,180,20,113.75,11974.5,21,6219.54,11953.5,4338.16,86.51,1288.61
2311,-154.23333,67.06667,Kettle Lake,North America,Cold,FALSE,25,42,9,474,186,314,13230,0,6887.78,264,50,121.56,11677,726,6680.69,10951,1115.02,281.64,616.95
3900,-1.85806,47.18611,Marsh,Europe,Temperate,FALSE,72,114,6,441,126,284,6380,-20,3650,360,50,145,8246,388,5174.75,7858,2963.29,179.05,859.5
2053,-95.28417,46.21194,Kettle Lake,North America,Cold,FALSE,50,41,7,532,262,343,11130,0,5744.29,240,5,157.86,11957,9,4993.72,11948,977.26,61.57,637.58
1149,-77.05,44.48333,Glacial Origin Lake,North America,Cold,FALSE,32,28,3,536,193,215,9230,500,6223.33,400,180,286.67,11813,551,6699.11,11262,2912.88,494.54,2114.23
46998,-79.11214,-4.25547,Natural Lake,Latin America,Temperate,FALSE,73,51,5,280,247,263,9262,-50,4504.8,88,5,51.4,10948.5,-50,5051.93,10998.5,2001.97,9.5,798.4
46490,29.97722,59.01111,Raised Bog,Europe,Cold,FALSE,29,56,26,404,61,229,9950,60,5017.69,330,65,121.92,11817,-72,5761.52,11889,693.32,0.5,260.81
210,-105.45,43.5,Playa,North America,Arid,FALSE,28,20,4,345,177,239,13020,0,6745,1000,165,496.25,11477.5,66,5137.88,11411.5,1993.4,200.52,1530.75
4136,28.99524,66.12667,Soligenous Mire,Europe,Cold,FALSE,42,29,8,2504,225,948,8240,-20,3481.25,190,50,120,9499.5,15,5134.12,9484.5,1204.76,108.01,515.43
45192,-6.07028,42.12611,Mire,Europe,Temperate,FALSE,95,63,12,496,329,420,15596,-59,6389.83,261,50,119.17,11841.5,-12,4290.49,11853.5,736.16,86.51,296.09
15232,-118.15429,51.03992,Glacial Origin Lake,North America,Cold,FALSE,26,29,4,1210,1004,1071,8330,-50,4602.5,540,2,170.5,9626,-50,4060.93,9676,2413.55,4,1024.94
41467,8.94329,46.05152,Glacial Origin Lake,Europe,Temperate,FALSE,118,326,28,8100,1850,3926,14520,350,5532.14,90,30,53.57,11941.5,12,5380.92,11929.5,498.14,79.51,194.04
3938,20.67577,52.54316,Periglacial Origin Lake,Europe,Cold,FALSE,84,265,4,1763,518,1105,11170,100,5547.5,160,50,115,11963,166,6117.31,11797,2061.28,251.06,1569.59
4113,20.83972,39.69194,Marsh,Europe,Temperate,FALSE,93,13,3,4952,385,1249,45800,0,16778.33,2200,1,747,10887.5,689,3705.85,10198.5,13080.83,760.08,3079.75
2619,-119.81667,37.95,Natural Lake,North America,Temperate,FALSE,40,47,6,715,290,382,13690,0,6147.5,680,1,220.17,11446,17,3919.87,11429,1697.64,96.07,806.41
22988,8.01819,46.66807,Glacial Origin Lake,Europe,Polar,FALSE,90,152,7,1029,91,443,7505,-45,2088.43,80,1,43.71,10396.5,-39,3639.17,10435.5,4409.44,10,1295.11
46803,-148.15282,60.68065,Glacial Scour Lake,North America,Cold,FALSE,46,70,17,1152,582,718,8500,-56,2624.35,70,1,31.82,10174,-56,4317.93,10230,883.1,2,337.95
24195,7.84417,46.28306,Valley Mire,Europe,Cold,FALSE,77,95,11,1808,90,664,8470,-14,3807.36,250,30,105.45,10769.5,112,6623.7,10657.5,2123.08,116.5,705.04
306,-69.45278,47.45778,Natural Lake,North America,Cold,FALSE,42,23,4,763,271,513,9140,0,5245,130,1,92.75,11718.5,502,7471.09,11216.5,3658.02,276.07,1277.68
847,-83.63,42.33,Lacustrine,North America,Cold,FALSE,35,25,8,226,99,191,12570,10,5967.5,350,20,201.25,11668,114,4252.22,11554,1228.17,202.61,652.57
45322,12.63333,37.61667,Lacustrine,Europe,Temperate,FALSE,57,65,5,971,235,379,8442,-58,4325,204,96,134.4,9922,-2,6422.41,9924,2724.08,121.01,1291.67
18108,-116.9055,49.49605,Cirque Lake,North America,Cold,FALSE,24,39,6,662,478,562,8600,-49,5336.33,150,1,51.83,9570.5,-49,4836.94,9619.5,1278.58,1.51,623.33
42745,-138.37522,61.0771,Glacial Origin Lake,North America,Cold,FALSE,33,93,3,565,476,504,10700,-49,5440.33,45,1,27,11863,-5,5963.95,11868,2076.16,177.51,1709.29
17689,-80.26015,43.26052,Kettle Lake,North America,Cold,FALSE,50,82,9,1023,125,471,11630,-44,6631.78,130,1,80.11,11823,700,7480.72,11123,845.29,158.53,354.07
340,-68.77344,44.93672,Raised Bog,North America,Cold,FALSE,40,16,7,505,310,378,9390,-28,5011.71,180,10,132.86,10808.5,60,5511.19,10748.5,758.03,217.56,498.64
40634,7.40306,46.42833,Fen,Europe,Cold,FALSE,60,37,13,1010,166,480,11100,-9,4735.92,250,42,118.62,11643,-59,5617.92,11702,1435.36,22.5,494.66
15970,-153.66508,62.55151,Glacial Scour Lake,North America,Cold,FALSE,33,47,4,435,147,341,8676,1450,5020,219,118,184.5,10690,609.5,5056.45,10080.5,3874.86,304.1,1168.95
17391,-162.11413,63.4461,Explosion Crater Lake,North America,Cold,FALSE,44,34,14,342,307,318,39000,-29,16302.21,550,80,230.71,11818,138,6597.56,11680,2050.61,295.07,1273.07
4539,22.86667,62.13333,Bog,Europe,Cold,FALSE,48,51,5,1291,549,671,8100,-40,3326,160,50,124,9236,-22,4251.64,9258,1411.05,63.01,741.45
25285,5.28333,45.79083,Bog,Europe,Temperate,FALSE,54,98,5,616,30,266,13939,-25,6274.4,553,5,271.4,11807.5,92,6243.62,11715.5,2137.47,415.1,1039.7
20293,29.29295,70.6989,Glacial Origin Lake,Europe,Cold,FALSE,54,66,18,1326,44,661,10360,1260,6342.39,192,36,110.78,10728.5,570.5,5615.5,10158,640.09,103.04,295.11
4251,-5.58229,57.62279,Valley Glacier Lake,Europe,Temperate,FALSE,55,57,7,1093,242,588,9085,-20,6019.29,120,25,78.57,10774,-19,5522.04,10793,904.82,48.52,447.54
2580,-120.66667,57.45,Glacial Origin Lake,North America,Cold,FALSE,28,26,6,442,276,324,10400,-33,6281.17,140,16,86,11925,-33,7051.54,11958,1194.4,34.51,681.9
41532,-144.35198,-27.60401,Mire,Oceania,Tropical,FALSE,33,30,6,274,28,172,7160,-52,2184.67,440,1,97.67,8112,-13,2474.65,8125,2094.59,40.05,838.01
22773,9.38111,47.17139,Bog,Europe,Cold,FALSE,54,66,11,1034,241,623,9800,-15,5115.91,125,50,101.36,11468,164,6367.43,11304,1124.75,157.5,439.26
784,21.9525,40.81806,Marsh,Europe,Temperate,FALSE,99,36,8,1946,261,700,10645,0,6629.38,250,45,87.5,11341.5,264,5586.68,11077.5,1305.07,177.03,684.51
4472,28.11667,61.21667,Bog,Europe,Cold,FALSE,47,81,8,2054,165,948,9680,0,5179.38,250,45,78.12,11132,117,5842.02,11015,815.86,85.04,335.37
45383,25.53861,59.48944,Lacustrine,Europe,Cold,FALSE,41,60,9,1731,72,1127,11073,0,5642.11,100,50,94.44,11680.5,50,6731.84,11630.5,1408.91,183.03,477.88
40564,8.83094,47.61335,Mire,Europe,Cold,FALSE,91,98,8,2022,68,613,15500,0,9137.5,100,100,100,11628,34,6819.86,11594,1898.06,143.04,987.71
