figure_key,figure_group,source_script,canonical_output,available_formats,reviewer_relevance,manuscript_selected,extended_data_number,status,notes
pollen_data_overview,data_overview,R/visualisations/extended_data_analysis/EDA_1_pollen_data.R,Extended_data_figure_1_manual_edit,"png;pdf",context,FALSE,,existing,"Retain until final figure selection; manually edited version is currently used."
human_presence_overview,human_presence,R/visualisations/extended_data_analysis/EDA_2_human_presence.R,Extended_data_figure_2,"png;pdf",context,FALSE,,existing,"Composite overview; component figures remain separate pending final selection."
legacy_hvarpart_core_examples,core_examples,R/visualisations/extended_data_analysis/EDA_4_example_records.R,Extended_data_figure_3_manual_edits,"png;pdf;svg",direct,FALSE,3,legacy,"Retained unchanged until the regenerated HVarPart core examples are accepted for the resubmission."
legacy_predictor_temporal,predictor_temporal,R/visualisations/extended_data_analysis/EDA_3_predictor_trends.R,Extended_data_figure_4_spd_to_8_prec_win,pdf,context,FALSE,"4-8",legacy,"Retained unchanged until the regenerated semantic predictor figures are reviewed."
hvarpart_core_examples,core_examples,R/visualisations/extended_data_analysis/EDA_4_example_records.R,Core_examples/HVarPart_core_temporal_examples,"png;pdf",direct,FALSE,,available,"Current HVarPart results beside current raw, interpolated, and fitted core trajectories."
predictor_spd,predictor_temporal,R/visualisations/extended_data_analysis/EDA_3_predictor_trends.R,Predictor_temporal_trends/Predictor_through_time_spd,"png;pdf",context,FALSE,,available,"Regenerated from the current temporal models."
predictor_temp_annual,predictor_temporal,R/visualisations/extended_data_analysis/EDA_3_predictor_trends.R,Predictor_temporal_trends/Predictor_through_time_temp_annual,"png;pdf",context,FALSE,,available,"Regenerated from the current temporal models."
predictor_temp_cold,predictor_temporal,R/visualisations/extended_data_analysis/EDA_3_predictor_trends.R,Predictor_temporal_trends/Predictor_through_time_temp_cold,"png;pdf",context,FALSE,,available,"Regenerated from the current temporal models."
predictor_prec_summer,predictor_temporal,R/visualisations/extended_data_analysis/EDA_3_predictor_trends.R,Predictor_temporal_trends/Predictor_through_time_prec_summer,"png;pdf",context,FALSE,,available,"Regenerated from the current temporal models."
predictor_prec_win,predictor_temporal,R/visualisations/extended_data_analysis/EDA_3_predictor_trends.R,Predictor_temporal_trends/Predictor_through_time_prec_win,"png;pdf",context,FALSE,,available,"Regenerated from the current temporal models."
pap_primary,pap_temporal,R/visualisations/extended_data_analysis/EDA_5_pap_temporal_trends.R,PAP_temporal_trends/PAP_through_time_primary,"png;pdf",direct,FALSE,,available,"Candidate overview; final PAP subset remains to be selected."
pap_all_metrics,pap_temporal,R/visualisations/extended_data_analysis/EDA_5_pap_temporal_trends.R,PAP_temporal_trends/PAP_through_time_<variable>,"png;pdf",direct,FALSE,,available,"Ten metric-specific figures across continent and climate-zone strata."
core_temporal_collection,core_diagnostics,R/visualisations/extended_data_analysis/EDA_6_core_temporal_trends.R,Core_temporal_trends/dataset_<dataset_id>,png,direct,FALSE,,available,"One raw, interpolated, and fitted diagnostic figure per eligible core."
legacy_event_temporal,event_temporal,R/visualisations/extended_data_analysis/EDA_2_human_presence.R,Extended_data_figure_9,"png;pdf",context,FALSE,9,legacy,"Retained unchanged until the regenerated event temporal figure is accepted for the resubmission."
event_temporal_trends,event_temporal,R/visualisations/extended_data_analysis/EDA_7_event_temporal_trends.R,Event_temporal_trends/Event_through_time,"png;pdf",context,FALSE,,available,"Regenerated from the current event models with posterior credible intervals and constant-response strata."
