region,climatezone_label,predictor,climatezone,importance_type,ratio
North America,POL,Climate,Polar,ratio_ind_wmean,0.8282047013033131
North America,POL,Humans,Polar,ratio_ind_wmean,0.1717952986966868
North America,CCS,Climate,Cold - Cold Summer,ratio_ind_wmean,0.7800695868641889
North America,CCS,Humans,Cold - Cold Summer,ratio_ind_wmean,0.21993041313581105
North America,CWS,Climate,Cold - Warm Summer,ratio_ind_wmean,0.7127495072693915
North America,CWS,Humans,Cold - Warm Summer,ratio_ind_wmean,0.2872504927306085
North America,CHS,Climate,Cold - Hot Summer,ratio_ind_wmean,0.7335039298823376
North America,CHS,Humans,Cold - Hot Summer,ratio_ind_wmean,0.26649607011766235
North America,CDW,Climate,NA,NA,0
North America,CDW,Humans,NA,NA,0
North America,CDS,Climate,Cold - Dry Summer,ratio_ind_wmean,0.710633776640153
North America,CDS,Humans,Cold - Dry Summer,ratio_ind_wmean,0.2893662233598469
North America,TMP,Climate,Temperate,ratio_ind_wmean,0.6368248094447118
North America,TMP,Humans,Temperate,ratio_ind_wmean,0.3631751905552882
North America,TDW,Climate,NA,NA,0
North America,TDW,Humans,NA,NA,0
North America,TDS,Climate,Temperate - Dry Summer,ratio_ind_wmean,0.6244798679340219
North America,TDS,Humans,Temperate - Dry Summer,ratio_ind_wmean,0.3755201320659782
North America,TRO,Climate,NA,NA,0
North America,TRO,Humans,NA,NA,0
North America,ARD,Climate,Arid,ratio_ind_wmean,0.6501107467742329
North America,ARD,Humans,Arid,ratio_ind_wmean,0.34988925322576714
Central & South America,POL,Climate,Polar,ratio_ind_wmean,0.7965582547946443
Central & South America,POL,Humans,Polar,ratio_ind_wmean,0.20344174520535588
Central & South America,CCS,Climate,NA,NA,0
Central & South America,CCS,Humans,NA,NA,0
Central & South America,CWS,Climate,NA,NA,0
Central & South America,CWS,Humans,NA,NA,0
Central & South America,CHS,Climate,NA,NA,0
Central & South America,CHS,Humans,NA,NA,0
Central & South America,CDW,Climate,NA,NA,0
Central & South America,CDW,Humans,NA,NA,0
Central & South America,CDS,Climate,Cold - Dry Summer,ratio_ind_wmean,0.921038870489803
Central & South America,CDS,Humans,Cold - Dry Summer,ratio_ind_wmean,0.07896112951019697
Central & South America,TMP,Climate,Temperate,ratio_ind_wmean,0.7069848994079223
Central & South America,TMP,Humans,Temperate,ratio_ind_wmean,0.2930151005920777
Central & South America,TDW,Climate,Temperate - Dry Winter,ratio_ind_wmean,0.7084257206208426
Central & South America,TDW,Humans,Temperate - Dry Winter,ratio_ind_wmean,0.2915742793791574
Central & South America,TDS,Climate,Temperate - Dry Summer,ratio_ind_wmean,0.9450651348474279
Central & South America,TDS,Humans,Temperate - Dry Summer,ratio_ind_wmean,0.05493486515257214
Central & South America,TRO,Climate,Tropical,ratio_ind_wmean,0.6862733554024638
Central & South America,TRO,Humans,Tropical,ratio_ind_wmean,0.31372664459753613
Central & South America,ARD,Climate,Arid,ratio_ind_wmean,0.7222864297720671
Central & South America,ARD,Humans,Arid,ratio_ind_wmean,0.27771357022793286
Europe,POL,Climate,Polar,ratio_ind_wmean,0.8174675692794513
Europe,POL,Humans,Polar,ratio_ind_wmean,0.18253243072054867
Europe,CCS,Climate,Cold - Cold Summer,ratio_ind_wmean,0.7943168574756567
Europe,CCS,Humans,Cold - Cold Summer,ratio_ind_wmean,0.20568314252434322
Europe,CWS,Climate,Cold - Warm Summer,ratio_ind_wmean,0.8201672158312117
Europe,CWS,Humans,Cold - Warm Summer,ratio_ind_wmean,0.1798327841687883
Europe,CHS,Climate,NA,NA,0
Europe,CHS,Humans,NA,NA,0
Europe,CDW,Climate,NA,NA,0
Europe,CDW,Humans,NA,NA,0
Europe,CDS,Climate,Cold - Dry Summer,ratio_ind_wmean,0.7609311518833072
Europe,CDS,Humans,Cold - Dry Summer,ratio_ind_wmean,0.23906884811669288
Europe,TMP,Climate,Temperate,ratio_ind_wmean,0.6735933689225402
Europe,TMP,Humans,Temperate,ratio_ind_wmean,0.3264066310774599
Europe,TDW,Climate,NA,NA,0
Europe,TDW,Humans,NA,NA,0
Europe,TDS,Climate,Temperate - Dry Summer,ratio_ind_wmean,0.837822045524752
Europe,TDS,Humans,Temperate - Dry Summer,ratio_ind_wmean,0.16217795447524788
Europe,TRO,Climate,NA,NA,0
Europe,TRO,Humans,NA,NA,0
Europe,ARD,Climate,Arid,ratio_ind_wmean,0.9921588455501738
Europe,ARD,Humans,Arid,ratio_ind_wmean,0.007841154449826328
Asia,POL,Climate,Polar,ratio_ind_wmean,0.7614078400000382
