x,y,n_groups,median_abs_correlation,q95_abs_correlation
dcca_axis_1,density_diversity,33,0.12326504676342875,0.3800175772774451
dcca_axis_1,density_turnover,33,0.12996897615036623,0.34537002915246817
dcca_axis_1,n0,33,0.12115372217564506,0.41909356549587207
dcca_axis_1,n1,33,0.14881964816276608,0.650914861414466
dcca_axis_1,n1_divided_by_n0,33,0.18671341125643448,0.5342839601266036
dcca_axis_1,n1_minus_n2,33,0.17917290240276101,0.5128135568518285
dcca_axis_1,n2,33,0.11032702810300299,0.6287914631840434
dcca_axis_1,n2_divided_by_n1,33,0.10711099437937224,0.4292618266843842
dcca_axis_1,roc,33,0.23762809572927626,0.44355264744888345
density_diversity,density_turnover,33,0.41253765046883645,0.5251375022390042
density_diversity,n0,33,0.12008082561526846,0.2975017091099059
density_diversity,n1,33,0.089046611883635,0.32404941697618916
density_diversity,n1_divided_by_n0,33,0.05871454725351603,0.21510547317496342
density_diversity,n1_minus_n2,33,0.10840888835025692,0.4011454518763359
density_diversity,n2,33,0.08578995689181777,0.28036134091292475
density_diversity,n2_divided_by_n1,33,0.08695109498603844,0.4074156965022869
density_diversity,roc,33,0.15520523490311094,0.34904153591322395
density_turnover,n0,33,0.08374428837821583,0.2399519135646219
density_turnover,n1,33,0.06475708796219246,0.24830634150973815
density_turnover,n1_divided_by_n0,33,0.07758977047407985,0.2626736143596236
density_turnover,n1_minus_n2,33,0.06949041280995229,0.23756834273373734
density_turnover,n2,33,0.07184443533591071,0.26874981491767125
density_turnover,n2_divided_by_n1,33,0.07038392864596933,0.2155112698490468
density_turnover,roc,33,0.38941659205118556,0.5261984155135266
n0,n1,33,0.6541948022238747,0.8593893212697123
n0,n1_divided_by_n0,33,0.3837663852701618,0.6844967225861955
n0,n1_minus_n2,33,0.8461094171999674,0.9500730645709327
n0,n2,33,0.4785048369495466,0.7474898455935839
n0,n2_divided_by_n1,33,0.5220032843054824,0.8165797845080951
n0,roc,33,0.2427387016175296,0.5755515152718664
n1,n1_divided_by_n0,33,0.4117114363280761,0.898243414899156
n1,n1_minus_n2,33,0.8502020932472975,0.9450756882723537
n1,n2,33,0.9577665582745032,0.9820243058084543
n1,n2_divided_by_n1,33,0.19892849773109547,0.5171446209673621
n1,roc,33,0.4612577157333835,0.6666735436976128
n1_divided_by_n0,n1_minus_n2,33,0.1920923201009,0.648258372777328
n1_divided_by_n0,n2,33,0.512775172949808,0.8909462804240538
n1_divided_by_n0,n2_divided_by_n1,33,0.6774532908740507,0.8426588704683033
n1_divided_by_n0,roc,33,0.35392830836955685,0.6953457224041724
n1_minus_n2,n2,33,0.6279959946430252,0.845838813106452
n1_minus_n2,n2_divided_by_n1,33,0.5342934173638823,0.8099337560143098
n1_minus_n2,roc,33,0.27538650293831585,0.5964138602154747
n2,n2_divided_by_n1,33,0.23683833779401808,0.5916533605358546
n2,roc,33,0.456709491050499,0.6926849561644955
n2_divided_by_n1,roc,33,0.2343076474383051,0.4674720016985212
