summary_level,region,climatezone,radius_km,n_datasets,n_series_available,n_valid_signal,n_available,proportion_valid_signal,proportion_available
overall,NA,NA,250,1270,1270,1044,1044,0.8220472440944881,0.8220472440944881
overall,NA,NA,500,1270,1270,1181,1181,0.9299212598425197,0.9299212598425197
region,Asia,NA,250,178,178,47,47,0.2640449438202247,0.2640449438202247
region,Europe,NA,250,397,397,383,383,0.964735516372796,0.964735516372796
region,Latin America,NA,250,88,88,65,65,0.7386363636363636,0.7386363636363636
region,North America,NA,250,558,558,512,512,0.9175627240143369,0.9175627240143369
region,Oceania,NA,250,49,49,37,37,0.7551020408163265,0.7551020408163265
region,Asia,NA,500,178,178,111,111,0.6235955056179775,0.6235955056179775
region,Europe,NA,500,397,397,397,397,1,1
region,Latin America,NA,500,88,88,80,80,0.9090909090909091,0.9090909090909091
region,North America,NA,500,558,558,555,555,0.9946236559139785,0.9946236559139785
region,Oceania,NA,500,49,49,38,38,0.7755102040816326,0.7755102040816326
climatezone,NA,Arid,250,63,63,40,40,0.6349206349206349,0.6349206349206349
climatezone,NA,Cold_Dry_Summer,250,65,65,58,58,0.8923076923076924,0.8923076923076924
climatezone,NA,Cold_Dry_Winter,250,36,36,17,17,0.4722222222222222,0.4722222222222222
climatezone,NA,Cold_Without_dry_season_Cold_Summer,250,272,272,215,215,0.7904411764705882,0.7904411764705882
climatezone,NA,Cold_Without_dry_season_Hot_Summer,250,57,57,55,55,0.9649122807017544,0.9649122807017544
climatezone,NA,Cold_Without_dry_season_Very_Cold_Summer,250,3,3,0,0,0,0
climatezone,NA,Cold_Without_dry_season_Warm_Summer,250,369,369,335,335,0.907859078590786,0.907859078590786
climatezone,NA,Polar,250,117,117,81,81,0.6923076923076923,0.6923076923076923
climatezone,NA,Temperate_Dry_Summer,250,47,47,46,46,0.9787234042553191,0.9787234042553191
climatezone,NA,Temperate_Dry_Winter,250,16,16,2,2,0.125,0.125
climatezone,NA,Temperate_Without_dry_season,250,194,194,182,182,0.9381443298969072,0.9381443298969072
climatezone,NA,Tropical,250,31,31,13,13,0.41935483870967744,0.41935483870967744
climatezone,NA,Arid,500,63,63,54,54,0.8571428571428571,0.8571428571428571
climatezone,NA,Cold_Dry_Summer,500,65,65,61,61,0.9384615384615385,0.9384615384615385
climatezone,NA,Cold_Dry_Winter,500,36,36,26,26,0.7222222222222222,0.7222222222222222
climatezone,NA,Cold_Without_dry_season_Cold_Summer,500,272,272,246,246,0.9044117647058824,0.9044117647058824
climatezone,NA,Cold_Without_dry_season_Hot_Summer,500,57,57,56,56,0.9824561403508771,0.9824561403508771
climatezone,NA,Cold_Without_dry_season_Very_Cold_Summer,500,3,3,0,0,0,0
climatezone,NA,Cold_Without_dry_season_Warm_Summer,500,369,369,368,368,0.997289972899729,0.997289972899729
climatezone,NA,Polar,500,117,117,103,103,0.8803418803418803,0.8803418803418803
climatezone,NA,Temperate_Dry_Summer,500,47,47,47,47,1,1
climatezone,NA,Temperate_Dry_Winter,500,16,16,10,10,0.625,0.625
climatezone,NA,Temperate_Without_dry_season,500,194,194,188,188,0.9690721649484536,0.9690721649484536
climatezone,NA,Tropical,500,31,31,22,22,0.7096774193548387,0.7096774193548387
region_and_climatezone,Asia,Arid,250,32,32,11,11,0.34375,0.34375
region_and_climatezone,Asia,Cold_Dry_Summer,250,8,8,4,4,0.5,0.5
region_and_climatezone,Asia,Cold_Dry_Winter,250,36,36,17,17,0.4722222222222222,0.4722222222222222
region_and_climatezone,Asia,Cold_Without_dry_season_Cold_Summer,250,34,34,0,0,0,0
region_and_climatezone,Asia,Cold_Without_dry_season_Hot_Summer,250,2,2,0,0,0,0
region_and_climatezone,Asia,Cold_Without_dry_season_Very_Cold_Summer,250,3,3,0,0,0,0
region_and_climatezone,Asia,Cold_Without_dry_season_Warm_Summer,250,19,19,4,4,0.21052631578947367,0.21052631578947367
region_and_climatezone,Asia,Polar,250,20,20,4,4,0.2,0.2
region_and_climatezone,Asia,Temperate_Dry_Summer,250,5,5,4,4,0.8,0.8
region_and_climatezone,Asia,Temperate_Dry_Winter,250,9,9,0,0,0,0
region_and_climatezone,Asia,Temperate_Without_dry_season,250,9,9,3,3,0.3333333333333333,0.3333333333333333
region_and_climatezone,Asia,Tropical,250,1,1,0,0,0,0
region_and_climatezone,Europe,Arid,250,7,7,7,7,1,1
region_and_climatezone,Europe,Cold_Dry_Summer,250,4,4,4,4,1,1
region_and_climatezone,Europe,Cold_Without_dry_season_Cold_Summer,250,95,95,92,92,0.968421052631579,0.968421052631579
region_and_climatezone,Europe,Cold_Without_dry_season_Warm_Summer,250,153,153,142,142,0.9281045751633987,0.9281045751633987
region_and_climatezone,Europe,Polar,250,30,30,30,30,1,1
region_and_climatezone,Europe,Temperate_Dry_Summer,250,15,15,15,15,1,1
region_and_climatezone,Europe,Temperate_Without_dry_season,250,93,93,93,93,1,1
region_and_climatezone,Latin America,Arid,250,6,6,4,4,0.6666666666666666,0.6666666666666666
region_and_climatezone,Latin America,Cold_Dry_Summer,250,2,2,2,2,1,1
region_and_climatezone,Latin America,Polar,250,27,27,23,23,0.8518518518518519,0.8518518518518519
region_and_climatezone,Latin America,Temperate_Dry_Summer,250,9,9,9,9,1,1
region_and_climatezone,Latin America,Temperate_Dry_Winter,250,6,6,1,1,0.16666666666666666,0.16666666666666666
region_and_climatezone,Latin America,Temperate_Without_dry_season,250,18,18,17,17,0.9444444444444444,0.9444444444444444
region_and_climatezone,Latin America,Tropical,250,20,20,9,9,0.45,0.45
region_and_climatezone,North America,Arid,250,17,17,17,17,1,1
region_and_climatezone,North America,Cold_Dry_Summer,250,51,51,48,48,0.9411764705882353,0.9411764705882353
region_and_climatezone,North America,Cold_Without_dry_season_Cold_Summer,250,142,142,122,122,0.8591549295774648,0.8591549295774648
region_and_climatezone,North America,Cold_Without_dry_season_Hot_Summer,250,55,55,55,55,1,1
region_and_climatezone,North America,Cold_Without_dry_season_Warm_Summer,250,195,195,187,187,0.958974358974359,0.958974358974359
region_and_climatezone,North America,Polar,250,38,38,24,24,0.631578947368421,0.631578947368421
region_and_climatezone,North America,Temperate_Dry_Summer,250,17,17,17,17,1,1
region_and_climatezone,North America,Temperate_Without_dry_season,250,42,42,42,42,1,1
region_and_climatezone,North America,Tropical,250,1,1,0,0,0,0
region_and_climatezone,Oceania,Arid,250,1,1,1,1,1,1
region_and_climatezone,Oceania,Cold_Without_dry_season_Cold_Summer,250,1,1,1,1,1,1
region_and_climatezone,Oceania,Cold_Without_dry_season_Warm_Summer,250,2,2,2,2,1,1
region_and_climatezone,Oceania,Polar,250,2,2,0,0,0,0
region_and_climatezone,Oceania,Temperate_Dry_Summer,250,1,1,1,1,1,1
region_and_climatezone,Oceania,Temperate_Dry_Winter,250,1,1,1,1,1,1
region_and_climatezone,Oceania,Temperate_Without_dry_season,250,32,32,27,27,0.84375,0.84375
region_and_climatezone,Oceania,Tropical,250,9,9,4,4,0.4444444444444444,0.4444444444444444
region_and_climatezone,Asia,Arid,500,32,32,23,23,0.71875,0.71875
region_and_climatezone,Asia,Cold_Dry_Summer,500,8,8,4,4,0.5,0.5
region_and_climatezone,Asia,Cold_Dry_Winter,500,36,36,26,26,0.7222222222222222,0.7222222222222222
region_and_climatezone,Asia,Cold_Without_dry_season_Cold_Summer,500,34,34,9,9,0.2647058823529412,0.2647058823529412
region_and_climatezone,Asia,Cold_Without_dry_season_Hot_Summer,500,2,2,1,1,0.5,0.5
region_and_climatezone,Asia,Cold_Without_dry_season_Very_Cold_Summer,500,3,3,0,0,0,0
region_and_climatezone,Asia,Cold_Without_dry_season_Warm_Summer,500,19,19,18,18,0.9473684210526315,0.9473684210526315
region_and_climatezone,Asia,Polar,500,20,20,10,10,0.5,0.5
region_and_climatezone,Asia,Temperate_Dry_Summer,500,5,5,5,5,1,1
region_and_climatezone,Asia,Temperate_Dry_Winter,500,9,9,7,7,0.7777777777777778,0.7777777777777778
region_and_climatezone,Asia,Temperate_Without_dry_season,500,9,9,8,8,0.8888888888888888,0.8888888888888888
region_and_climatezone,Asia,Tropical,500,1,1,0,0,0,0
region_and_climatezone,Europe,Arid,500,7,7,7,7,1,1
region_and_climatezone,Europe,Cold_Dry_Summer,500,4,4,4,4,1,1
region_and_climatezone,Europe,Cold_Without_dry_season_Cold_Summer,500,95,95,95,95,1,1
region_and_climatezone,Europe,Cold_Without_dry_season_Warm_Summer,500,153,153,153,153,1,1
region_and_climatezone,Europe,Polar,500,30,30,30,30,1,1
region_and_climatezone,Europe,Temperate_Dry_Summer,500,15,15,15,15,1,1
region_and_climatezone,Europe,Temperate_Without_dry_season,500,93,93,93,93,1,1
region_and_climatezone,Latin America,Arid,500,6,6,6,6,1,1
region_and_climatezone,Latin America,Cold_Dry_Summer,500,2,2,2,2,1,1
region_and_climatezone,Latin America,Polar,500,27,27,26,26,0.9629629629629629,0.9629629629629629
region_and_climatezone,Latin America,Temperate_Dry_Summer,500,9,9,9,9,1,1
region_and_climatezone,Latin America,Temperate_Dry_Winter,500,6,6,2,2,0.3333333333333333,0.3333333333333333
region_and_climatezone,Latin America,Temperate_Without_dry_season,500,18,18,18,18,1,1
region_and_climatezone,Latin America,Tropical,500,20,20,17,17,0.85,0.85
region_and_climatezone,North America,Arid,500,17,17,17,17,1,1
region_and_climatezone,North America,Cold_Dry_Summer,500,51,51,51,51,1,1
region_and_climatezone,North America,Cold_Without_dry_season_Cold_Summer,500,142,142,141,141,0.9929577464788732,0.9929577464788732
region_and_climatezone,North America,Cold_Without_dry_season_Hot_Summer,500,55,55,55,55,1,1
region_and_climatezone,North America,Cold_Without_dry_season_Warm_Summer,500,195,195,195,195,1,1
region_and_climatezone,North America,Polar,500,38,38,37,37,0.9736842105263158,0.9736842105263158
region_and_climatezone,North America,Temperate_Dry_Summer,500,17,17,17,17,1,1
region_and_climatezone,North America,Temperate_Without_dry_season,500,42,42,42,42,1,1
region_and_climatezone,North America,Tropical,500,1,1,0,0,0,0
region_and_climatezone,Oceania,Arid,500,1,1,1,1,1,1
region_and_climatezone,Oceania,Cold_Without_dry_season_Cold_Summer,500,1,1,1,1,1,1
region_and_climatezone,Oceania,Cold_Without_dry_season_Warm_Summer,500,2,2,2,2,1,1
