dataset_id,sample_id,region,climatezone,rowsum
46516,415168,Europe,Cold_Without_dry_season_Warm_Summer,541
46516,415169,Europe,Cold_Without_dry_season_Warm_Summer,665
46516,415170,Europe,Cold_Without_dry_season_Warm_Summer,592
46516,415171,Europe,Cold_Without_dry_season_Warm_Summer,661
46516,415172,Europe,Cold_Without_dry_season_Warm_Summer,734
46516,415173,Europe,Cold_Without_dry_season_Warm_Summer,670
46516,415174,Europe,Cold_Without_dry_season_Warm_Summer,647
46516,415175,Europe,Cold_Without_dry_season_Warm_Summer,629
46516,415176,Europe,Cold_Without_dry_season_Warm_Summer,599
46516,415177,Europe,Cold_Without_dry_season_Warm_Summer,708
46516,415178,Europe,Cold_Without_dry_season_Warm_Summer,691
46516,415179,Europe,Cold_Without_dry_season_Warm_Summer,666
46516,415180,Europe,Cold_Without_dry_season_Warm_Summer,720
46516,415181,Europe,Cold_Without_dry_season_Warm_Summer,641
46516,415182,Europe,Cold_Without_dry_season_Warm_Summer,737
46516,415183,Europe,Cold_Without_dry_season_Warm_Summer,717
46516,415184,Europe,Cold_Without_dry_season_Warm_Summer,267
46516,415185,Europe,Cold_Without_dry_season_Warm_Summer,754
46516,415186,Europe,Cold_Without_dry_season_Warm_Summer,632
46516,415187,Europe,Cold_Without_dry_season_Warm_Summer,676
46516,415188,Europe,Cold_Without_dry_season_Warm_Summer,676
46516,415189,Europe,Cold_Without_dry_season_Warm_Summer,640
46516,415190,Europe,Cold_Without_dry_season_Warm_Summer,339
46516,415191,Europe,Cold_Without_dry_season_Warm_Summer,559
46516,415192,Europe,Cold_Without_dry_season_Warm_Summer,574
46516,415193,Europe,Cold_Without_dry_season_Warm_Summer,711
46516,415194,Europe,Cold_Without_dry_season_Warm_Summer,687
46516,415195,Europe,Cold_Without_dry_season_Warm_Summer,598
46516,415196,Europe,Cold_Without_dry_season_Warm_Summer,640
46516,415197,Europe,Cold_Without_dry_season_Warm_Summer,689
46516,415198,Europe,Cold_Without_dry_season_Warm_Summer,527
46516,415199,Europe,Cold_Without_dry_season_Warm_Summer,715
46516,415200,Europe,Cold_Without_dry_season_Warm_Summer,503
46516,415201,Europe,Cold_Without_dry_season_Warm_Summer,440
46516,415202,Europe,Cold_Without_dry_season_Warm_Summer,514
46516,415203,Europe,Cold_Without_dry_season_Warm_Summer,368
46516,415204,Europe,Cold_Without_dry_season_Warm_Summer,455
46516,415205,Europe,Cold_Without_dry_season_Warm_Summer,401
46516,415206,Europe,Cold_Without_dry_season_Warm_Summer,745
46516,415207,Europe,Cold_Without_dry_season_Warm_Summer,386
46516,415208,Europe,Cold_Without_dry_season_Warm_Summer,566
46516,415209,Europe,Cold_Without_dry_season_Warm_Summer,663
46516,415210,Europe,Cold_Without_dry_season_Warm_Summer,693
46516,415211,Europe,Cold_Without_dry_season_Warm_Summer,538
46516,415212,Europe,Cold_Without_dry_season_Warm_Summer,683
46516,415213,Europe,Cold_Without_dry_season_Warm_Summer,563
46516,415214,Europe,Cold_Without_dry_season_Warm_Summer,548
46516,415215,Europe,Cold_Without_dry_season_Warm_Summer,624
46516,415216,Europe,Cold_Without_dry_season_Warm_Summer,506
46516,415217,Europe,Cold_Without_dry_season_Warm_Summer,472
26606,269903,North America,Cold_Without_dry_season_Warm_Summer,301
26606,269904,North America,Cold_Without_dry_season_Warm_Summer,310
26606,269905,North America,Cold_Without_dry_season_Warm_Summer,300
26606,269906,North America,Cold_Without_dry_season_Warm_Summer,307
26606,269907,North America,Cold_Without_dry_season_Warm_Summer,307
26606,269908,North America,Cold_Without_dry_season_Warm_Summer,308
26606,269909,North America,Cold_Without_dry_season_Warm_Summer,304
26606,269910,North America,Cold_Without_dry_season_Warm_Summer,298
26606,269911,North America,Cold_Without_dry_season_Warm_Summer,299
26606,269912,North America,Cold_Without_dry_season_Warm_Summer,306
26606,269913,North America,Cold_Without_dry_season_Warm_Summer,306
26606,269914,North America,Cold_Without_dry_season_Warm_Summer,312
26606,269915,North America,Cold_Without_dry_season_Warm_Summer,301
26606,269916,North America,Cold_Without_dry_season_Warm_Summer,309
26606,269917,North America,Cold_Without_dry_season_Warm_Summer,302
26606,269918,North America,Cold_Without_dry_season_Warm_Summer,307
26606,269919,North America,Cold_Without_dry_season_Warm_Summer,309
26606,269920,North America,Cold_Without_dry_season_Warm_Summer,313
26606,269921,North America,Cold_Without_dry_season_Warm_Summer,310
26606,269922,North America,Cold_Without_dry_season_Warm_Summer,307
26606,269923,North America,Cold_Without_dry_season_Warm_Summer,309
26606,269924,North America,Cold_Without_dry_season_Warm_Summer,304
26606,269925,North America,Cold_Without_dry_season_Warm_Summer,310
26606,269926,North America,Cold_Without_dry_season_Warm_Summer,318
26606,269927,North America,Cold_Without_dry_season_Warm_Summer,322
26606,269928,North America,Cold_Without_dry_season_Warm_Summer,308
26606,269929,North America,Cold_Without_dry_season_Warm_Summer,309
26606,269930,North America,Cold_Without_dry_season_Warm_Summer,309
26606,269931,North America,Cold_Without_dry_season_Warm_Summer,302
26606,269932,North America,Cold_Without_dry_season_Warm_Summer,326
26606,269933,North America,Cold_Without_dry_season_Warm_Summer,308
26606,269934,North America,Cold_Without_dry_season_Warm_Summer,310
26606,269935,North America,Cold_Without_dry_season_Warm_Summer,303
26606,269936,North America,Cold_Without_dry_season_Warm_Summer,309
26606,269937,North America,Cold_Without_dry_season_Warm_Summer,309
26606,269938,North America,Cold_Without_dry_season_Warm_Summer,330
26606,269939,North America,Cold_Without_dry_season_Warm_Summer,312
26606,269940,North America,Cold_Without_dry_season_Warm_Summer,310
