analysis,aggregation_level,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,signed_allocation,delta_from_signed,model_id,region,climatezone,age
h2_spd,analysis,climate,signed,20.627,26.166,0.7883130780402048,31,0.7883130780402048,0,NA,NA,NA,NA
h2_spd,analysis,human,signed,5.5376,26.166,0.21163341741190858,31,0.21163341741190858,0,NA,NA,NA,NA
spatial_events,analysis,climate,signed,64.3856,108.318,0.5944127476504366,257,0.5944127476504366,0,NA,NA,NA,NA
spatial_events,analysis,human,signed,43.9321,108.318,0.40558448272678593,257,0.40558448272678593,0,NA,NA,NA,NA
spatial_spd,analysis,climate,signed,313.6065,410.323,0.7642917896388942,1118,0.7642917896388942,0,NA,NA,NA,NA
spatial_spd,analysis,human,signed,96.7157,410.323,0.23570626067756378,1118,0.23570626067756378,0,NA,NA,NA,NA
temporal_events,analysis,climate,signed,7.6039,8.663,0.8777444303359113,76,0.8777444303359113,0,NA,NA,NA,NA
temporal_events,analysis,human,signed,1.0604,8.663,0.12240563315248759,76,0.12240563315248759,0,NA,NA,NA,NA
temporal_spd,analysis,climate,signed,7.093,7.87,0.9012706480304955,69,0.9012706480304955,0,NA,NA,NA,NA
temporal_spd,analysis,human,signed,0.7787,7.87,0.09894536213468869,69,0.09894536213468869,0,NA,NA,NA,NA
h2_spd,analysis,climate,zero_truncated,20.627,26.1646,0.7883552586318919,31,0.7883130780402048,4.2180591687146496e-5,NA,NA,NA,NA
h2_spd,analysis,human,zero_truncated,5.5376,26.1646,0.21164474136810807,31,0.21163341741190858,1.1323956199488228e-5,NA,NA,NA,NA
spatial_events,analysis,climate,zero_truncated,64.8272,109.3549,0.5928147709887714,257,0.5944127476504366,-0.001597976661665168,NA,NA,NA,NA
spatial_events,analysis,human,zero_truncated,44.5277,109.3549,0.4071852290112286,257,0.40558448272678593,0.0016007462844426779,NA,NA,NA,NA
spatial_spd,analysis,climate,zero_truncated,314.7576,416.2161,0.7562360033645984,1118,0.7642917896388942,-0.008055786274295818,NA,NA,NA,NA
spatial_spd,analysis,human,zero_truncated,101.4585,416.2161,0.24376399663540166,1118,0.23570626067756378,0.008057735957837875,NA,NA,NA,NA
temporal_events,analysis,climate,zero_truncated,7.6039,8.7351,0.870499479113004,76,0.8777444303359113,-0.007244951222907359,NA,NA,NA,NA
temporal_events,analysis,human,zero_truncated,1.1312,8.7351,0.12950052088699615,76,0.12240563315248759,0.007094887734508559,NA,NA,NA,NA
temporal_spd,analysis,climate,zero_truncated,7.093,7.8983,0.8980413506703975,69,0.9012706480304955,-0.003229297360098027,NA,NA,NA,NA
temporal_spd,analysis,human,zero_truncated,0.8053,7.8983,0.10195864932960258,69,0.09894536213468869,0.003013287194913894,NA,NA,NA,NA
h2_spd,analysis,climate,exclude_negative,20.627,26.166,0.7883130780402048,31,0.7883130780402048,0,NA,NA,NA,NA
h2_spd,analysis,human,exclude_negative,5.5376,26.166,0.21163341741190858,31,0.21163341741190858,0,NA,NA,NA,NA
spatial_events,analysis,climate,exclude_negative,59.7355,101.618,0.587843689110197,229,0.5944127476504366,-0.006569058540239592,NA,NA,NA,NA
spatial_events,analysis,human,exclude_negative,41.8819,101.618,0.41215040642405876,229,0.40558448272678593,0.006565923697272824,NA,NA,NA,NA
spatial_spd,analysis,climate,exclude_negative,253.2488,349.973,0.7236238224091572,891,0.7642917896388942,-0.04066796722973698,NA,NA,NA,NA
spatial_spd,analysis,human,exclude_negative,96.7189,349.973,0.2763610335654465,891,0.23570626067756378,0.04065477288788272,NA,NA,NA,NA
temporal_events,analysis,climate,exclude_negative,6.3938,7.523,0.8499003057290975,66,0.8777444303359113,-0.027844124606813847,NA,NA,NA,NA
temporal_events,analysis,human,exclude_negative,1.1312,7.523,0.1503655456599761,66,0.12240563315248759,0.0279599125074885,NA,NA,NA,NA
temporal_spd,analysis,climate,exclude_negative,6.6315,7.435,0.8919300605245462,64,0.9012706480304955,-0.00934058750594935,NA,NA,NA,NA
temporal_spd,analysis,human,exclude_negative,0.8053,7.435,0.10831203765971756,64,0.09894536213468869,0.009366675525028872,NA,NA,NA,NA
h2_spd,model,climate,signed,0.5843,0.699,0.8359084406294708,1,0.8359084406294708,0,analysis=h2_spd|region=Asia|climatezone=Arid,NA,NA,NA
h2_spd,model,human,signed,0.1143,0.699,0.16351931330472103,1,0.16351931330472103,0,analysis=h2_spd|region=Asia|climatezone=Arid,NA,NA,NA
h2_spd,model,climate,signed,0.8835,1.086,0.8135359116022098,1,0.8135359116022098,0,analysis=h2_spd|region=Asia|climatezone=Cold_Dry_Summer,NA,NA,NA
h2_spd,model,human,signed,0.2023,1.086,0.18627992633517496,1,0.18627992633517496,0,analysis=h2_spd|region=Asia|climatezone=Cold_Dry_Summer,NA,NA,NA
h2_spd,model,climate,signed,0.8045,1.061,0.7582469368520264,1,0.7582469368520264,0,analysis=h2_spd|region=Asia|climatezone=Cold_Dry_Winter,NA,NA,NA
h2_spd,model,human,signed,0.2566,1.061,0.24184731385485392,1,0.24184731385485392,0,analysis=h2_spd|region=Asia|climatezone=Cold_Dry_Winter,NA,NA,NA
h2_spd,model,climate,signed,0.5738,0.838,0.6847255369928401,1,0.6847255369928401,0,analysis=h2_spd|region=Asia|climatezone=Cold_Without_dry_season_Cold_Summer,NA,NA,NA
h2_spd,model,human,signed,0.264,0.838,0.3150357995226731,1,0.3150357995226731,0,analysis=h2_spd|region=Asia|climatezone=Cold_Without_dry_season_Cold_Summer,NA,NA,NA
h2_spd,model,climate,signed,0.4086,0.419,0.9751789976133652,1,0.9751789976133652,0,analysis=h2_spd|region=Asia|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
h2_spd,model,human,signed,0.0102,0.419,0.024343675417661102,1,0.024343675417661102,0,analysis=h2_spd|region=Asia|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
h2_spd,model,climate,signed,0.6599,0.947,0.6968321013727562,1,0.6968321013727562,0,analysis=h2_spd|region=Asia|climatezone=Polar,NA,NA,NA
