region,climatezone,climatezone_label,n_models,mean_adjusted_r_squared,sd_adjusted_r_squared,min_adjusted_r_squared,q1_adjusted_r_squared,median_adjusted_r_squared,q3_adjusted_r_squared,max_adjusted_r_squared
North America,Polar,POL,37,0.3332162162162162,0.16902944108039863,-0.053,0.246,0.347,0.456,0.676
North America,Cold - Cold Summer,CCS,139,0.3681438848920863,0.18909400933003773,-0.133,0.2575,0.379,0.507,0.786
North America,Cold - Warm Summer,CWS,195,0.41092307692307695,0.17309653831926453,-0.01,0.285,0.41,0.5475000000000001,0.842
North America,Cold - Hot Summer,CHS,53,0.3661320754716981,0.17987335691619782,0.058,0.245,0.372,0.436,1
North America,Cold - Dry Summer,CDS,49,0.33748979591836736,0.18739642944492693,-0.129,0.23,0.373,0.445,0.773
North America,Temperate,TMP,39,0.321,0.1825411273053137,-0.02,0.1775,0.322,0.4345,0.724
North America,Temperate - Dry Summer,TDS,17,0.2635882352941176,0.16971190987358895,-0.003,0.151,0.258,0.365,0.578
North America,Arid,ARD,17,0.254,0.16320998743949466,-0.022,0.132,0.258,0.349,0.544
Latin America,Polar,POL,24,0.37595833333333334,0.20072119516484999,-0.172,0.276,0.427,0.50525,0.653
Latin America,Cold - Dry Summer,CDS,2,0.3375,0.2085965004500315,0.19,0.26375000000000004,0.3375,0.41125,0.485
Latin America,Temperate,TMP,18,0.31027777777777776,0.2006183985332984,-0.035,0.14100000000000001,0.33899999999999997,0.44375,0.692
Latin America,Temperate - Dry Winter,TDW,2,0.37350000000000005,0.13364318164425748,0.279,0.32625000000000004,0.37350000000000005,0.42075000000000007,0.468
Latin America,Temperate - Dry Summer,TDS,9,0.24177777777777779,0.18196756426474595,-0.199,0.212,0.265,0.33,0.458
Latin America,Tropical,TRO,15,0.4192,0.19792321743544894,0.072,0.2575,0.406,0.556,0.763
Latin America,Arid,ARD,5,0.2882,0.2700642516143149,0.063,0.114,0.246,0.273,0.745
Europe,Polar,POL,30,0.34099999999999997,0.1341239776449772,0.055,0.25225,0.3525,0.42,0.613
Europe,Cold - Cold Summer,CCS,94,0.3399255319148936,0.17205308254163776,-0.171,0.2205,0.3435,0.44925000000000004,0.804
Europe,Cold - Warm Summer,CWS,153,0.29813071895424836,0.20298702618674327,-0.233,0.17,0.296,0.44,1
Europe,Cold - Dry Summer,CDS,4,0.38375000000000004,0.2935681351918154,-0.017,0.271,0.4435,0.55625,0.665
Europe,Temperate,TMP,93,0.371,0.1711888100772132,-0.209,0.267,0.372,0.477,0.76
Europe,Temperate - Dry Summer,TDS,14,0.31592857142857145,0.2169744629729904,0.015,0.17375,0.288,0.4845,0.637
Europe,Arid,ARD,7,0.33814285714285713,0.1805366339291729,0.034,0.247,0.382,0.4435,0.57
Asia,Polar,POL,10,0.3412,0.13852059614207396,0.198,0.26,0.3,0.34650000000000003,0.623
Asia,Cold - Cold Summer,CCS,9,0.4226666666666667,0.10400961494015828,0.268,0.339,0.408,0.498,0.599
Asia,Cold - Warm Summer,CWS,18,0.31655555555555553,0.2119220784162458,-0.184,0.19474999999999998,0.3675,0.486,0.626
Asia,Cold - Hot Summer,CHS,1,0.216,NA,0.216,0.216,0.216,0.216,0.216
Asia,Cold - Dry Winter,CDW,23,0.3448260869565217,0.18346628428775608,-0.115,0.279,0.343,0.4675,0.612
Asia,Cold - Dry Summer,CDS,4,0.34225,0.218785092423288,0.136,0.163,0.33899999999999997,0.51825,0.555
Asia,Temperate,TMP,7,0.46571428571428575,0.21574190930037546,0.069,0.3865,0.531,0.5935,0.7
Asia,Temperate - Dry Winter,TDW,6,0.36883333333333335,0.11027677301529396,0.282,0.2965,0.344,0.37275,0.58
Asia,Temperate - Dry Summer,TDS,5,0.3706,0.1823109980226097,0.16,0.209,0.395,0.518,0.571
Asia,Arid,ARD,21,0.2782857142857143,0.17645740076776117,-0.11,0.263,0.298,0.346,0.657
Oceania,Cold - Cold Summer,CCS,1,0.019,NA,0.019,0.019,0.019,0.019,0.019
Oceania,Cold - Warm Summer,CWS,1,0.162,NA,0.162,0.162,0.162,0.162,0.162
Oceania,Temperate,TMP,26,0.43646153846153846,0.22294685120346164,0.011,0.26125,0.4715,0.5954999999999999,0.837
Oceania,Temperate - Dry Winter,TDW,1,0.264,NA,0.264,0.264,0.264,0.264,0.264
Oceania,Temperate - Dry Summer,TDS,1,0.139,NA,0.139,0.139,0.139,0.139,0.139
Oceania,Tropical,TRO,5,0.3436,0.20895765121191423,-0.021,0.388,0.39,0.473,0.488
Oceania,Arid,ARD,1,0.345,NA,0.345,0.345,0.345,0.345,0.345
