model_id,dataset_id,region,climatezone,adjusted_r_squared,climatezone_label
analysis=spatial_spd|dataset_id=1001|region=North America|climatezone=Cold_Dry_Summer,1001,North America,Cold - Dry Summer,0.23,CDS
analysis=spatial_spd|dataset_id=1002|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,1002,North America,Cold - Warm Summer,0.335,CWS
analysis=spatial_spd|dataset_id=1003|region=North America|climatezone=Cold_Dry_Summer,1003,North America,Cold - Dry Summer,0.294,CDS
analysis=spatial_spd|dataset_id=1006|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,1006,North America,Cold - Cold Summer,0.526,CCS
analysis=spatial_spd|dataset_id=1010|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,1010,North America,Cold - Cold Summer,0.347,CCS
analysis=spatial_spd|dataset_id=1013|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,1013,North America,Cold - Warm Summer,0.311,CWS
analysis=spatial_spd|dataset_id=1024|region=North America|climatezone=Polar,1024,North America,Polar,0.676,POL
analysis=spatial_spd|dataset_id=1028|region=North America|climatezone=Polar,1028,North America,Polar,0.49,POL
analysis=spatial_spd|dataset_id=1030|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,1030,North America,Cold - Cold Summer,0.234,CCS
analysis=spatial_spd|dataset_id=1104|region=North America|climatezone=Cold_Dry_Summer,1104,North America,Cold - Dry Summer,0.344,CDS
analysis=spatial_spd|dataset_id=1105|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,1105,North America,Cold - Warm Summer,0.623,CWS
analysis=spatial_spd|dataset_id=1107|region=North America|climatezone=Polar,1107,North America,Polar,0.354,POL
analysis=spatial_spd|dataset_id=1142|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,1142,North America,Cold - Cold Summer,0.403,CCS
analysis=spatial_spd|dataset_id=1148|region=North America|climatezone=Temperate_Dry_Summer,1148,North America,Temperate - Dry Summer,0.457,TDS
analysis=spatial_spd|dataset_id=1149|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,1149,North America,Cold - Warm Summer,0.592,CWS
analysis=spatial_spd|dataset_id=1152|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,1152,North America,Cold - Cold Summer,0.333,CCS
analysis=spatial_spd|dataset_id=1153|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,1153,North America,Cold - Warm Summer,0.558,CWS
analysis=spatial_spd|dataset_id=1154|region=Latin America|climatezone=Temperate_Dry_Winter,1154,Latin America,Temperate - Dry Winter,0.468,TDW
analysis=spatial_spd|dataset_id=1157|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,1157,North America,Cold - Warm Summer,0.291,CWS
analysis=spatial_spd|dataset_id=1160|region=North America|climatezone=Temperate_Without_dry_season,1160,North America,Temperate,0.34,TMP
analysis=spatial_spd|dataset_id=12|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,12,Europe,Cold - Warm Summer,0.488,CWS
analysis=spatial_spd|dataset_id=13051|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,13051,North America,Cold - Warm Summer,0.282,CWS
analysis=spatial_spd|dataset_id=13097|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,13097,North America,Cold - Warm Summer,0.275,CWS
analysis=spatial_spd|dataset_id=1390|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,1390,North America,Cold - Cold Summer,0.43,CCS
analysis=spatial_spd|dataset_id=1391|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,1391,North America,Cold - Warm Summer,0.423,CWS
analysis=spatial_spd|dataset_id=1393|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,1393,North America,Cold - Cold Summer,0.674,CCS
analysis=spatial_spd|dataset_id=14110|region=Europe|climatezone=Temperate_Without_dry_season,14110,Europe,Temperate,0.458,TMP
analysis=spatial_spd|dataset_id=14134|region=Asia|climatezone=Temperate_Without_dry_season,14134,Asia,Temperate,0.541,TMP
analysis=spatial_spd|dataset_id=14264|region=Latin America|climatezone=Tropical,14264,Latin America,Tropical,0.072,TRO
analysis=spatial_spd|dataset_id=14274|region=Europe|climatezone=Temperate_Without_dry_season,14274,Europe,Temperate,0.505,TMP
