analysis,model_id,dataset_id,region,climatezone,age,has_required_predictors,model_result_available,varpart_available,has_finite_varpart,total_adjusted_r_squared,varpart_total,unique_human,unique_climate,shared,human_individual_importance,climate_individual_importance,unexplained,explained_component_sum,accounting_residual,full_component_sum,full_accounting_residual,varpart_total_residual,has_finite_decomposition,accounting_within_tolerance,has_negative_unique_human,has_negative_unique_climate,has_negative_shared,has_negative_unexplained,bounded_total_adjusted_r_squared,bounded_unique_human,bounded_unique_climate,bounded_shared,bounded_unexplained,bounded_component_sum,bounded_accounting_residual
spatial_events,analysis=spatial_events|dataset_id=1001|region=North America|climatezone=Cold_Dry_Summer,1001,North America,Cold_Dry_Summer,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
spatial_events,analysis=spatial_events|dataset_id=1002|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,1002,North America,Cold_Without_dry_season_Warm_Summer,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
spatial_events,analysis=spatial_events|dataset_id=1003|region=North America|climatezone=Cold_Dry_Summer,1003,North America,Cold_Dry_Summer,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
spatial_events,analysis=spatial_events|dataset_id=1006|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,1006,North America,Cold_Without_dry_season_Cold_Summer,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
spatial_events,analysis=spatial_events|dataset_id=1010|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,1010,North America,Cold_Without_dry_season_Cold_Summer,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
spatial_events,analysis=spatial_events|dataset_id=1013|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,1013,North America,Cold_Without_dry_season_Warm_Summer,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
spatial_events,analysis=spatial_events|dataset_id=1024|region=North America|climatezone=Polar,1024,North America,Polar,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
spatial_events,analysis=spatial_events|dataset_id=1028|region=North America|climatezone=Polar,1028,North America,Polar,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
spatial_events,analysis=spatial_events|dataset_id=1030|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,1030,North America,Cold_Without_dry_season_Cold_Summer,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
spatial_events,analysis=spatial_events|dataset_id=1104|region=North America|climatezone=Cold_Dry_Summer,1104,North America,Cold_Dry_Summer,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
spatial_events,analysis=spatial_events|dataset_id=1105|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,1105,North America,Cold_Without_dry_season_Warm_Summer,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
spatial_events,analysis=spatial_events|dataset_id=1107|region=North America|climatezone=Polar,1107,North America,Polar,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
spatial_events,analysis=spatial_events|dataset_id=1142|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,1142,North America,Cold_Without_dry_season_Cold_Summer,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
