analysis,region,climatezone,n_models,n_available,n_accounting_valid,total_adjusted_r_squared_sum,total_adjusted_r_squared_mean,unique_human_sum,unique_human_mean,unique_climate_sum,unique_climate_mean,shared_sum,shared_mean,unexplained_sum,unexplained_mean,bounded_total_adjusted_r_squared_sum,bounded_total_adjusted_r_squared_mean,bounded_unique_human_sum,bounded_unique_human_mean,bounded_unique_climate_sum,bounded_unique_climate_mean,bounded_shared_sum,bounded_shared_mean,bounded_unexplained_sum,bounded_unexplained_mean
spatial_events,Asia,Arid,32,10,10,3.547,0.3547,1.0027,0.10027,1.361,0.1361,1.1831,0.11831,6.452999999999999,0.6453,3.575,0.3575,0.9538777662812797,0.09538777662812797,1.3068798840482199,0.130687988404822,1.3142423496705002,0.13142423496705002,6.425,0.6425
spatial_events,Asia,Cold_Dry_Summer,8,3,3,1.718,0.5726666666666667,0.4484,0.14946666666666666,0.7582,0.25273333333333337,0.5111,0.17036666666666667,1.282,0.42733333333333334,1.718,0.5726666666666667,0.448335639070977,0.14944521302365898,0.758487926771883,0.252829308923961,0.5111764341571398,0.1703921447190466,1.282,0.42733333333333334
spatial_events,Asia,Cold_Dry_Winter,35,5,5,2.245,0.449,0.6534,0.13068,0.9891,0.19782,0.6031,0.12062,2.755,0.5509999999999999,2.245,0.449,0.6340609389815187,0.12681218779630377,0.9358972666559235,0.1871794533311847,0.6750417943625577,0.13500835887251156,2.755,0.5509999999999999
spatial_events,Asia,Cold_Without_dry_season_Cold_Summer,34,3,3,1.33,0.44333333333333336,0.014599999999999993,0.004866666666666665,0.6817,0.22723333333333334,0.6341,0.21136666666666667,1.67,0.5566666666666666,1.33,0.44333333333333336,0.07003801945181255,0.023346006483937518,0.6546727877606929,0.21822426258689764,0.6052891927874946,0.20176306426249818,1.67,0.5566666666666666
spatial_events,Asia,Cold_Without_dry_season_Hot_Summer,2,1,1,0.282,0.282,0.0588,0.0588,0.1601,0.1601,0.0626,0.0626,0.718,0.718,0.282,0.282,0.058904440497335696,0.058904440497335696,0.1603843694493783,0.1603843694493783,0.06271119005328597,0.06271119005328597,0.718,0.718
spatial_events,Asia,Cold_Without_dry_season_Very_Cold_Summer,3,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
spatial_events,Asia,Cold_Without_dry_season_Warm_Summer,19,6,6,2.305,0.38416666666666666,0.6372,0.1062,1.532,0.25533333333333336,0.137,0.022833333333333337,3.6950000000000003,0.6158333333333333,2.305,0.38416666666666666,0.5619766588492134,0.09366277647486891,1.35528971707752,0.22588161951292,0.3877336240732665,0.06462227067887774,3.6950000000000003,0.6158333333333333
spatial_events,Asia,Polar,20,8,8,2.946,0.36825,0.682,0.08525,1.6885,0.2110625,0.5753999999999999,0.07192499999999999,5.053999999999999,0.6317499999999999,2.946,0.36825,0.5236707457053547,0.06545884321316933,1.4903204223280284,0.18629005279100355,0.932008831966617,0.11650110399582712,5.053999999999999,0.6317499999999999
spatial_events,Asia,Temperate_Dry_Summer,5,5,5,2.425,0.485,0.416,0.0832,0.5618000000000001,0.11236,1.4457,0.28914,2.575,0.515,2.425,0.485,0.5331177051552178,0.10662354103104357,0.5393380052131088,0.10786760104262176,1.3525442896316733,0.2705088579263346,2.575,0.515
spatial_events,Asia,Temperate_Dry_Winter,9,1,1,0.731,0.731,0.0995,0.0995,0.5742,0.5742,0.0577,0.0577,0.269,0.269,0.731,0.731,0.09944558381186765,0.09944558381186765,0.5738859721082854,0.5738859721082854,0.057668444079846864,0.057668444079846864,0.269,0.269
spatial_events,Asia,Temperate_Without_dry_season,9,4,4,1.895,0.47375,0.251,0.06275,1.2385,0.309625,0.4057,0.101425,2.105,0.52625,1.895,0.47375,0.2483281869835498,0.06208204674588745,1.158639392206561,0.28965984805164025,0.48803242080988907,0.12200810520247227,2.105,0.52625
spatial_events,Asia,Tropical,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
spatial_events,Europe,Arid,7,6,6,3.039,0.5065,1.1003,0.18338333333333334,1.2792000000000001,0.2132,0.6595,0.10991666666666666,2.961,0.4935,3.039,0.5065,1.0896256800009518,0.18160428000015866,1.239546146316552,0.20659102438609198,0.709828173682496,0.11830469561374933,2.961,0.4935
spatial_events,Europe,Cold_Dry_Summer,4,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
spatial_events,Europe,Cold_Without_dry_season_Cold_Summer,95,28,28,11.143,0.3979642857142857,2.4331,0.08689642857142857,5.7918,0.20685,2.9165,0.10416071428571429,16.857,0.6020357142857142,11.143,0.3979642857142857,2.513795368917228,0.08977840603275813,5.612035753095679,0.20042984832484564,3.017168877987094,0.10775603135668194,16.857,0.6020357142857142
spatial_events,Europe,Cold_Without_dry_season_Warm_Summer,153,48,48,18.837,0.3924375,8.5926,0.1790125,5.8906,0.12272083333333333,4.3545,0.09071875,29.163,0.6075625,18.882,0.393375,7.827584973472049,0.16307468694733435,5.9305039797304255,0.12355216624438387,5.1239110467975255,0.10674814680828178,29.118,0.606625
spatial_events,Europe,Polar,30,8,8,3.305,0.413125,1.2878,0.160975,0.5023,0.0627875,1.514,0.18925,4.695,0.586875,3.367,0.420875,1.2560186487003133,0.15700233108753917,0.826213197597616,0.103276649699702,1.2847681537020705,0.16059601921275882,4.633,0.579125
spatial_events,Europe,Temperate_Dry_Summer,14,7,7,3.229,0.4612857142857143,0.8872,0.12674285714285713,1.3581,0.19401428571428572,0.9845,0.14064285714285715,3.771,0.5387142857142857,3.229,0.4612857142857143,0.8186152450123901,0.11694503500177002,1.300218421459859,0.18574548877997987,1.110166333527751,0.15859519050396442,3.771,0.5387142857142857
spatial_events,Europe,Temperate_Without_dry_season,93,37,37,16.925,0.4574324324324324,6.7155000000000005,0.1815,6.347,0.17154054054054055,3.862,0.10437837837837838,20.075,0.5425675675675675,16.938,0.45778378378378376,6.329238079736415,0.17106048864152473,6.397255632883785,0.17289880088875093,4.2115062873798,0.11382449425350812,20.062,0.5422162162162162
spatial_events,Latin America,Arid,6,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
spatial_events,Latin America,Cold_Dry_Summer,2,1,1,0.24,0.24,0.0502,0.0502,-0.0912,-0.0912,0.2813,0.2813,0.76,0.76,0.24,0.24,0.036343891402714934,0.036343891402714934,0,0,0.20365610859728506,0.20365610859728506,0.76,0.76
spatial_events,Latin America,Polar,26,7,7,1.794,0.2562857142857143,0.2639,0.0377,1.6729,0.2389857142857143,-0.14250000000000002,-0.02035714285714286,5.206,0.7437142857142858,1.794,0.2562857142857143,0.27292850736759366,0.038989786766799095,1.4193608846929633,0.20276584067042333,0.10171060793944306,0.014530086848491866,5.206,0.7437142857142858
spatial_events,Latin America,Temperate_Dry_Summer,9,5,5,1.657,0.3314,0.0695,0.0139,1.4235,0.2847,0.1648,0.03296,3.343,0.6686000000000001,1.657,0.3314,0.17078085387892833,0.034156170775785664,1.2874185073426214,0.2574837014685243,0.19880063877845036,0.03976012775569007,3.343,0.6686000000000001
spatial_events,Latin America,Temperate_Dry_Winter,6,1,1,0.385,0.385,0.0635,0.0635,0.3822,0.3822,-0.0609,-0.0609,0.615,0.615,0.385,0.385,0.05485191833071573,0.05485191833071573,0.3301480816692843,0.3301480816692843,0,0,0.615,0.615
