analysis,region,age,n_models,n_available,n_accounting_valid,total_adjusted_r_squared_sum,total_adjusted_r_squared_mean,unique_human_sum,unique_human_mean,unique_climate_sum,unique_climate_mean,shared_sum,shared_mean,unexplained_sum,unexplained_mean,bounded_total_adjusted_r_squared_sum,bounded_total_adjusted_r_squared_mean,bounded_unique_human_sum,bounded_unique_human_mean,bounded_unique_climate_sum,bounded_unique_climate_mean,bounded_shared_sum,bounded_shared_mean,bounded_unexplained_sum,bounded_unexplained_mean
temporal_events,Asia,500,1,1,1,0.136,0.136,0.0419,0.0419,0.0491,0.0491,0.0454,0.0454,0.864,0.864,0.136,0.136,0.04177712609970675,0.04177712609970675,0.04895601173020528,0.04895601173020528,0.04526686217008798,0.04526686217008798,0.864,0.864
temporal_events,Asia,1000,1,1,1,0.094,0.094,0.0347,0.0347,0.0264,0.0264,0.033,0.033,0.906,0.906,0.094,0.094,0.034663124335812964,0.034663124335812964,0.02637194473963868,0.02637194473963868,0.03296493092454835,0.03296493092454835,0.906,0.906
temporal_events,Asia,1500,1,1,1,0.103,0.103,0.0388,0.0388,0.0283,0.0283,0.0362,0.0362,0.897,0.897,0.103,0.103,0.03868731848983543,0.03868731848983543,0.028217812197483056,0.028217812197483056,0.03609486931268151,0.03609486931268151,0.897,0.897
temporal_events,Asia,2000,1,1,1,0.112,0.112,0.0425,0.0425,0.0393,0.0393,0.03,0.03,0.888,0.888,0.112,0.112,0.04257602862254025,0.04257602862254025,0.039370304114490155,0.039370304114490155,0.030053667262969583,0.030053667262969583,0.888,0.888
temporal_events,Asia,2500,1,1,1,0.107,0.107,0.0235,0.0235,0.0474,0.0474,0.0362,0.0362,0.893,0.893,0.107,0.107,0.023478057889822594,0.023478057889822594,0.04735574229691877,0.04735574229691877,0.03616619981325864,0.03616619981325864,0.893,0.893
temporal_events,Asia,3000,1,1,1,0.114,0.114,0.0324,0.0324,0.0564,0.0564,0.0253,0.0253,0.886,0.886,0.114,0.114,0.03237160385626643,0.03237160385626643,0.05635056967572305,0.05635056967572305,0.02527782646801052,0.02527782646801052,0.886,0.886
temporal_events,Asia,3500,1,1,1,0.099,0.099,0.0085,0.0085,0.0772,0.0772,0.0131,0.0131,0.901,0.901,0.099,0.099,0.008517206477732795,0.008517206477732795,0.07735627530364374,0.07735627530364374,0.013126518218623484,0.013126518218623484,0.901,0.901
temporal_events,Asia,4000,1,1,1,0.079,0.079,0.0074,0.0074,0.0651,0.0651,0.0066,0.0066,0.921,0.921,0.079,0.079,0.007390644753476612,0.007390644753476612,0.06501769911504425,0.06501769911504425,0.00659165613147914,0.00659165613147914,0.921,0.921
temporal_events,Asia,4500,1,1,1,0.097,0.097,0.0125,0.0125,0.0735,0.0735,0.0106,0.0106,0.903,0.903,0.097,0.097,0.012551759834368532,0.012551759834368532,0.07380434782608696,0.07380434782608696,0.010643892339544514,0.010643892339544514,0.903,0.903
temporal_events,Asia,5000,1,1,1,0.098,0.098,0.0168,0.0168,0.0708,0.0708,0.0101,0.0101,0.902,0.902,0.098,0.098,0.016851586489252817,0.016851586489252817,0.0710174002047083,0.0710174002047083,0.010131013306038895,0.010131013306038895,0.902,0.902
temporal_events,Asia,5500,1,1,1,0.104,0.104,0.0103,0.0103,0.0889,0.0889,0.0049,0.0049,0.896,0.896,0.104,0.104,0.01029010566762728,0.01029010566762728,0.0888146013448607,0.0888146013448607,0.004895292987512007,0.004895292987512007,0.896,0.896
temporal_events,Asia,6000,1,1,1,0.103,0.103,0.0059,0.0059,0.0944,0.0944,0.0023,0.0023,0.897,0.897,0.103,0.103,0.005923001949317738,0.005923001949317738,0.0947680311890838,0.0947680311890838,0.00230896686159844,0.00230896686159844,0.897,0.897
temporal_events,Asia,6500,1,1,1,0.109,0.109,3e-4,3e-4,0.1059,0.1059,0.0027,0.0027,0.891,0.891,0.109,0.109,3.002754820936639e-4,3.002754820936639e-4,0.10599724517906337,0.10599724517906337,0.0027024793388429756,0.0027024793388429756,0.891,0.891
temporal_events,Asia,7000,1,1,1,0.12,0.12,9e-4,9e-4,0.1167,0.1167,0.0019,0.0019,0.88,0.88,0.12,0.12,9.03765690376569e-4,9.03765690376569e-4,0.11718828451882844,0.11718828451882844,0.001907949790794979,0.001907949790794979,0.88,0.88
temporal_events,Asia,7500,1,1,1,0.145,0.145,0.0056,0.0056,0.1343,0.1343,0.0047,0.0047,0.855,0.855,0.145,0.145,0.0056154910096818805,0.0056154910096818805,0.13467150760719226,0.13467150760719226,0.004713001383125865,0.004713001383125865,0.855,0.855
temporal_events,Asia,8000,1,1,1,0.163,0.163,0.0041,0.0041,0.1553,0.1553,0.0036,0.0036,0.837,0.837,0.163,0.163,0.004100000000000001,0.004100000000000001,0.15530000000000002,0.15530000000000002,0.0036000000000000008,0.0036000000000000008,0.837,0.837
temporal_events,Asia,8500,1,1,1,0.168,0.168,0.0054,0.0054,0.1501,0.1501,0.0121,0.0121,0.832,0.832,0.168,0.168,0.005412887828162292,0.005412887828162292,0.15045823389021484,0.15045823389021484,0.012128878281622913,0.012128878281622913,0.832,0.832
temporal_events,Europe,500,1,1,1,0.082,0.082,0.0085,0.0085,0.0609,0.0609,0.0121,0.0121,0.918,0.918,0.082,0.082,0.008552147239263804,0.008552147239263804,0.06127361963190184,0.06127361963190184,0.012174233128834354,0.012174233128834354,0.918,0.918
temporal_events,Europe,1000,1,1,1,0.124,0.124,0.0125,0.0125,0.0969,0.0969,0.0145,0.0145,0.876,0.876,0.124,0.124,0.012510088781275222,0.012510088781275222,0.09697820823244552,0.09697820823244552,0.014511702986279258,0.014511702986279258,0.876,0.876
temporal_events,Europe,1500,1,1,1,0.115,0.115,0.0171,0.0171,0.0871,0.0871,0.0112,0.0112,0.885,0.885,0.115,0.115,0.017040727902946275,0.017040727902946275,0.08679809358752166,0.08679809358752166,0.011161178509532063,0.011161178509532063,0.885,0.885
temporal_events,Europe,2000,1,1,1,0.111,0.111,0.0143,0.0143,0.0845,0.0845,0.012,0.012,0.889,0.889,0.111,0.111,0.014325812274368232,0.014325812274368232,0.08465252707581228,0.08465252707581228,0.012021660649819495,0.012021660649819495,0.889,0.889
temporal_events,Europe,2500,1,1,1,0.085,0.085,0.0067,0.0067,0.0684,0.0684,0.0098,0.0098,0.915,0.915,0.085,0.085,0.00670789163722026,0.00670789163722026,0.06848056537102473,0.06848056537102473,0.009811542991755006,0.009811542991755006,0.915,0.915
temporal_events,Europe,3000,1,1,1,0.07,0.07,0.008,0.008,0.058,0.058,0.004,0.004,0.9299999999999999,0.9299999999999999,0.07,0.07,0.008,0.008,0.058,0.058,0.004,0.004,0.9299999999999999,0.9299999999999999
temporal_events,Europe,3500,1,1,1,0.076,0.076,0.0128,0.0128,0.0612,0.0612,0.002,0.002,0.924,0.924,0.076,0.076,0.0128,0.0128,0.0612,0.0612,0.002,0.002,0.924,0.924
temporal_events,Europe,4000,1,1,1,0.086,0.086,0.007,0.007,0.0793,0.0793,-1e-4,-1e-4,0.914,0.914,0.086,0.086,0.006975666280417149,0.006975666280417149,0.07902433371958284,0.07902433371958284,0,0,0.914,0.914
temporal_events,Europe,4500,1,1,1,0.089,0.089,0.004,0.004,0.0859,0.0859,-0.001,-0.001,0.911,0.911,0.089,0.089,0.003959955506117908,0.003959955506117908,0.08504004449388208,0.08504004449388208,0,0,0.911,0.911
temporal_events,Europe,5000,1,1,1,0.076,0.076,0.0106,0.0106,0.0686,0.0686,-0.0026,-0.0026,0.924,0.924,0.076,0.076,0.010171717171717172,0.010171717171717172,0.06582828282828283,0.06582828282828283,0,0,0.924,0.924
temporal_events,Europe,5500,1,1,1,0.088,0.088,0.0047,0.0047,0.0855,0.0855,-0.0025,-0.0025,0.912,0.912,0.088,0.088,0.004585365853658536,0.004585365853658536,0.08341463414634145,0.08341463414634145,0,0,0.912,0.912
temporal_events,Europe,6000,1,1,1,0.083,0.083,0.0068,0.0068,0.0793,0.0793,-0.0034,-0.0034,0.917,0.917,0.083,0.083,0.0065551684088269455,0.0065551684088269455,0.07644483159117306,0.07644483159117306,0,0,0.917,0.917
temporal_events,Europe,6500,1,1,1,0.068,0.068,0.0043,0.0043,0.0678,0.0678,-0.0042,-0.0042,0.9319999999999999,0.9319999999999999,0.068,0.068,0.0040554785020804444,0.0040554785020804444,0.06394452149791957,0.06394452149791957,0,0,0.9319999999999999,0.9319999999999999
temporal_events,Europe,7000,1,1,1,0.083,0.083,0.0114,0.0114,0.0746,0.0746,-0.003,-0.003,0.917,0.917,0.083,0.083,0.01100232558139535,0.01100232558139535,0.07199767441860466,0.07199767441860466,0,0,0.917,0.917
temporal_events,Europe,7500,1,1,1,0.092,0.092,0.0166,0.0166,0.0817,0.0817,-0.006,-0.006,0.908,0.908,0.092,0.092,0.015536113936927772,0.015536113936927772,0.07646388606307222,0.07646388606307222,0,0,0.908,0.908
temporal_events,Europe,8000,1,1,1,0.088,0.088,0.0105,0.0105,0.0785,0.0785,-0.0015,-0.0015,0.912,0.912,0.088,0.088,0.010382022471910113,0.010382022471910113,0.07761797752808988,0.07761797752808988,0,0,0.912,0.912
temporal_events,Europe,8500,1,1,1,0.078,0.078,0.0036,0.0036,0.0732,0.0732,0.0013,0.0013,0.922,0.922,0.078,0.078,0.0035953905249679896,0.0035953905249679896,0.07310627400768245,0.07310627400768245,0.0012983354673495517,0.0012983354673495517,0.922,0.922
temporal_events,Latin America,500,1,1,1,0.078,0.078,0.0061,0.0061,0.0651,0.0651,0.0073,0.0073,0.922,0.922,0.078,0.078,0.006061146496815287,0.006061146496815287,0.06468535031847135,0.06468535031847135,0.007253503184713376,0.007253503184713376,0.922,0.922
temporal_events,Latin America,1000,1,1,1,0.112,0.112,0.0016,0.0016,0.1057,0.1057,0.0048,0.0048,0.888,0.888,0.112,0.112,0.0015985727029438,0.0015985727029438,0.1056057091882248,0.1056057091882248,0.0047957181088314,0.0047957181088314,0.888,0.888
temporal_events,Latin America,1500,1,1,1,0.129,0.129,-0.0019,-0.0019,0.1259,0.1259,0.0054,0.0054,0.871,0.871,0.129,0.129,0,0,0.1236945925361767,0.1236945925361767,0.005305407463823306,0.005305407463823306,0.871,0.871
temporal_events,Latin America,2000,1,1,1,0.157,0.157,0.0031,0.0031,0.1484,0.1484,0.0054,0.0054,0.843,0.843,0.157,0.157,0.003101975780752072,0.003101975780752072,0.14849458253664757,0.14849458253664757,0.0054034416826003835,0.0054034416826003835,0.843,0.843
temporal_events,Latin America,2500,1,1,1,0.158,0.158,0.0042,0.0042,0.1294,0.1294,0.0244,0.0244,0.842,0.842,0.158,0.158,0.0042,0.0042,0.1294,0.1294,0.0244,0.0244,0.842,0.842
temporal_events,Latin America,3000,1,1,1,0.159,0.159,-0.0067,-0.0067,0.1534,0.1534,0.0123,0.0123,0.841,0.841,0.159,0.159,0,0,0.14719734459867231,0.14719734459867231,0.0118026554013277,0.0118026554013277,0.841,0.841
temporal_events,Latin America,3500,1,1,1,0.183,0.183,0.0034,0.0034,0.1438,0.1438,0.0357,0.0357,0.817,0.817,0.183,0.183,0.0034018589393110983,0.0034018589393110983,0.14387862219792236,0.14387862219792236,0.03571951886276654,0.03571951886276654,0.817,0.817
temporal_events,Latin America,4000,1,1,1,0.189,0.189,0.0094,0.0094,0.1721,0.1721,0.0073,0.0073,0.8109999999999999,0.8109999999999999,0.189,0.189,0.009409957627118645,0.009409957627118645,0.17228230932203392,0.17228230932203392,0.0073077330508474585,0.0073077330508474585,0.8109999999999999,0.8109999999999999
temporal_events,Latin America,4500,1,1,1,0.178,0.178,0.0021,0.0021,0.1574,0.1574,0.0187,0.0187,0.8220000000000001,0.8220000000000001,0.178,0.178,0.0020976430976430973,0.0020976430976430973,0.1572233445566779,0.1572233445566779,0.018679012345679015,0.018679012345679015,0.8220000000000001,0.8220000000000001
temporal_events,Latin America,5000,1,1,1,0.158,0.158,-0.0073,-0.0073,0.1597,0.1597,0.006,0.006,0.842,0.842,0.158,0.158,0,0,0.15227881713940855,0.15227881713940855,0.00572118286059143,0.00572118286059143,0.842,0.842
temporal_events,Latin America,5500,1,1,1,0.149,0.149,-0.0043,-0.0043,0.1516,0.1516,0.0016,0.0016,0.851,0.851,0.149,0.149,0,0,0.14744386422976502,0.14744386422976502,0.0015561357702349868,0.0015561357702349868,0.851,0.851
temporal_events,Latin America,6000,1,1,1,0.159,0.159,0.0039,0.0039,0.1648,0.1648,-0.0101,-0.0101,0.841,0.841,0.159,0.159,0.0036757557794902195,0.0036757557794902195,0.1553242442205098,0.1553242442205098,0,0,0.841,0.841
temporal_events,Latin America,6500,1,1,1,0.164,0.164,0.0011,0.0011,0.1588,0.1588,0.0044,0.0044,0.836,0.836,0.164,0.164,0.0010979914790018263,0.0010979914790018263,0.1585100426049909,0.1585100426049909,0.004391965916007305,0.004391965916007305,0.836,0.836
temporal_events,Latin America,7000,1,1,1,0.132,0.132,0.0058,0.0058,0.122,0.122,0.004,0.004,0.868,0.868,0.132,0.132,0.005808801213960546,0.005808801213960546,0.12218512898330804,0.12218512898330804,0.004006069802731411,0.004006069802731411,0.868,0.868
temporal_events,Latin America,7500,1,1,1,0.143,0.143,0.0017,0.0017,0.1395,0.1395,0.0019,0.0019,0.857,0.857,0.143,0.143,0.001698812019566736,0.001698812019566736,0.13940251572327042,0.13940251572327042,0.0018986722571628226,0.0018986722571628226,0.857,0.857
temporal_events,Latin America,8000,1,1,1,0.11,0.11,-0.0043,-0.0043,0.1166,0.1166,-0.0028,-0.0028,0.89,0.89,0.11,0.11,0,0,0.11,0.11,0,0,0.89,0.89
temporal_events,Latin America,8500,1,1,1,0.117,0.117,-0.0038,-0.0038,0.1233,0.1233,-0.0028,-0.0028,0.883,0.883,0.117,0.117,0,0,0.117,0.117,0,0,0.883,0.883
temporal_events,North America,500,1,1,1,0.156,0.156,0.0373,0.0373,0.0839,0.0839,0.0349,0.0349,0.844,0.844,0.156,0.156,0.03727610506085842,0.03727610506085842,0.0838462524023062,0.0838462524023062,0.034877642536835354,0.034877642536835354,0.844,0.844
temporal_events,North America,1000,1,1,1,0.11,0.11,0.01,0.01,0.0911,0.0911,0.0093,0.0093,0.89,0.89,0.11,0.11,0.00996376811594203,0.00996376811594203,0.09076992753623188,0.09076992753623188,0.009266304347826087,0.009266304347826087,0.89,0.89
temporal_events,North America,1500,1,1,1,0.101,0.101,6e-4,6e-4,0.0924,0.0924,0.0076,0.0076,0.899,0.899,0.101,0.101,6.023856858846918e-4,6.023856858846918e-4,0.09276739562624255,0.09276739562624255,0.007630218687872764,0.007630218687872764,0.899,0.899
temporal_events,North America,2000,1,1,1,0.098,0.098,0,0,0.0907,0.0907,0.0071,0.0071,0.902,0.902,0.098,0.098,0,0,0.09088548057259714,0.09088548057259714,0.007114519427402864,0.007114519427402864,0.902,0.902
temporal_events,North America,2500,1,1,1,0.102,0.102,0.0017,0.0017,0.091,0.091,0.009,0.009,0.898,0.898,0.102,0.102,0.0017050147492625371,0.0017050147492625371,0.0912684365781711,0.0912684365781711,0.009026548672566373,0.009026548672566373,0.898,0.898
temporal_events,North America,3000,1,1,1,0.105,0.105,0.0035,0.0035,0.0926,0.0926,0.0086,0.0086,0.895,0.895,0.105,0.105,0.003510028653295129,0.003510028653295129,0.09286532951289399,0.09286532951289399,0.008624641833810889,0.008624641833810889,0.895,0.895
temporal_events,North America,3500,1,1,1,0.105,0.105,0.0038,0.0038,0.092,0.092,0.009,0.009,0.895,0.895,0.105,0.105,0.003807251908396947,0.003807251908396947,0.09217557251908398,0.09217557251908398,0.009017175572519085,0.009017175572519085,0.895,0.895
temporal_events,North America,4000,1,1,1,0.096,0.096,0.0056,0.0056,0.0818,0.0818,0.0091,0.0091,0.904,0.904,0.096,0.096,0.00557098445595855,0.00557098445595855,0.08137616580310882,0.08137616580310882,0.009052849740932643,0.009052849740932643,0.904,0.904
temporal_events,North America,4500,1,1,1,0.102,0.102,0.004,0.004,0.0906,0.0906,0.0077,0.0077,0.898,0.898,0.102,0.102,0.003988269794721408,0.003988269794721408,0.09033431085043987,0.09033431085043987,0.007677419354838709,0.007677419354838709,0.898,0.898
temporal_events,North America,5000,1,1,1,0.106,0.106,0.0055,0.0055,0.0936,0.0936,0.0064,0.0064,0.894,0.894,0.106,0.106,0.0055260663507109,0.0055260663507109,0.09404360189573459,0.09404360189573459,0.006430331753554502,0.006430331753554502,0.894,0.894
temporal_events,North America,5500,1,1,1,0.092,0.092,0.0056,0.0056,0.0796,0.0796,0.0066,0.0066,0.908,0.908,0.092,0.092,0.005612200435729848,0.005612200435729848,0.07977342047930285,0.07977342047930285,0.0066143790849673215,0.0066143790849673215,0.908,0.908
temporal_events,North America,6000,1,1,1,0.095,0.095,0.0036,0.0036,0.0854,0.0854,0.0055,0.0055,0.905,0.905,0.095,0.095,0.0036190476190476185,0.0036190476190476185,0.08585185185185185,0.08585185185185185,0.005529100529100528,0.005529100529100528,0.905,0.905
temporal_events,North America,6500,1,1,1,0.1,0.1,0.0011,0.0011,0.095,0.095,0.004,0.004,0.9,0.9,0.1,0.1,0.001098901098901099,0.001098901098901099,0.0949050949050949,0.0949050949050949,0.003996003996003996,0.003996003996003996,0.9,0.9
temporal_events,North America,7000,1,1,1,0.097,0.097,-4e-4,-4e-4,0.0939,0.0939,0.003,0.003,0.903,0.903,0.097,0.097,0,0,0.09399690402476779,0.09399690402476779,0.003003095975232198,0.003003095975232198,0.903,0.903
temporal_events,North America,7500,1,1,1,0.088,0.088,1e-4,1e-4,0.0844,0.0844,0.0034,0.0034,0.912,0.912,0.088,0.088,1.0011376564277589e-4,1.0011376564277589e-4,0.08449601820250284,0.08449601820250284,0.00340386803185438,0.00340386803185438,0.912,0.912
temporal_events,North America,8000,1,1,1,0.104,0.104,0.0015,0.0015,0.0989,0.0989,0.0038,0.0038,0.896,0.896,0.104,0.104,0.0014971209213051823,0.0014971209213051823,0.09871017274472169,0.09871017274472169,0.0037927063339731285,0.0037927063339731285,0.896,0.896
temporal_events,North America,8500,1,1,1,0.102,0.102,0.0022,0.0022,0.0977,0.0977,0.0016,0.0016,0.898,0.898,0.102,0.102,0.0022108374384236457,0.0022108374384236457,0.09818128078817734,0.09818128078817734,0.001607881773399015,0.001607881773399015,0.898,0.898
