dataset_id,n_input_rows,n_unique_ages,n_collapsed_rows,had_repeated_ages
46516,14,14,0,FALSE
26606,14,14,0,FALSE
22322,13,13,0,FALSE
48966,14,14,0,FALSE
3565,14,14,0,FALSE
3032,14,14,0,FALSE
4383,14,14,0,FALSE
45377,13,13,0,FALSE
236,14,14,0,FALSE
4170,14,14,0,FALSE
25372,13,13,0,FALSE
2642,19,10,9,TRUE
46544,14,14,0,FALSE
982,14,14,0,FALSE
13053,13,13,0,FALSE
26448,14,14,0,FALSE
4042,13,13,0,FALSE
3487,13,13,0,FALSE
21675,13,13,0,FALSE
26499,17,14,3,TRUE
24840,13,13,0,FALSE
2395,12,12,0,FALSE
45347,14,14,0,FALSE
15922,14,14,0,FALSE
1010,13,13,0,FALSE
4542,14,14,0,FALSE
14944,13,13,0,FALSE
17402,13,13,0,FALSE
234,14,14,0,FALSE
16081,14,14,0,FALSE
41421,14,14,0,FALSE
1451,13,13,0,FALSE
785,14,14,0,FALSE
2311,17,14,3,TRUE
3900,13,13,0,FALSE
2053,14,14,0,FALSE
1149,17,14,3,TRUE
46998,14,14,0,FALSE
46490,14,14,0,FALSE
210,14,14,0,FALSE
4136,14,14,0,FALSE
45192,14,14,0,FALSE
15232,14,14,0,FALSE
41467,13,13,0,FALSE
3938,13,13,0,FALSE
2619,14,14,0,FALSE
22988,13,13,0,FALSE
46803,13,13,0,FALSE
24195,13,13,0,FALSE
306,14,14,0,FALSE
847,14,14,0,FALSE
45322,13,13,0,FALSE
18108,14,14,0,FALSE
42745,14,14,0,FALSE
17689,14,14,0,FALSE
340,14,14,0,FALSE
40634,14,14,0,FALSE
15970,17,14,3,TRUE
17391,14,14,0,FALSE
4539,14,14,0,FALSE
25285,14,14,0,FALSE
20293,14,14,0,FALSE
4251,14,14,0,FALSE
2580,13,13,0,FALSE
41532,11,11,0,FALSE
22773,13,13,0,FALSE
784,14,14,0,FALSE
4472,14,14,0,FALSE
45383,13,13,0,FALSE
40564,14,14,0,FALSE
13051,13,13,0,FALSE
1635,12,12,0,FALSE
4197,14,14,0,FALSE
15783,13,13,0,FALSE
4373,14,14,0,FALSE
45722,14,14,0,FALSE
2270,13,13,0,FALSE
15201,14,14,0,FALSE
260,14,14,0,FALSE
21539,13,13,0,FALSE
15829,14,14,0,FALSE
14799,13,13,0,FALSE
4056,13,13,0,FALSE
2617,14,14,0,FALSE
42671,14,14,0,FALSE
4058,14,14,0,FALSE
20613,14,14,0,FALSE
15738,14,14,0,FALSE
2287,14,14,0,FALSE
22842,14,14,0,FALSE
15288,14,14,0,FALSE
21762,14,14,0,FALSE
1148,14,14,0,FALSE
48721,14,14,0,FALSE
24467,17,14,3,TRUE
1450,14,14,0,FALSE
23004,17,14,3,TRUE
2292,14,14,0,FALSE
