dataset_id,n_input_rows,n_unique_ages,n_collapsed_rows,had_repeated_ages
46516,17,17,0,FALSE
26606,17,17,0,FALSE
22322,16,16,0,FALSE
48966,17,17,0,FALSE
3565,17,17,0,FALSE
3032,17,17,0,FALSE
4383,17,17,0,FALSE
45377,16,16,0,FALSE
236,17,17,0,FALSE
4170,17,17,0,FALSE
25372,16,16,0,FALSE
2642,25,13,12,TRUE
46544,16,16,0,FALSE
982,16,16,0,FALSE
13053,16,16,0,FALSE
26448,17,17,0,FALSE
4042,16,16,0,FALSE
3487,16,16,0,FALSE
21675,16,16,0,FALSE
26499,19,16,3,TRUE
24840,15,15,0,FALSE
2395,15,15,0,FALSE
45347,17,17,0,FALSE
15922,17,17,0,FALSE
1010,16,16,0,FALSE
4542,16,16,0,FALSE
14944,16,16,0,FALSE
17402,16,16,0,FALSE
234,17,17,0,FALSE
16081,17,17,0,FALSE
41421,16,16,0,FALSE
1451,16,16,0,FALSE
785,17,17,0,FALSE
2311,19,16,3,TRUE
3900,15,15,0,FALSE
2053,16,16,0,FALSE
1149,19,16,3,TRUE
46998,17,17,0,FALSE
46490,17,17,0,FALSE
210,17,17,0,FALSE
4136,16,16,0,FALSE
45192,17,17,0,FALSE
15232,17,17,0,FALSE
41467,16,16,0,FALSE
3938,16,16,0,FALSE
2619,17,17,0,FALSE
22988,16,16,0,FALSE
46803,16,16,0,FALSE
24195,16,16,0,FALSE
306,15,15,0,FALSE
847,17,17,0,FALSE
45322,16,16,0,FALSE
18108,17,17,0,FALSE
42745,17,17,0,FALSE
17689,16,16,0,FALSE
340,17,17,0,FALSE
40634,17,17,0,FALSE
15970,19,16,3,TRUE
17391,17,17,0,FALSE
4539,17,17,0,FALSE
25285,17,17,0,FALSE
20293,16,16,0,FALSE
4251,17,17,0,FALSE
2580,16,16,0,FALSE
41532,14,14,0,FALSE
22773,16,16,0,FALSE
784,16,16,0,FALSE
4472,17,17,0,FALSE
45383,16,16,0,FALSE
40564,17,17,0,FALSE
13051,16,16,0,FALSE
1635,15,15,0,FALSE
4197,17,17,0,FALSE
15783,16,16,0,FALSE
4373,15,15,0,FALSE
45722,17,17,0,FALSE
2270,16,16,0,FALSE
15201,17,17,0,FALSE
260,17,17,0,FALSE
21539,16,16,0,FALSE
15829,16,16,0,FALSE
14799,16,16,0,FALSE
4056,16,16,0,FALSE
2617,17,17,0,FALSE
42671,16,16,0,FALSE
4058,17,17,0,FALSE
20613,17,17,0,FALSE
15738,17,17,0,FALSE
2287,16,16,0,FALSE
22842,17,17,0,FALSE
15288,17,17,0,FALSE
21762,17,17,0,FALSE
1148,16,16,0,FALSE
48721,16,16,0,FALSE
24467,19,16,3,TRUE
1450,17,17,0,FALSE
23004,20,17,3,TRUE
2292,16,16,0,FALSE
2391,17,17,0,FALSE
1024,17,17,0,FALSE
1642,16,16,0,FALSE
15785,16,16,0,FALSE
1735,16,16,0,FALSE
22711,16,16,0,FALSE
24348,16,16,0,FALSE
40992,15,15,0,FALSE
1786,17,17,0,FALSE
878,15,15,0,FALSE
44951,17,17,0,FALSE
328,17,17,0,FALSE
40997,18,15,3,TRUE
42692,17,17,0,FALSE
1968,17,17,0,FALSE
309,17,17,0,FALSE
34553,17,17,0,FALSE
46730,17,17,0,FALSE
232,16,16,0,FALSE
1719,17,17,0,FALSE
41027,17,17,0,FALSE
45728,15,15,0,FALSE
29236,16,16,0,FALSE
1841,14,14,0,FALSE
24118,14,14,0,FALSE
21807,17,17,0,FALSE
41631,17,17,0,FALSE
48940,15,15,0,FALSE
24061,17,17,0,FALSE
4198,18,15,3,TRUE
15667,16,16,0,FALSE
859,17,17,0,FALSE
15462,16,16,0,FALSE
14274,18,15,3,TRUE
203,17,17,0,FALSE
17320,16,16,0,FALSE
308,15,15,0,FALSE
2385,16,16,0,FALSE
26608,16,16,0,FALSE
20188,17,17,0,FALSE
3879,17,17,0,FALSE
15925,17,17,0,FALSE
15919,16,16,0,FALSE
1432,16,16,0,FALSE
48895,21,15,6,TRUE
2373,17,17,0,FALSE
518,17,17,0,FALSE
1445,17,17,0,FALSE
1835,19,16,3,TRUE
15325,17,17,0,FALSE
1823,16,16,0,FALSE
966,17,17,0,FALSE
4378,17,17,0,FALSE
40567,17,17,0,FALSE
532,17,17,0,FALSE
44941,16,16,0,FALSE
48738,17,17,0,FALSE
4168,13,13,0,FALSE
15713,17,17,0,FALSE
22650,17,17,0,FALSE
26439,13,13,0,FALSE
4497,16,16,0,FALSE
2634,17,17,0,FALSE
21537,17,17,0,FALSE
2332,16,16,0,FALSE
1776,17,17,0,FALSE
4092,19,16,3,TRUE
18110,16,16,0,FALSE
3839,16,16,0,FALSE
2048,16,16,0,FALSE
