region,age,fraction,adjusted_r_squared
Europe,2000,pure_human,0.0028142881130996944
Europe,2000,pure_climate,0.052917987174304404
Europe,2000,pure_space,0.08425692651238004
Europe,2000,shared,0.04009816921911924
Europe,2000,total_explained,0.18008737101890337
Europe,2000,unexplained,0.8199126289810966
Europe,2500,pure_human,0.0018824110542625672
Europe,2500,pure_climate,0.06603745500086755
Europe,2500,pure_space,0.09068780917891106
Europe,2500,shared,0.015254187735923797
Europe,2500,total_explained,0.17386186296996498
Europe,2500,unexplained,0.826138137030035
Europe,3000,pure_human,0.012112013222549511
Europe,3000,pure_climate,0.03478444699173566
Europe,3000,pure_space,0.09366474169954697
Europe,3000,shared,0.016992963131147065
Europe,3000,total_explained,0.1575541650449792
Europe,3000,unexplained,0.8424458349550208
Europe,3500,pure_human,0.011882975620102099
Europe,3500,pure_climate,0.052156420292482575
Europe,3500,pure_space,0.12997313166759283
Europe,3500,shared,0.0070771259142302645
Europe,3500,total_explained,0.20108965349440777
Europe,3500,unexplained,0.7989103465055922
Europe,4000,pure_human,0.005931922371693599
Europe,4000,pure_climate,0.04971200170152845
Europe,4000,pure_space,0.11260787474336165
Europe,4000,shared,0.02872403764503484
Europe,4000,total_explained,0.19697583646161854
Europe,4000,unexplained,0.8030241635383815
Europe,4500,pure_human,-0.0011853147970266598
Europe,4500,pure_climate,0.07874631314696523
Europe,4500,pure_space,0.10825052909478583
Europe,4500,shared,0.006165813675785503
Europe,4500,total_explained,0.1919773411205099
Europe,4500,unexplained,0.8080226588794901
Europe,5000,pure_human,-2.055947058584584e-4
Europe,5000,pure_climate,0.05052883337426417
Europe,5000,pure_space,0.09396756606682832
Europe,5000,shared,0.01872685572761834
Europe,5000,total_explained,0.16301766046285238
Europe,5000,unexplained,0.8369823395371476
Europe,5500,pure_human,0.0010836211701843457
Europe,5500,pure_climate,0.059368429305446835
Europe,5500,pure_space,0.12259357541436089
Europe,5500,shared,0.026970808588365314
Europe,5500,total_explained,0.21001643447835738
Europe,5500,unexplained,0.7899835655216426
Europe,6000,pure_human,0.017585229898191668
Europe,6000,pure_climate,0.05476927929255515
Europe,6000,pure_space,0.10368982751083744
Europe,6000,shared,0.009923355363081865
Europe,6000,total_explained,0.18596769206466612
Europe,6000,unexplained,0.8140323079353339
Europe,6500,pure_human,0.02356400094639033
Europe,6500,pure_climate,0.03148708895166641
Europe,6500,pure_space,0.09361626450504901
Europe,6500,shared,0.03101113432205338
Europe,6500,total_explained,0.17967848872515912
Europe,6500,unexplained,0.8203215112748409
Europe,7000,pure_human,-7.379688191131439e-4
Europe,7000,pure_climate,0.04383652686829542
Europe,7000,pure_space,0.10144492485299061
Europe,7000,shared,0.04307196079924236
Europe,7000,total_explained,0.18761544370141525
Europe,7000,unexplained,0.8123845562985847
Europe,7500,pure_human,0.0260958833557402
Europe,7500,pure_climate,0.047992836932266414
Europe,7500,pure_space,0.06590958812608605
Europe,7500,shared,0.04469110858165837
Europe,7500,total_explained,0.18468941699575103
Europe,7500,unexplained,0.815310583004249
Europe,8000,pure_human,0.017081397840361112
Europe,8000,pure_climate,0.07040590314265394
Europe,8000,pure_space,0.07841205307219168
Europe,8000,shared,0.006365159987315017
Europe,8000,total_explained,0.17226451404252174
Europe,8000,unexplained,0.8277354859574783
Europe,8500,pure_human,0.0031525247186711125
Europe,8500,pure_climate,0.061405468275175124
Europe,8500,pure_space,0.07137687133678172
Europe,8500,shared,0.013003743181578709
Europe,8500,total_explained,0.14893860751220667
Europe,8500,unexplained,0.8510613924877933
North America,2000,pure_human,3.077145898393585e-4
North America,2000,pure_climate,0.013933690252391662
North America,2000,pure_space,0.10685180871944977
North America,2000,shared,0.08899531224348123
North America,2000,total_explained,0.21008852580516202
North America,2000,unexplained,0.789911474194838
North America,2500,pure_human,0.005132535831457785
North America,2500,pure_climate,0.019890371209130064
North America,2500,pure_space,0.11273456465188658
North America,2500,shared,0.08358120563505966
North America,2500,total_explained,0.2213386773275341
North America,2500,unexplained,0.7786613226724659
North America,3000,pure_human,0.004781011764562471
North America,3000,pure_climate,0.017727584177520517
North America,3000,pure_space,0.096983351154455
North America,3000,shared,0.09180751076413318
North America,3000,total_explained,0.21129945786067117
North America,3000,unexplained,0.7887005421393288
North America,3500,pure_human,7.982461102022942e-4
North America,3500,pure_climate,0.02145000322937396
North America,3500,pure_space,0.11617100428019456
North America,3500,shared,0.081715549472132
North America,3500,total_explained,0.2201348030919028
North America,3500,unexplained,0.7798651969080972
North America,4000,pure_human,0.005953608996665749
North America,4000,pure_climate,0.014819755291374692
North America,4000,pure_space,0.09103105597223304
North America,4000,shared,0.07744986272743815
North America,4000,total_explained,0.18925428298771163
North America,4000,unexplained,0.8107457170122884
North America,4500,pure_human,0.0066635706272490935
North America,4500,pure_climate,0.01625320817367648
North America,4500,pure_space,0.10733611749744354
North America,4500,shared,0.08444563857436738
North America,4500,total_explained,0.2146985348727365
North America,4500,unexplained,0.7853014651272635
North America,5000,pure_human,0.003227126283428805
North America,5000,pure_climate,0.016662769195208815
North America,5000,pure_space,0.0939919324946491
North America,5000,shared,0.08790521182662525
North America,5000,total_explained,0.20178703979991197
North America,5000,unexplained,0.798212960200088
North America,5500,pure_human,0.01215365539529123
North America,5500,pure_climate,0.016742298976641812
North America,5500,pure_space,0.10079590340514288
North America,5500,shared,0.06945907676459706
North America,5500,total_explained,0.19915093454167299
North America,5500,unexplained,0.800849065458327
North America,6000,pure_human,0.012840233331095852
North America,6000,pure_climate,0.015241837850361484
North America,6000,pure_space,0.09956928504396112
North America,6000,shared,0.07754385472038738
North America,6000,total_explained,0.20519521094580584
North America,6000,unexplained,0.7948047890541942
North America,6500,pure_human,0.007709346430383679
North America,6500,pure_climate,0.02105066315048909
North America,6500,pure_space,0.11714821029273581
North America,6500,shared,0.07479033997639373
North America,6500,total_explained,0.2206985598500023
North America,6500,unexplained,0.7793014401499977
North America,7000,pure_human,0.009220600667779633
North America,7000,pure_climate,0.026967131507884767
North America,7000,pure_space,0.11685034888918977
North America,7000,shared,0.06970420162143409
North America,7000,total_explained,0.22274228268628826
North America,7000,unexplained,0.7772577173137117
North America,7500,pure_human,0.007744346753487008
North America,7500,pure_climate,0.03338116520209378
North America,7500,pure_space,0.10089220256407982
North America,7500,shared,0.06308167272358722
North America,7500,total_explained,0.20509938724324783
North America,7500,unexplained,0.7949006127567522
North America,8000,pure_human,0.008275702769750759
North America,8000,pure_climate,0.042341007010255116
North America,8000,pure_space,0.09140997002166529
North America,8000,shared,0.07429750153677261
North America,8000,total_explained,0.21632418133844378
