analysis,region,age,status,n_selected,human_climate_human,human_climate_climate,human_climate_space_human,human_climate_space_climate,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,ranking_changed
temporal_spd,Europe,2000,spatial_model_estimated,7,0.0031,0.0976,0.0029,0.0755,-0.0945,0.0029,0.0755,-0.0726,climate,climate,FALSE
temporal_spd,Europe,2500,spatial_model_estimated,8,0.0043,0.0807,0.0071,0.0613,-0.0764,0.0071,0.0613,-0.0542,climate,climate,FALSE
temporal_spd,Europe,3000,spatial_model_estimated,7,0.0054,0.0567,0.0069,0.0493,-0.0513,0.0069,0.0493,-0.04239999999999999,climate,climate,FALSE
temporal_spd,Europe,3500,spatial_model_estimated,7,0.0087,0.0565,0.0085,0.059,-0.0478,0.0085,0.059,-0.050499999999999996,climate,climate,FALSE
temporal_spd,Europe,4000,spatial_model_estimated,10,0.0057,0.0728,0.008,0.0715,-0.0671,0.008,0.0715,-0.0635,climate,climate,FALSE
temporal_spd,Europe,4500,spatial_model_estimated,10,0.0022,0.0819,0.0015,0.0651,-0.07970000000000001,0.0015,0.0651,-0.0636,climate,climate,FALSE
temporal_spd,Europe,5000,spatial_model_estimated,8,0.0044,0.062,0.003,0.0567,-0.0576,0.003,0.0567,-0.0537,climate,climate,FALSE
temporal_spd,Europe,5500,spatial_model_estimated,12,7e-4,0.0841,5e-4,0.0718,-0.08339999999999999,5e-4,0.0718,-0.0713,climate,climate,FALSE
temporal_spd,Europe,6000,spatial_model_estimated,5,0.0118,0.0713,0.0162,0.0653,-0.059500000000000004,0.0162,0.0653,-0.0491,climate,climate,FALSE
temporal_spd,Europe,6500,spatial_model_estimated,7,0.0301,0.0511,0.0322,0.0461,-0.021,0.0322,0.0461,-0.013900000000000003,climate,climate,FALSE
temporal_spd,Europe,7000,spatial_model_estimated,4,0.0176,0.0624,0.0171,0.0548,-0.04479999999999999,0.0171,0.0548,-0.0377,climate,climate,FALSE
temporal_spd,Europe,7500,spatial_model_estimated,6,0.0515,0.0648,0.049,0.0615,-0.0133,0.049,0.0615,-0.012499999999999997,climate,climate,FALSE
temporal_spd,Europe,8000,spatial_model_estimated,6,0.0162,0.0782,0.0113,0.0746,-0.062000000000000006,0.0113,0.0746,-0.0633,climate,climate,FALSE
temporal_spd,Europe,8500,spatial_model_estimated,4,0.0084,0.0687,0.0088,0.0688,-0.0603,0.0088,0.0688,-0.06,climate,climate,FALSE
