dataset_id,analysis,total_adjusted_r_squared,human,climate,time,human_climate_only_total_adjusted_r_squared,human_climate_only_human,human_climate_only_climate,model_id,signed_difference,signed_balance,zero_human,zero_climate,zero_time,human_climate_total,three_group_total,zero_balance,human_allocation,climate_allocation,time_allocation,signed_weight,zero_weight,human_climate_only_signed_weight,human_climate_only_signed_balance,human_climate_only_zero_human,human_climate_only_zero_climate,human_climate_only_zero_weight,human_climate_only_zero_balance,signed_ranking,zero_ranking,status,long,lat,region,climatezone
46516,spatial_spd,0.456,-0.0091,0.2138,0.2517,0.273,0.0168,0.2561,spatial_spd|46516,-0.2229,-0.48881578947368415,0,0.2138,0.2517,0.2138,0.46549999999999997,-1,0,0.45929108485499465,0.5407089151450054,0.456,0.2138,0.273,-0.8765567765567764,0.0168,0.2561,0.2729,-0.8768779772810553,climate,climate,estimated,28.61129,59.61457,Europe,Cold_Without_dry_season_Warm_Summer
26606,spatial_spd,0.705,0.1389,0.3514,0.2147,0.672,0.2023,0.4694,spatial_spd|26606,-0.2125,-0.30141843971631205,0.1389,0.3514,0.2147,0.49029999999999996,0.705,-0.43340811747909447,0.1970212765957447,0.49843971631205675,0.3045390070921986,0.705,0.49029999999999996,0.672,-0.39747023809523807,0.2023,0.4694,0.6717,-0.3976477594164062,climate,climate,estimated,-93.72746,49.65882,North America,Cold_Without_dry_season_Warm_Summer
48966,spatial_spd,0.621,-0.0011,0.3422,0.2797,0.505,-0.0129,0.5182,spatial_spd|48966,-0.3433,-0.552818035426731,0,0.3422,0.2797,0.3422,0.6219,-1,0,0.5502492362116096,0.4497507637883904,0.621,0.3422,0.505,-1.0516831683168317,0,0.5182,0.5182,-1,climate,climate,estimated,5.75969,52.24479,Europe,Temperate_Without_dry_season
3565,spatial_spd,0.78,0.0649,0.5246,0.1907,0.78,0.0333,0.7472,spatial_spd|3565,-0.45969999999999994,-0.5893589743589742,0.0649,0.5246,0.1907,0.5894999999999999,0.7801999999999999,-0.779813401187447,0.0831837990258908,0.6723916944373238,0.2444245065367855,0.78,0.5894999999999999,0.78,-0.9152564102564102,0.0333,0.7472,0.7805,-0.9146700832799488,climate,climate,estimated,-71.80778,46.89194,North America,Cold_Without_dry_season_Warm_Summer
3032,spatial_spd,0.557,0.1549,0.0871,0.3146,0.316,0.1664,0.1493,spatial_spd|3032,0.06780000000000001,0.12172351885098745,0.1549,0.0871,0.3146,0.242,0.5566,0.28016528925619844,0.27829680201221707,0.15648580668343515,0.5652173913043478,0.557,0.242,0.316,0.05411392405063292,0.1664,0.1493,0.3157,0.05416534684827369,human,human,estimated,-85.66111,46.42917,North America,Cold_Without_dry_season_Warm_Summer
4383,spatial_spd,0.732,0.14,0.2162,0.3753,0.092,0.1313,-0.0391,spatial_spd|4383,-0.07619999999999999,-0.10409836065573769,0.14,0.2162,0.3753,0.3562,0.7315,-0.2139247613700168,0.19138755980861244,0.2955570745044429,0.5130553656869447,0.732,0.3562,0.092,1.8521739130434782,0.1313,0,0.1313,1,climate,climate,estimated,8.32556,47.07556,Europe,Cold_Without_dry_season_Warm_Summer
45377,spatial_spd,0.273,0.0282,0.1891,0.0561,0.258,0.0699,0.1884,spatial_spd|45377,-0.1609,-0.5893772893772893,0.0282,0.1891,0.0561,0.2173,0.2734,-0.7404509894155545,0.10314557425018289,0.6916605705925384,0.20519385515727873,0.273,0.2173,0.258,-0.4593023255813954,0.0699,0.1884,0.25830000000000003,-0.45876887340301975,climate,climate,estimated,24.1,59.075,Europe,Cold_Without_dry_season_Warm_Summer
236,spatial_spd,0.539,0.0431,0.3177,0.178,0.282,0.0117,0.2707,spatial_spd|236,-0.27459999999999996,-0.5094619666048237,0.0431,0.3177,0.178,0.3608,0.5388,-0.7610864745011086,0.079992576095026,0.5896436525612473,0.3303637713437268,0.539,0.3608,0.282,-0.9184397163120569,0.0117,0.2707,0.2824,-0.9171388101983003,climate,climate,estimated,-79.78,47.23,North America,Cold_Without_dry_season_Warm_Summer
4170,spatial_spd,0.455,-0.0207,0.2854,0.1902,0.494,-0.0257,0.5193,spatial_spd|4170,-0.3061,-0.6727472527472527,0,0.2854,0.1902,0.2854,0.4756,-1,0,0.6000841042893187,0.39991589571068126,0.455,0.2854,0.494,-1.103238866396761,0,0.5193,0.5193,-1,climate,climate,estimated,24.33333,41.98333,Europe,Cold_Without_dry_season_Warm_Summer
25372,spatial_spd,0.622,0.0446,0.2247,0.3526,0.467,0.0873,0.3793,spatial_spd|25372,-0.1801,-0.28954983922829586,0.0446,0.2247,0.3526,0.2693,0.6219,-0.668770887486075,0.0717157099212092,0.36131210805595754,0.5669721820228333,0.622,0.2693,0.467,-0.6252676659528908,0.0873,0.3793,0.4666,-0.6258036862408917,climate,climate,estimated,4.07917,47.26194,Europe,Temperate_Without_dry_season
46544,spatial_spd,0.567,0.0509,0.3311,0.1846,0.398,0.0208,0.3772,spatial_spd|46544,-0.2802,-0.4941798941798942,0.0509,0.3311,0.1846,0.382,0.5666,-0.7335078534031414,0.08983409812919167,0.5843628662195552,0.32580303565125307,0.567,0.382,0.398,-0.8954773869346733,0.0208,0.3772,0.39799999999999996,-0.8954773869346734,climate,climate,estimated,25.77353,58.48888,Europe,Cold_Without_dry_season_Warm_Summer
982,spatial_spd,0.543,0.0508,0.2073,0.2852,0.439,0.0685,0.3709,spatial_spd|982,-0.15650000000000003,-0.28821362799263356,0.0508,0.2073,0.2852,0.2581,0.5433,-0.6063541263076329,0.09350266887539112,0.38155715074544455,0.5249401803791643,0.543,0.2581,0.439,-0.6888382687927107,0.0685,0.3709,0.4394,-0.6882111970869367,climate,climate,estimated,-85.11667,44.88333,North America,Cold_Without_dry_season_Warm_Summer
26448,spatial_spd,0.634,0.1198,0.1813,0.3326,0.381,0.1251,0.2557,spatial_spd|26448,-0.061499999999999985,-0.09700315457413247,0.1198,0.1813,0.3326,0.3011,0.6336999999999999,-0.20425107937562267,0.18904844563673665,0.2860975224869812,0.5248540318762822,0.634,0.3011,0.381,-0.3427821522309711,0.1251,0.2557,0.38079999999999997,-0.3429621848739496,climate,climate,estimated,10.47833,46.87,Europe,Cold_Without_dry_season_Cold_Summer
4042,spatial_spd,0.742,0.2085,0.1875,0.3463,0.629,0.398,0.2309,spatial_spd|4042,0.02099999999999999,0.028301886792452817,0.2085,0.1875,0.3463,0.396,0.7423,0.053030303030303004,0.28088373972787284,0.2525932911221878,0.4665229691499394,0.742,0.396,0.629,0.2656597774244833,0.398,0.2309,0.6289,0.2657020193989506,human,human,estimated,13.67319,58.55679,Europe,Cold_Without_dry_season_Warm_Summer
3487,spatial_spd,0.297,-0.0386,0.1602,0.175,0.274,-0.0415,0.316,spatial_spd|3487,-0.1988,-0.6693602693602694,0,0.1602,0.175,0.1602,0.3352,-1,0,0.4779236276849642,0.5220763723150358,0.297,0.1602,0.274,-1.304744525547445,0,0.316,0.316,-1,climate,climate,estimated,-97.36301,44.97734,North America,Cold_Without_dry_season_Hot_Summer
21675,spatial_spd,0.66,0.197,0.1649,0.2981,0.576,0.3325,0.2432,spatial_spd|21675,0.03210000000000002,0.04863636363636366,0.197,0.1649,0.2981,0.3619,0.6599999999999999,0.08869853550704619,0.2984848484848485,0.24984848484848488,0.45166666666666666,0.66,0.3619,0.576,0.15503472222222225,0.3325,0.2432,0.5757,0.15511551155115516,human,human,estimated,-76.5333,3.0833,Latin America,Tropical
26499,spatial_spd,0.143,0.1401,-0.0029,0.0059,0.173,0.1422,0.0306,spatial_spd|26499,0.14300000000000002,1.0000000000000002,0.1401,0,0.0059,0.1401,0.146,1,0.9595890410958905,0,0.04041095890410959,0.143,0.1401,0.173,0.6450867052023121,0.1422,0.0306,0.17279999999999998,0.6458333333333334,human,human,estimated,11.01283,46.84566,Europe,Polar
24840,spatial_spd,0.484,0.2176,0.0312,0.2349,0.414,0.3345,0.0798,spatial_spd|24840,0.18639999999999998,0.38512396694214873,0.2176,0.0312,0.2349,0.2488,0.4837,0.7491961414790996,0.4498656191854455,0.06450279098614843,0.48563158982840604,0.484,0.2488,0.414,0.6152173913043479,0.3345,0.0798,0.4143,0.6147719044170892,human,human,estimated,-1.59583,47.27222,Europe,Temperate_Without_dry_season
2395,spatial_spd,0.329,0.069,0.0084,0.2513,0.219,0.1649,0.0541,spatial_spd|2395,0.06060000000000001,0.18419452887537996,0.069,0.0084,0.2513,0.07740000000000001,0.32870000000000005,0.7829457364341085,0.2099178582293885,0.025555217523577724,0.7645269242470337,0.329,0.07740000000000001,0.219,0.5059360730593606,0.1649,0.0541,0.219,0.5059360730593606,human,human,estimated,-90.13333,20.86667,Latin America,Tropical
45347,spatial_spd,0.526,0.0355,0.2856,0.2049,0.528,0.0551,0.4731,spatial_spd|45347,-0.25010000000000004,-0.4754752851711027,0.0355,0.2856,0.2049,0.3211,0.526,-0.7788850825288074,0.06749049429657794,0.5429657794676807,0.3895437262357414,0.526,0.3211,0.528,-0.7916666666666667,0.0551,0.4731,0.5282,-0.7913669064748202,climate,climate,estimated,9.83333,62.26667,Europe,Polar
