cohort,proxy_variant,dataset_id,status,total_adjusted_r_squared,human,climate,time,signed_difference,signed_balance,zero_balance,signed_ranking,zero_ranking,unique_adjusted_r2_pure_human,unique_adjusted_r2_pure_climate,unique_adjusted_r2_pure_time,unique_adjusted_r2_shared,unique_adjusted_r2_total_explained,unique_adjusted_r2_unexplained,region,climatezone,requested_regional_events,retained_human_predictors,reference_category
as_coded,events,46516,missing_predictor_group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Cold_Without_dry_season_Warm_Summer,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,26606,missing_predictor_group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North America,Cold_Without_dry_season_Warm_Summer,fc;es,fc;es,bi
as_coded,events,22322,missing_predictor_group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Cold_Without_dry_season_Warm_Summer,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,48966,estimated,0.591,0.0675,0.2762,0.2477,-0.2087,-0.35313028764805415,-0.6072155949956357,climate,climate,-0.06030418450581165,-0.016488545436628477,0.04256268900434934,0.6255781505033253,0.5913481095652345,0.40865189043476546,Europe,Temperate_Without_dry_season,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,3565,missing_predictor_group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North America,Cold_Without_dry_season_Warm_Summer,fc;es,fc;es,bi
as_coded,events,3032,missing_predictor_group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North America,Cold_Without_dry_season_Warm_Summer,fc;es,fc;es,bi
as_coded,events,4383,missing_predictor_group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Cold_Without_dry_season_Warm_Summer,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,45377,missing_predictor_group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Cold_Without_dry_season_Warm_Summer,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,236,missing_predictor_group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North America,Cold_Without_dry_season_Warm_Summer,fc;es,fc;es,bi
as_coded,events,4170,missing_predictor_group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Cold_Without_dry_season_Warm_Summer,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,25372,rank_deficient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Temperate_Without_dry_season,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,2642,missing_predictor_group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North America,Cold_Dry_Summer,fc;es,fc;es,bi
