summary_level,metric,contrast,cohort,n_units,n_finite,minimum,lower_quartile,median,mean,upper_quartile,maximum,n_negative,n_zero,n_positive,region,climatezone
overall,climate,events_minus_spd,as_coded,151,151,-0.1649,-0.04125000000000002,-0.009599999999999997,-0.007737748344370861,0.025349999999999998,0.12689999999999999,91,0,60,NA,NA
overall,climate,events_minus_spd,observed_events_only,151,151,-0.1649,-0.04125000000000002,-0.009599999999999997,-0.007737748344370861,0.025349999999999998,0.12689999999999999,91,0,60,NA,NA
overall,climate,spd_events_minus_spd,as_coded,151,151,-0.1555,-0.044999999999999984,-0.017600000000000005,-0.01679933774834437,0.006700000000000001,0.1287,103,0,48,NA,NA
overall,climate,spd_events_minus_spd,observed_events_only,151,151,-0.1555,-0.044999999999999984,-0.017600000000000005,-0.01679933774834437,0.006700000000000001,0.1287,103,0,48,NA,NA
overall,human,events_minus_spd,as_coded,151,151,-0.18680000000000002,-0.032799999999999996,0.040999999999999995,0.05159933774834437,0.12434999999999999,0.4489,55,0,96,NA,NA
overall,human,events_minus_spd,observed_events_only,151,151,-0.18680000000000002,-0.032799999999999996,0.040999999999999995,0.05159933774834437,0.12434999999999999,0.4489,55,0,96,NA,NA
overall,human,spd_events_minus_spd,as_coded,151,151,-0.07139999999999999,0.018900000000000007,0.0741,0.09352781456953642,0.15549999999999997,0.48519999999999996,25,0,126,NA,NA
overall,human,spd_events_minus_spd,observed_events_only,151,151,-0.07139999999999999,0.018900000000000007,0.0741,0.09352781456953642,0.15549999999999997,0.48519999999999996,25,0,126,NA,NA
overall,signed_balance,events_minus_spd,as_coded,151,151,-14.955925925925925,-0.10926669504775093,0.11678004535147392,0.05934388284143308,0.35621544631834134,5.1581418581418585,55,0,96,NA,NA
overall,signed_balance,events_minus_spd,observed_events_only,151,151,-14.955925925925925,-0.10926669504775093,0.11678004535147392,0.05934388284143308,0.35621544631834134,5.1581418581418585,55,0,96,NA,NA
overall,signed_balance,spd_events_minus_spd,as_coded,151,151,-1.5017948717948721,0.06828326986990389,0.23522276362589692,0.7384116969982316,0.43389986735049024,49.696815286624215,23,0,128,NA,NA
overall,signed_balance,spd_events_minus_spd,observed_events_only,151,151,-1.5017948717948721,0.06828326986990389,0.23522276362589692,0.7384116969982316,0.43389986735049024,49.696815286624215,23,0,128,NA,NA
overall,signed_difference,events_minus_spd,as_coded,151,151,-0.22580000000000003,-0.031799999999999995,0.04669999999999998,0.05933708609271523,0.15050000000000002,0.48019999999999996,56,0,95,NA,NA
overall,signed_difference,events_minus_spd,observed_events_only,151,151,-0.22580000000000003,-0.031799999999999995,0.04669999999999998,0.05933708609271523,0.15050000000000002,0.48019999999999996,56,0,95,NA,NA
overall,signed_difference,spd_events_minus_spd,as_coded,151,151,-0.06609999999999999,0.030400000000000003,0.09109999999999999,0.11032715231788079,0.17604999999999998,0.5427,23,0,128,NA,NA
overall,signed_difference,spd_events_minus_spd,observed_events_only,151,151,-0.06609999999999999,0.030400000000000003,0.09109999999999999,0.11032715231788079,0.17604999999999998,0.5427,23,0,128,NA,NA
overall,unique_adjusted_r2_pure_climate,events_minus_spd,as_coded,151,151,-0.31791796657890836,-0.07196623823963749,-0.018647228634895208,-0.013104489830389676,0.04579445964953094,0.3208486293372854,89,0,62,NA,NA
overall,unique_adjusted_r2_pure_climate,events_minus_spd,observed_events_only,151,151,-0.31791796657890836,-0.07196623823963749,-0.018647228634895208,-0.013104489830389676,0.04579445964953094,0.3208486293372854,89,0,62,NA,NA
overall,unique_adjusted_r2_pure_climate,spd_events_minus_spd,as_coded,151,151,-0.275687163901316,-0.06032106147378519,-0.02632028624397742,-0.019700636697426867,0.022773106676220456,0.3355158460734661,95,0,56,NA,NA
overall,unique_adjusted_r2_pure_climate,spd_events_minus_spd,observed_events_only,151,151,-0.275687163901316,-0.06032106147378519,-0.02632028624397742,-0.019700636697426867,0.022773106676220456,0.3355158460734661,95,0,56,NA,NA
overall,unique_adjusted_r2_pure_human,events_minus_spd,as_coded,151,151,-0.2944419377769013,-0.034610325077764514,0.02199342317351105,0.03194894271427298,0.09107306844907503,0.5799472686009334,64,0,87,NA,NA
