cohort,proxy_variant,region,age,status,selection_status,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,ranking_changed,zero_allocation_human,zero_allocation_climate,zero_allocation_space,unique_adjusted_r2_pure_human,unique_adjusted_r2_pure_climate,unique_adjusted_r2_pure_space,unique_adjusted_r2_shared,unique_adjusted_r2_total_explained,unique_adjusted_r2_unexplained,requested_regional_events,retained_human_predictors,reference_category
as_coded,events,Europe,2000,spatial_model_estimated,selected,-0.0702,0.0168,0.0727,-0.055900000000000005,climate,climate,FALSE,0.08931419457735247,0.3864965443912813,0.5241892610313663,0.010631173915982672,0.052299287163906194,0.07719353011537111,0.04790119379866975,0.18802518499392973,0.8119748150060703,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,Europe,2500,spatial_model_estimated,selected,-0.061700000000000005,0.0093,0.0672,-0.05789999999999999,climate,climate,FALSE,0.05400696864111498,0.3902439024390244,0.5557491289198606,0.0027856069744923717,0.056934445620956065,0.08717365658856813,0.025247229841320884,0.17214093902533745,0.8278590609746626,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,Europe,3000,spatial_model_estimated,selected,-0.0499,0.0082,0.0541,-0.0459,climate,climate,FALSE,0.05536799459824443,0.3652937204591492,0.5793382849426063,0.00572405711714441,0.04749082267037574,0.07813736372487001,0.016828585366842952,0.14818082887923312,0.8518191711207669,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,Europe,3500,spatial_model_estimated,selected,-0.0484,0.0128,0.0664,-0.0536,climate,climate,FALSE,0.06801275239107332,0.35281615302869285,0.5791710945802337,0.012190054582897347,0.07111693272433517,0.1122322584825578,-0.007265970839376523,0.1882732749504138,0.8117267250495862,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,Europe,4000,spatial_model_estimated,selected,-0.0722,0.0056,0.0803,-0.0747,climate,climate,FALSE,0.0306178239475123,0.4390377255330781,0.5303444505194095,0.0045881396035629685,0.08184254791943113,0.09670680990847347,-2.653042992775134e-4,0.18287219313219005,0.81712780686781,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,Europe,4500,spatial_model_estimated,selected,-0.082,0.0031,0.0676,-0.06449999999999999,climate,climate,FALSE,0.01586489252814739,0.34595701125895595,0.6381780962128967,0.003152844387476317,0.05024093980948652,0.10657348709377634,0.03541556484341035,0.19538283613414953,0.8046171638658505,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,Europe,5000,spatial_model_estimated,selected,-0.05789999999999999,0.0081,0.059,-0.0509,climate,climate,FALSE,0.04835820895522387,0.3522388059701492,0.5994029850746269,0.007584434691990882,0.05151320754119626,0.09104981804762546,0.01740669359053526,0.16755415387134787,0.8324458461286521,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,Europe,5500,spatial_model_estimated,selected,-0.0808,0.0047,0.0809,-0.0762,climate,climate,FALSE,0.024620220010476687,0.42378208486118385,0.5515976951283394,0.007922263614900338,0.07934559578206823,0.10315723428809698,4.433997359751807e-4,0.19086849342104073,0.8091315065789593,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,Europe,6000,spatial_model_estimated,selected,-0.07250000000000001,0.0039,0.0667,-0.0628,climate,climate,FALSE,0.02200902934537246,0.37641083521444696,0.6015801354401806,0.003435752809675674,0.056521025910983624,0.09453614248304565,0.022729901688701926,0.17722282289240687,0.8227771771075931,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,Europe,6500,spatial_model_estimated,selected,-0.0635,0.001,0.049,-0.048,climate,climate,FALSE,0.005813953488372094,0.28488372093023256,0.7093023255813954,1.237738470618588e-4,0.03245586897152941,0.10411619779739156,0.03529382932520353,0.17198966994118636,0.8280103300588136,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,Europe,7000,spatial_model_estimated,selected,-0.06319999999999999,0.0092,0.0612,-0.052,climate,climate,FALSE,0.05367561260210035,0.3570595099183197,0.58926487747958,0.008586519645286006,0.04941339897395847,0.08836257255079305,0.025013356734139403,0.17137584790417693,0.8286241520958231,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,Europe,7500,spatial_model_estimated,selected,-0.0651,0.0147,0.077,-0.0623,climate,climate,FALSE,0.0769633507853403,0.4031413612565445,0.5198952879581151,0.0178505274933628,0.07743958538926898,0.09865765131282611,-0.0029724996912170454,0.19097526450424085,0.8090247354957592,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,Europe,8000,spatial_model_estimated,selected,-0.06799999999999999,0.009,0.0712,-0.0622,climate,climate,FALSE,0.056568196103079824,0.4475172847265871,0.49591451917033313,0.009963436617649313,0.06642973020262588,0.07161549412504276,0.011196502694632682,0.15920516363995063,0.8407948363600494,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,Europe,8500,spatial_model_estimated,selected,-0.0696,0.0027,0.0755,-0.0728,climate,climate,FALSE,0.017976031957390146,0.5026631158455392,0.47936085219707053,0.0014292131296348431,0.07746125390374337,0.07207284366857858,-7.707099800537964e-4,0.150192600721903,0.849807399278097,fi;fc;ec;cc,fi;fc;ec;cc,bi
as_coded,events,North America,2000,spatial_model_estimated,selected,-0.09079999999999999,0.0025,0.0578,-0.055299999999999995,climate,climate,FALSE,0.012481278082875686,0.28856714927608584,0.6989515726410385,-7.358776301868986e-5,0.019782820327128414,0.10258706165972509,0.0780406652120752,0.20033695943591,0.79966304056409,fc;es,fc;es,bi
as_coded,events,North America,2500,spatial_model_estimated,selected,-0.08940000000000001,0.0052,0.0591,-0.053900000000000003,climate,climate,FALSE,0.02411873840445269,0.2741187384044527,0.7017625231910947,0.0023819067961982077,0.020804352226063694,0.11382912507817922,0.07854396157448462,0.21555934567492574,0.7844406543250743,fc;es,fc;es,bi
as_coded,events,North America,3000,spatial_model_estimated,selected,-0.089,0.0067,0.057,-0.050300000000000004,climate,climate,FALSE,0.03201146679407549,0.272336359292881,0.6956521739130435,0.0037038154474700047,0.015299876335464813,0.10447194013086936,0.08579444851980134,0.2092700804336055,0.7907299195663945,fc;es,fc;es,bi
as_coded,events,North America,3500,spatial_model_estimated,selected,-0.0882,0.0075,0.0585,-0.051000000000000004,climate,climate,FALSE,0.03766951280763435,0.293822199899548,0.6685082872928176,0.004694005190616801,0.018318679636528223,0.09427563601285338,0.08180688579096629,0.1990952066309647,0.8009047933690353,fc;es,fc;es,bi
as_coded,events,North America,4000,spatial_model_estimated,selected,-0.0762,0.009,0.051,-0.041999999999999996,climate,climate,FALSE,0.048913043478260865,0.27717391304347827,0.6739130434782609,0.005858561827348785,0.013670027971997567,0.08749596512195967,0.07692470919766059,0.18394926411896662,0.8160507358810334,fc;es,fc;es,bi
as_coded,events,North America,4500,spatial_model_estimated,selected,-0.0865,0.0068,0.0548,-0.048,climate,climate,FALSE,0.03299369238233867,0.2658903444929646,0.7011159631246968,0.0040518408908171155,0.013634412054745582,0.10374406774670641,0.08461577845924273,0.20604609915151184,0.7939539008484882,fc;es,fc;es,bi
as_coded,events,North America,5000,spatial_model_estimated,selected,-0.0882,0.0067,0.0562,-0.0495,climate,climate,FALSE,0.033483258370814596,0.28085957021489255,0.6856571714142928,0.0034917975205954743,0.014283330227623736,0.09453129745098043,0.08779634393794677,0.20010276913714642,0.7998972308628536,fc;es,fc;es,bi
as_coded,events,North America,5500,spatial_model_estimated,selected,-0.074,0.0069,0.0479,-0.040999999999999995,climate,climate,FALSE,0.034328358208955224,0.2383084577114428,0.727363184079602,0.003677800313857116,0.01172086493050939,0.10908876887742847,0.07638340690943646,0.20087084103123143,0.7991291589687686,fc;es,fc;es,bi
as_coded,events,North America,6000,spatial_model_estimated,selected,-0.0818,0.0052,0.0541,-0.0489,climate,climate,FALSE,0.026078234704112337,0.27131394182547647,0.7026078234704113,0.0030838925458360755,0.019052887851635503,0.10483021999489095,0.07242250164674857,0.1993895020391111,0.8006104979608889,fc;es,fc;es,bi
as_coded,events,North America,6500,spatial_model_estimated,selected,-0.0939,0.0022,0.0584,-0.0562,climate,climate,FALSE,0.010357815442561208,0.27495291902071567,0.7146892655367232,4.863995973867219e-4,0.01914427251975248,0.11230807143623567,0.08043579439277782,0.21237453794615269,0.7876254620538473,fc;es,fc;es,bi
as_coded,events,North America,7000,spatial_model_estimated,selected,-0.0944,5e-4,0.0622,-0.0617,climate,climate,FALSE,0.002370791844476055,0.29492650545282123,0.7027027027027026,-6.912251285784432e-4,0.028414683979287036,0.11430394489005125,0.06888785847498513,0.21091526221574497,0.789084737784255,fc;es,fc;es,bi
as_coded,events,North America,7500,spatial_model_estimated,selected,-0.0843,9e-4,0.0583,-0.0574,climate,climate,FALSE,0.005033557046979866,0.3260626398210291,0.668903803131991,-6.980305681115739e-4,0.029932003987612532,0.09095402855073476,0.05864137212405407,0.17882937409428978,0.8211706259057102,fc;es,fc;es,bi
as_coded,events,North America,8000,spatial_model_estimated,selected,-0.0974,0.002,0.0697,-0.0677,climate,climate,FALSE,0.010875475802066341,0.379010331702012,0.6101141924959217,4.8175276738504635e-5,0.03802699109097829,0.0797567757587444,0.06618429969234496,0.18401624181880616,0.8159837581811938,fc;es,fc;es,bi
as_coded,events,North America,8500,spatial_model_estimated,selected,-0.0955,0.0028,0.0637,-0.06090000000000001,climate,climate,FALSE,0.013645224171539962,0.31042884990253417,0.6759259259259259,0.0022526821704894617,0.028683097745265784,0.1037096067514105,0.07056981958477704,0.20521520625194278,0.7947847937480572,fc;es,fc;es,bi
