summary_level,metric,contrast,cohort,n_units,n_finite,minimum,lower_quartile,median,mean,upper_quartile,maximum,n_negative,n_zero,n_positive,region
overall,controlled_balance,events_minus_spd,as_coded,61,61,-0.0505,-0.011200000000000002,-0.0031000000000000055,-6.852459016393449e-4,0.005400000000000002,0.06870000000000001,37,0,24,NA
overall,controlled_balance,events_minus_spd,observed_events_only,61,61,-0.056699999999999987,-0.010700000000000015,-0.0020000000000000018,0.0017426229508196724,0.010000000000000009,0.06870000000000001,33,0,28,NA
overall,controlled_balance,spd_events_minus_spd,as_coded,61,61,-0.010900000000000007,0.0030000000000000027,0.008399999999999998,0.011963934426229507,0.014199999999999997,0.0792,10,0,51,NA
overall,controlled_balance,spd_events_minus_spd,observed_events_only,61,61,-0.013899999999999996,0.0032000000000000015,0.007900000000000004,0.015572131147540982,0.020100000000000007,0.0792,8,0,53,NA
overall,controlled_climate,events_minus_spd,as_coded,61,61,-0.0514,-0.0030999999999999986,-5.000000000000004e-4,-0.0023770491803278685,0.006399999999999996,0.0169,32,0,29,NA
overall,controlled_climate,events_minus_spd,observed_events_only,61,61,-0.0514,-0.004500000000000004,-8.000000000000021e-4,-0.0029737704918032784,0.0039000000000000007,0.022999999999999993,36,0,25,NA
overall,controlled_climate,spd_events_minus_spd,as_coded,61,61,-0.0466,-0.004399999999999987,-0.0015000000000000013,-0.003711475409836064,3.0000000000000165e-4,0.009399999999999992,40,2,19,NA
overall,controlled_climate,spd_events_minus_spd,observed_events_only,61,61,-0.0466,-0.0049999999999999906,-0.001800000000000003,-0.0046245901639344255,-3.000000000000086e-4,0.006699999999999998,47,1,13,NA
overall,controlled_human,events_minus_spd,as_coded,61,61,-0.056900000000000006,-0.0106,-0.0015999999999999999,-0.0030622950819672134,0.0043,0.0431,34,1,26,NA
overall,controlled_human,events_minus_spd,observed_events_only,61,61,-0.056900000000000006,-0.0106,-0.001599999999999999,-0.0012311475409836066,0.0063,0.0431,32,1,28,NA
overall,controlled_human,spd_events_minus_spd,as_coded,61,61,-0.0153,0.0023,0.0066,0.008252459016393442,0.010700000000000001,0.06040000000000001,7,0,54,NA
overall,controlled_human,spd_events_minus_spd,observed_events_only,61,61,-0.0153,0.0019000000000000006,0.007099999999999999,0.010947540983606558,0.014700000000000001,0.06040000000000001,7,0,54,NA
overall,unique_adjusted_r2_pure_climate,events_minus_spd,as_coded,61,61,-0.09754791247601702,-0.005256239528097728,-2.862138633379363e-4,-0.0042334327435932856,0.012800693642954775,0.03721473327169145,31,0,30,NA
overall,unique_adjusted_r2_pure_climate,events_minus_spd,observed_events_only,61,61,-0.09754791247601702,-0.0069527396572711675,-8.325605278812764e-4,-0.0049766113704444274,0.009553598464015711,0.04576862658388636,34,0,27,NA
overall,unique_adjusted_r2_pure_climate,spd_events_minus_spd,as_coded,61,61,-0.09265713764822037,-0.008392062689555613,-0.0014249635759348012,-0.006921491563929911,7.559566601548218e-4,0.01966036479316624,37,0,24,NA
overall,unique_adjusted_r2_pure_climate,spd_events_minus_spd,observed_events_only,61,61,-0.09265713764822037,-0.009841868900516637,-0.0016487040888543136,-0.008549775943819777,2.4458928190063123e-4,0.01176919670231158,44,0,17,NA
overall,unique_adjusted_r2_pure_human,events_minus_spd,as_coded,61,61,-0.0633712050921339,-0.010059658842179298,-7.492845897696387e-4,-0.003444591029798939,0.005332161232391663,0.028044645008328484,31,0,30,NA
overall,unique_adjusted_r2_pure_human,events_minus_spd,observed_events_only,61,61,-0.0633712050921339,-0.01024498231400417,2.004627315708163e-4,-0.002684599924576064,0.005453483886542099,0.028044645008328484,29,0,32,NA
overall,unique_adjusted_r2_pure_human,spd_events_minus_spd,as_coded,61,61,-0.019621959756884633,-1.1990383761983914e-4,0.0037059299963863035,0.005291408901082857,0.007592275896101008,0.05011698181647517,17,0,44,NA
overall,unique_adjusted_r2_pure_human,spd_events_minus_spd,observed_events_only,61,61,-0.019621959756884633,-2.1765339319412824e-4,0.0037059299963863035,0.007312382130979187,0.011870880028363673,0.05011698181647517,18,0,43,NA
overall,zero_allocation_climate,events_minus_spd,as_coded,61,61,-0.3427750656743289,-0.029860602667355685,-0.0023578169191565967,-0.006255105181398967,0.02412562252956152,0.42380435344604733,33,0,28,NA
overall,zero_allocation_climate,events_minus_spd,observed_events_only,61,61,-0.3427750656743289,-0.04076660463137083,-0.0021982189345131076,-0.01000018273894712,0.0426745869315629,0.42380435344604733,32,0,29,NA
overall,zero_allocation_climate,spd_events_minus_spd,as_coded,61,61,-0.3657831839113155,-0.05388867909560502,-0.018881555642560166,-0.04327642138514185,-0.0035842293906810374,0.08759124087591241,50,1,10,NA
overall,zero_allocation_climate,spd_events_minus_spd,observed_events_only,61,61,-0.3657831839113155,-0.09034464409104026,-0.018499143219739334,-0.05355222030278761,-0.002383105789798612,0.08759124087591241,47,1,13,NA
overall,zero_allocation_human,events_minus_spd,as_coded,61,61,-0.4238043534460472,-0.05654933641084824,-0.012437037669581305,-0.01601123095489688,0.021678321678321705,0.4026833631484794,35,0,26,NA
overall,zero_allocation_human,events_minus_spd,observed_events_only,61,61,-0.4238043534460472,-0.05594817432273262,-0.011615148983570042,-0.006937584005692864,0.03511955273798231,0.4026833631484794,33,0,28,NA
overall,zero_allocation_human,spd_events_minus_spd,as_coded,61,61,-0.08759124087591241,0.015306658618803435,0.03113255730631722,0.05048401595723168,0.06791756088890778,0.4387768023683625,7,1,53,NA
overall,zero_allocation_human,spd_events_minus_spd,observed_events_only,61,61,-0.08759124087591241,0.011057379033622292,0.03409014326090469,0.06668580393384865,0.09934196305543827,0.4387768023683625,7,1,53,NA
continent,controlled_balance,events_minus_spd,as_coded,14,14,-0.030199999999999998,-0.011725000000000003,0.0016500000000000022,0.007814285714285715,0.009649999999999999,0.06870000000000001,7,0,7,Asia
continent,controlled_balance,events_minus_spd,observed_events_only,14,14,-0.030199999999999998,-0.011725000000000003,0.0016500000000000022,0.007814285714285715,0.009649999999999999,0.06870000000000001,7,0,7,Asia
continent,controlled_balance,spd_events_minus_spd,as_coded,14,14,-0.0020000000000000018,0.004799999999999999,0.014349999999999988,0.022857142857142857,0.02182500000000001,0.0792,1,0,13,Asia
continent,controlled_balance,spd_events_minus_spd,observed_events_only,14,14,-0.0020000000000000018,0.004799999999999999,0.014349999999999988,0.022857142857142857,0.02182500000000001,0.0792,1,0,13,Asia
continent,controlled_climate,events_minus_spd,as_coded,14,14,-0.025599999999999998,-0.0018749999999999878,0.005350000000000001,2.7142857142857323e-4,0.008150000000000004,0.013999999999999999,6,0,8,Asia
continent,controlled_climate,events_minus_spd,observed_events_only,14,14,-0.025599999999999998,-0.0018749999999999878,0.005350000000000001,2.7142857142857323e-4,0.008150000000000004,0.013999999999999999,6,0,8,Asia
continent,controlled_climate,spd_events_minus_spd,as_coded,14,14,-0.019199999999999995,-0.005200000000000003,-0.0028499999999999984,-0.005264285714285712,-8.999999999999911e-4,4.999999999999866e-4,11,0,3,Asia
continent,controlled_climate,spd_events_minus_spd,observed_events_only,14,14,-0.019199999999999995,-0.005200000000000003,-0.0028499999999999984,-0.005264285714285712,-8.999999999999911e-4,4.999999999999866e-4,11,0,3,Asia
continent,controlled_human,events_minus_spd,as_coded,14,14,-0.0162,-0.0042499999999999994,0.0052499999999999995,0.008085714285714286,0.009375000000000001,0.0431,5,1,8,Asia
continent,controlled_human,events_minus_spd,observed_events_only,14,14,-0.0162,-0.0042499999999999994,0.0052499999999999995,0.008085714285714286,0.009375000000000001,0.0431,5,1,8,Asia
continent,controlled_human,spd_events_minus_spd,as_coded,14,14,-0.0016000000000000007,0.004725,0.011500000000000002,0.017592857142857143,0.01755,0.06040000000000001,1,0,13,Asia
continent,controlled_human,spd_events_minus_spd,observed_events_only,14,14,-0.0016000000000000007,0.004725,0.011500000000000002,0.017592857142857143,0.01755,0.06040000000000001,1,0,13,Asia
continent,unique_adjusted_r2_pure_climate,events_minus_spd,as_coded,14,14,-0.050518848831737295,-0.0037986888751505576,0.010077597799403204,8.56502100208648e-4,0.016550008580502873,0.027771341234656632,6,0,8,Asia
continent,unique_adjusted_r2_pure_climate,events_minus_spd,observed_events_only,14,14,-0.050518848831737295,-0.0037986888751505576,0.010077597799403204,8.56502100208648e-4,0.016550008580502873,0.027771341234656632,6,0,8,Asia
continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,as_coded,14,14,-0.038458363329723855,-0.010390785548954423,-0.0056857378443908035,-0.010498105226349157,-0.0020872546822122973,9.194898526121431e-4,11,0,3,Asia
continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,observed_events_only,14,14,-0.038458363329723855,-0.010390785548954423,-0.0056857378443908035,-0.010498105226349157,-0.0020872546822122973,9.194898526121431e-4,11,0,3,Asia
continent,unique_adjusted_r2_pure_human,events_minus_spd,as_coded,14,14,-0.002235085306823481,0.0028064993325766785,0.007726476378031866,0.009551238097781325,0.014868549295381228,0.028044645008328484,3,0,11,Asia
continent,unique_adjusted_r2_pure_human,events_minus_spd,observed_events_only,14,14,-0.002235085306823481,0.0028064993325766785,0.007726476378031866,0.009551238097781325,0.014868549295381228,0.028044645008328484,3,0,11,Asia
continent,unique_adjusted_r2_pure_human,spd_events_minus_spd,as_coded,14,14,-0.0011813576021312278,0.0052687688824406,0.008397055308676016,0.01347239406662365,0.015076841897049442,0.05011698181647517,2,0,12,Asia
continent,unique_adjusted_r2_pure_human,spd_events_minus_spd,observed_events_only,14,14,-0.0011813576021312278,0.0052687688824406,0.008397055308676016,0.01347239406662365,0.015076841897049442,0.05011698181647517,2,0,12,Asia
continent,zero_allocation_climate,events_minus_spd,as_coded,14,14,-0.2461280004896389,-0.0791225311852927,-0.03531360364936326,-0.0365880652685845,0.00868999761573147,0.09670769766029219,10,0,4,Asia
continent,zero_allocation_climate,events_minus_spd,observed_events_only,14,14,-0.2461280004896389,-0.0791225311852927,-0.03531360364936326,-0.0365880652685845,0.00868999761573147,0.09670769766029219,10,0,4,Asia
continent,zero_allocation_climate,spd_events_minus_spd,as_coded,14,14,-0.2402466201857807,-0.1390049213838424,-0.07991054289288393,-0.09580505120364685,-0.026588856116119275,0.01224583159734971,13,0,1,Asia
continent,zero_allocation_climate,spd_events_minus_spd,observed_events_only,14,14,-0.2402466201857807,-0.1390049213838424,-0.07991054289288393,-0.09580505120364685,-0.026588856116119275,0.01224583159734971,13,0,1,Asia
