summary_index,summary_level,cohort,metric,contrast,n_source_rows,maximum_absolute_difference,reconciled
1,overall,as_coded,controlled_balance,events_minus_spd,61,0,TRUE
2,overall,observed_events_only,controlled_balance,events_minus_spd,61,0,TRUE
3,overall,as_coded,controlled_balance,spd_events_minus_spd,61,0,TRUE
4,overall,observed_events_only,controlled_balance,spd_events_minus_spd,61,0,TRUE
5,overall,as_coded,controlled_climate,events_minus_spd,61,0,TRUE
6,overall,observed_events_only,controlled_climate,events_minus_spd,61,0,TRUE
7,overall,as_coded,controlled_climate,spd_events_minus_spd,61,0,TRUE
8,overall,observed_events_only,controlled_climate,spd_events_minus_spd,61,0,TRUE
9,overall,as_coded,controlled_human,events_minus_spd,61,0,TRUE
10,overall,observed_events_only,controlled_human,events_minus_spd,61,0,TRUE
11,overall,as_coded,controlled_human,spd_events_minus_spd,61,0,TRUE
12,overall,observed_events_only,controlled_human,spd_events_minus_spd,61,0,TRUE
13,overall,as_coded,unique_adjusted_r2_pure_climate,events_minus_spd,61,0,TRUE
14,overall,observed_events_only,unique_adjusted_r2_pure_climate,events_minus_spd,61,0,TRUE
15,overall,as_coded,unique_adjusted_r2_pure_climate,spd_events_minus_spd,61,0,TRUE
16,overall,observed_events_only,unique_adjusted_r2_pure_climate,spd_events_minus_spd,61,0,TRUE
17,overall,as_coded,unique_adjusted_r2_pure_human,events_minus_spd,61,0,TRUE
18,overall,observed_events_only,unique_adjusted_r2_pure_human,events_minus_spd,61,0,TRUE
19,overall,as_coded,unique_adjusted_r2_pure_human,spd_events_minus_spd,61,0,TRUE
20,overall,observed_events_only,unique_adjusted_r2_pure_human,spd_events_minus_spd,61,0,TRUE
21,overall,as_coded,zero_allocation_climate,events_minus_spd,61,0,TRUE
22,overall,observed_events_only,zero_allocation_climate,events_minus_spd,61,0,TRUE
23,overall,as_coded,zero_allocation_climate,spd_events_minus_spd,61,0,TRUE
24,overall,observed_events_only,zero_allocation_climate,spd_events_minus_spd,61,0,TRUE
25,overall,as_coded,zero_allocation_human,events_minus_spd,61,0,TRUE
26,overall,observed_events_only,zero_allocation_human,events_minus_spd,61,0,TRUE
27,overall,as_coded,zero_allocation_human,spd_events_minus_spd,61,0,TRUE
28,overall,observed_events_only,zero_allocation_human,spd_events_minus_spd,61,0,TRUE
29,continent,as_coded,controlled_balance,events_minus_spd,14,0,TRUE
30,continent,observed_events_only,controlled_balance,events_minus_spd,14,0,TRUE
31,continent,as_coded,controlled_balance,spd_events_minus_spd,14,0,TRUE
32,continent,observed_events_only,controlled_balance,spd_events_minus_spd,14,0,TRUE
33,continent,as_coded,controlled_climate,events_minus_spd,14,0,TRUE
34,continent,observed_events_only,controlled_climate,events_minus_spd,14,0,TRUE
35,continent,as_coded,controlled_climate,spd_events_minus_spd,14,0,TRUE
36,continent,observed_events_only,controlled_climate,spd_events_minus_spd,14,0,TRUE
