dataset_id,have_events,region,chronology_availability,included_in_filtered_predictors,cohort,included_in_cohort,proxy_variant,requested_regional_events,retained_human_predictors,retained_climate_predictors,excluded_event_variables,reference_category
1001,TRUE,North America,observed_events,TRUE,as_coded,TRUE,events,fc;es,fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1001,TRUE,North America,observed_events,TRUE,as_coded,TRUE,spd,,spd,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1001,TRUE,North America,observed_events,TRUE,as_coded,TRUE,spd_events,fc;es,spd;fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1001,TRUE,North America,observed_events,TRUE,observed_events_only,TRUE,events,fc;es,fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1001,TRUE,North America,observed_events,TRUE,observed_events_only,TRUE,spd,,spd,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1001,TRUE,North America,observed_events,TRUE,observed_events_only,TRUE,spd_events,fc;es,spd;fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1002,TRUE,North America,observed_events,TRUE,as_coded,TRUE,events,fc;es,fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1002,TRUE,North America,observed_events,TRUE,as_coded,TRUE,spd,,spd,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1002,TRUE,North America,observed_events,TRUE,as_coded,TRUE,spd_events,fc;es,spd;fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1002,TRUE,North America,observed_events,TRUE,observed_events_only,TRUE,events,fc;es,fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1002,TRUE,North America,observed_events,TRUE,observed_events_only,TRUE,spd,,spd,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1002,TRUE,North America,observed_events,TRUE,observed_events_only,TRUE,spd_events,fc;es,spd;fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1003,TRUE,North America,observed_events,TRUE,as_coded,TRUE,events,fc;es,fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1003,TRUE,North America,observed_events,TRUE,as_coded,TRUE,spd,,spd,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1003,TRUE,North America,observed_events,TRUE,as_coded,TRUE,spd_events,fc;es,spd;fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1003,TRUE,North America,observed_events,TRUE,observed_events_only,TRUE,events,fc;es,fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1003,TRUE,North America,observed_events,TRUE,observed_events_only,TRUE,spd,,spd,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1003,TRUE,North America,observed_events,TRUE,observed_events_only,TRUE,spd_events,fc;es,spd;fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1006,TRUE,North America,observed_events,TRUE,as_coded,TRUE,events,fc;es,fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1006,TRUE,North America,observed_events,TRUE,as_coded,TRUE,spd,,spd,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1006,TRUE,North America,observed_events,TRUE,as_coded,TRUE,spd_events,fc;es,spd;fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1006,TRUE,North America,observed_events,TRUE,observed_events_only,TRUE,events,fc;es,fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1006,TRUE,North America,observed_events,TRUE,observed_events_only,TRUE,spd,,spd,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1006,TRUE,North America,observed_events,TRUE,observed_events_only,TRUE,spd_events,fc;es,spd;fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1010,TRUE,North America,observed_events,TRUE,as_coded,TRUE,events,fc;es,fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1010,TRUE,North America,observed_events,TRUE,as_coded,TRUE,spd,,spd,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
1010,TRUE,North America,observed_events,TRUE,as_coded,TRUE,spd_events,fc;es,spd;fc;es,temp_annual;temp_cold;prec_summer;prec_win,fi;ei;ec;cc;weak;strong;medium;bi;no_impact,bi
