cohort,proxy_variant,radius_km,spd_radius_specification,profile_id,aggregation_level,profile,adjusted_balance,n_records,weight_sum,region,climatezone,ranking,selection_status,requested_regional_events,retained_human_predictors,reference_category
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,overall,signed,-0.14377748698672546,1098,483.554,All,All,climate,selected,continent_specific;see_regional_model_audit,continent_specific;see_regional_model_audit,continent_specific;see_regional_model_audit
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region,signed,-0.17113998621713314,94,37.728,Asia,All,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region,signed,-0.14912975385460095,366,165.836,Europe,All,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region,signed,-0.17096319886093975,70,31.605,Latin America,All,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region,signed,-0.13242988968619165,536,233.906,North America,All,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region,signed,-0.1351536711933897,32,14.479,Oceania,All,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.17394240116655862,18,6.172,Asia,Arid,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.2795084807809641,4,1.639,Asia,Cold_Dry_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.1662709829165635,21,8.078,Asia,Cold_Dry_Winter,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.24223385276732942,8,3.722,Asia,Cold_Without_dry_season_Cold_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,0.042199999999999994,1,0.263,Asia,Cold_Without_dry_season_Hot_Summer,human,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.19047420480993021,13,5.156,Asia,Cold_Without_dry_season_Warm_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.1300394323365434,10,3.9459999999999997,Asia,Polar,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.14244216791979947,4,1.596,Asia,Temperate_Dry_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.027603396825396857,7,3.15,Asia,Temperate_Dry_Winter,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.22015494258612084,8,4.006,Asia,Temperate_Without_dry_season,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.2365729819857732,7,2.682,Europe,Arid,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.2970726464361504,1,0.546,Europe,Cold_Dry_Summer,climate,selected,,spd,bi
