cohort,aggregation_level,profile,region,climatezone,status__spd,status__spd_events,status__events,adjusted_balance__spd,adjusted_balance__spd_events,adjusted_balance__events,n_records__spd,n_records__spd_events,n_records__events,weight_sum__spd,weight_sum__spd_events,weight_sum__events,ranking__spd,ranking__spd_events,ranking__events,adjusted_balance__spd_events_minus_spd,adjusted_balance__events_minus_spd,n_records__spd_events_minus_spd,n_records__events_minus_spd,weight_sum__spd_events_minus_spd,weight_sum__events_minus_spd,ranking__spd_events_vs_spd_reversal,ranking__events_vs_spd_reversal,estimable__spd,estimable__spd_events,estimable__events,three_way_estimable,estimability_change__spd_events_vs_spd,estimability_change__events_vs_spd
as_coded,overall,signed,All,All,selected,selected,no_spatial_signal,-0.14377748698672546,-0.12119145629708541,-0.05910341933984193,1098,1023,187,483.554,458.394,86.04,climate,climate,climate,0.022586030689640046,0.08467406764688354,-75,-911,-25.159999999999968,-397.51399999999995,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region,signed,Asia,All,selected,selected,no_spatial_signal,-0.17113998621713314,-0.11287846080295998,-0.05747172708564194,94,89,31,37.728,36.082,12.634,climate,climate,climate,0.05826152541417316,0.1136682591314912,-5,-63,-1.6460000000000008,-25.094,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region,signed,Europe,All,selected,selected,no_spatial_signal,-0.14912975385460095,-0.11384251484638407,-0.006365438861443163,366,299,79,165.836,140.006,39.067,climate,climate,climate,0.035287239008216884,0.14276431499315778,-67,-287,-25.830000000000013,-126.769,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region,signed,Latin America,All,selected,selected,no_spatial_signal,-0.17096319886093975,-0.15215234122628193,-0.14949471062027733,70,70,31,31.605,31.885,12.043,climate,climate,climate,0.018810857634657813,0.021468488240662414,0,-39,0.28000000000000114,-19.562,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region,signed,North America,All,selected,selected,no_spatial_signal,-0.13242988968619165,-0.12839757366369356,-0.15746408315935978,536,531,25,233.906,232.828,11.496,climate,climate,climate,0.004032316022498095,-0.025034193473168126,-5,-511,-1.078000000000003,-222.41,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region,signed,Oceania,All,selected,selected,no_spatial_signal,-0.1351536711933897,-0.04524486901611277,-0.046287953703703685,32,34,21,14.479,17.593,10.8,climate,climate,climate,0.08990880217727693,0.08886571748968601,2,-11,3.1140000000000008,-3.6789999999999985,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Asia,Arid,selected,selected,no_spatial_signal,-0.17394240116655862,-0.10098866127076357,-0.07200059605685467,18,15,6,6.172,5.217,2.181,climate,climate,climate,0.07295373989579505,0.10194180510970395,-3,-12,-0.9550000000000001,-3.9909999999999997,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Asia,Cold_Dry_Summer,selected,selected,no_spatial_signal,-0.2795084807809641,0.026841912211489915,0.06392076069730585,4,3,2,1.639,1.433,1.262,climate,human,human,0.306350392992454,0.3434292414782699,-1,-2,-0.20599999999999996,-0.377,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Asia,Cold_Dry_Winter,selected,selected,no_spatial_signal,-0.1662709829165635,-0.13497919326725594,-0.023443457698371004,21,20,4,8.078,8.076,1.903,climate,climate,climate,0.031291789649307566,0.1428275252181925,-1,-17,-0.0019999999999988916,-6.174999999999999,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Asia,Cold_Without_dry_season_Cold_Summer,selected,selected,no_spatial_signal,-0.24223385276732942,-0.21661425873109333,-0.07982641509433962,8,10,3,3.722,4.433,1.06,climate,climate,climate,0.025619594036236093,0.16240743767298982,2,-5,0.7109999999999999,-2.662,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Asia,Cold_Without_dry_season_Hot_Summer,selected,selected,no_spatial_signal,0.042199999999999994,0.00845429610314734,-0.06259999999999996,1,2,1,0.263,0.485,0.222,human,human,climate,-0.033745703896852657,-0.10479999999999995,1,0,0.22199999999999998,-0.04100000000000001,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Asia,Cold_Without_dry_season_Warm_Summer,selected,selected,no_spatial_signal,-0.19047420480993021,-0.15215945783919546,-0.07571760932944607,13,13,4,5.156,5.475,1.715,climate,climate,climate,0.03831474697073475,0.11475659548048414,0,-9,0.31899999999999995,-3.441,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Asia,Polar,selected,selected,no_spatial_signal,-0.1300394323365434,-0.020038933776692698,-0.02350386521308233,10,11,6,3.9459999999999997,3.847,2.018,climate,climate,climate,0.1100004985598507,0.10653556712346106,1,-4,-0.09899999999999975,-1.928,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
