cohort,proxy_variant,analysis,region,age,status,n_selected,human_climate_human,human_climate_climate,human_climate_space_human,human_climate_space_climate,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,ranking_changed,zero_allocation_human
as_coded,events,temporal_events,Europe,500,spatial_model_estimated,7,0.0145,0.067,0.0115,0.0662,-0.052500000000000005,0.0115,0.0662,-0.0547,climate,climate,FALSE,0.06153023006955591
as_coded,events,temporal_events,Europe,1000,spatial_model_estimated,7,0.0197,0.1042,0.0168,0.0813,-0.0845,0.0168,0.0813,-0.0645,climate,climate,FALSE,0.07699358386801099
as_coded,events,temporal_events,Europe,1500,spatial_model_estimated,9,0.0227,0.0927,0.0186,0.0675,-0.07,0.0186,0.0675,-0.048900000000000006,climate,climate,FALSE,0.08707865168539325
as_coded,events,temporal_events,North America,500,spatial_model_estimated,5,0.0547,0.1013,0.0355,0.0636,-0.0466,0.0355,0.0636,-0.028100000000000007,climate,climate,FALSE,0.13643351268255188
as_coded,events,temporal_events,North America,1000,spatial_model_estimated,4,0.0146,0.0958,0.0101,0.0575,-0.0812,0.0101,0.0575,-0.047400000000000005,climate,climate,FALSE,0.04697674418604651
as_coded,events,temporal_events,North America,1500,spatial_model_estimated,6,0.0044,0.0962,0.0025,0.0579,-0.09179999999999999,0.0025,0.0579,-0.0554,climate,climate,FALSE,0.012159533073929961
as_coded,events,temporal_events,Latin America,500,no_spatial_terms_selected,0,0.0097,0.0687,NA,NA,-0.059,0.0097,0.0687,-0.059,climate,climate,FALSE,0.12372448979591838
as_coded,events,temporal_events,Latin America,1000,no_spatial_terms_selected,0,0.004,0.1081,NA,NA,-0.1041,0.004,0.1081,-0.1041,climate,climate,FALSE,0.03568242640499554
as_coded,events,temporal_events,Latin America,1500,spatial_model_estimated,1,8e-4,0.1286,0.0049,0.1212,-0.1278,0.0049,0.1212,-0.1163,climate,climate,FALSE,0.032471835652750164
as_coded,events,temporal_events,Oceania,500,no_spatial_terms_selected,0,-0.018,0.0856,NA,NA,-0.1036,-0.018,0.0856,-0.1036,climate,climate,FALSE,0
as_coded,events,temporal_events,Oceania,1000,spatial_model_estimated,1,0.0322,0.0864,0.06,0.0606,-0.054200000000000005,0.06,0.0606,-6.000000000000033e-4,climate,climate,FALSE,0.3368893879842785
as_coded,events,temporal_events,Oceania,1500,spatial_model_estimated,1,-0.0055,0.0727,-0.0078,0.0884,-0.0782,-0.0078,0.0884,-0.09620000000000001,climate,climate,FALSE,0
as_coded,events,temporal_events,Asia,1500,no_spatial_terms_selected,0,0.0569,0.0464,NA,NA,0.010500000000000002,0.0569,0.0464,0.010500000000000002,human,human,FALSE,0.5508228460793804
as_coded,events,temporal_events,Asia,1000,spatial_model_estimated,1,0.0512,0.043,0.0481,0.0423,0.008200000000000006,0.0481,0.0423,0.0058,human,human,FALSE,0.37933753943217663
as_coded,events,temporal_events,Asia,500,no_spatial_terms_selected,0,0.0646,0.0718,NA,NA,-0.007199999999999998,0.0646,0.0718,-0.007199999999999998,climate,climate,FALSE,0.4736070381231671
