dataset_id,analysis,total_adjusted_r_squared,human,climate,time,human_climate_only_total_adjusted_r_squared,human_climate_only_human,human_climate_only_climate,model_id,signed_difference,signed_balance,zero_human,zero_climate,zero_time,human_climate_total,three_group_total,zero_balance,human_allocation,climate_allocation,time_allocation,signed_weight,zero_weight,human_climate_only_signed_weight,human_climate_only_signed_balance,human_climate_only_zero_human,human_climate_only_zero_climate,human_climate_only_zero_weight,human_climate_only_zero_balance,signed_ranking,zero_ranking,status,long,lat,region,climatezone
48966,spatial_events,0.591,0.0675,0.2762,0.2477,0.549,0.0876,0.4612,spatial_events|48966,-0.2087,-0.35313028764805415,0.0675,0.2762,0.2477,0.3437,0.5914,-0.6072155949956357,0.11413594859655056,0.46702739262766313,0.41883665877578624,0.591,0.3437,0.549,-0.6805100182149362,0.0876,0.4612,0.5488,-0.6807580174927114,climate,climate,estimated,5.75969,52.24479,Europe,Temperate_Without_dry_season
4042,spatial_events,0.894,0.3298,0.2086,0.3552,0.696,0.5104,0.1856,spatial_events|4042,0.12119999999999997,0.1355704697986577,0.3298,0.2086,0.3552,0.5384,0.8936,0.22511144130757796,0.3690689346463742,0.23343777976723368,0.3974932855863922,0.894,0.5384,0.696,0.4666666666666667,0.5104,0.1856,0.696,0.4666666666666667,human,human,estimated,13.67319,58.55679,Europe,Cold_Without_dry_season_Warm_Summer
2395,spatial_events,0.447,0.0519,0.0827,0.3124,0.211,0.0867,0.1246,spatial_events|2395,-0.030799999999999994,-0.06890380313199104,0.0519,0.0827,0.3124,0.1346,0.447,-0.22882615156017827,0.11610738255033558,0.1850111856823266,0.6988814317673379,0.447,0.1346,0.211,-0.17962085308056874,0.0867,0.1246,0.2113,-0.17936583057264555,climate,climate,estimated,-90.13333,20.86667,Latin America,Tropical
4542,spatial_events,0.648,0.0796,0.4753,0.0933,0.663,0.1101,0.5532,spatial_events|4542,-0.3957,-0.6106481481481482,0.0796,0.4753,0.0933,0.5549,0.6481999999999999,-0.7131014597224726,0.12280160444307316,0.7332613390928727,0.14393705646405433,0.648,0.5549,0.663,-0.6683257918552037,0.1101,0.5532,0.6633,-0.6680235187697875,climate,climate,estimated,32.63333,65.11667,Europe,Cold_Without_dry_season_Cold_Summer
17689,spatial_events,0.446,0.0785,0.2378,0.1299,0.482,0.0955,0.3867,spatial_events|17689,-0.1593,-0.35717488789237667,0.0785,0.2378,0.1299,0.3163,0.44620000000000004,-0.5036357888080936,0.17593007619901388,0.5329448677722994,0.29112505602868666,0.446,0.3163,0.482,-0.6041493775933611,0.0955,0.3867,0.48219999999999996,-0.6038987971795936,climate,climate,estimated,-80.26015,43.26052,North America,Cold_Without_dry_season_Warm_Summer
25285,spatial_events,0.543,0.2103,0.2484,0.0844,0.582,0.3026,0.2793,spatial_events|25285,-0.03810000000000002,-0.07016574585635363,0.2103,0.2484,0.0844,0.4587,0.5431,-0.08306082406801836,0.3872215061682931,0.4573743325354447,0.1554041612962622,0.543,0.4587,0.582,0.04003436426116837,0.3026,0.2793,0.5819,0.040041244200034354,climate,climate,estimated,5.28333,45.79083,Europe,Temperate_Without_dry_season
45383,spatial_events,0.794,0.1723,0.4771,0.1445,0.806,0.2151,0.5913,spatial_events|45383,-0.3048,-0.38387909319899244,0.1723,0.4771,0.1445,0.6494,0.7938999999999999,-0.4693563289190022,0.2170298526262754,0.6009572994079859,0.18201284796573877,0.794,0.6494,0.806,-0.4667493796526055,0.2151,0.5913,0.8064,-0.4665178571428572,climate,climate,estimated,25.53861,59.48944,Europe,Cold_Without_dry_season_Warm_Summer
4197,spatial_events,0.229,0.2214,-0.0684,0.0764,0.292,0.3237,-0.032,spatial_events|4197,0.2898,1.2655021834061135,0.2214,0,0.0764,0.2214,0.2978,1,0.7434519811954332,0,0.2565480188045668,0.229,0.2214,0.292,1.218150684931507,0.3237,0,0.3237,1,human,human,estimated,5.41667,45.47333,Europe,Temperate_Without_dry_season
42671,spatial_events,0.631,0.1789,0.1897,0.2619,0.473,0.2397,0.2337,spatial_events|42671,-0.010800000000000004,-0.017115689381933447,0.1789,0.1897,0.2619,0.36860000000000004,0.6305000000000001,-0.029300054259359748,0.2837430610626487,0.3008723235527359,0.41538461538461535,0.631,0.36860000000000004,0.473,0.012684989429175487,0.2397,0.2337,0.4734,0.012674271229404321,climate,climate,estimated,8.2395,48.56961,Europe,Cold_Without_dry_season_Warm_Summer
22842,spatial_events,0.314,0.0478,0.1359,0.1301,0.282,0.1331,0.1491,spatial_events|22842,-0.08809999999999998,-0.28057324840764325,0.0478,0.1359,0.1301,0.1837,0.31379999999999997,-0.47958628198149145,0.15232632249840666,0.4330783938814532,0.41459528362014025,0.314,0.1837,0.282,-0.056737588652482324,0.1331,0.1491,0.2822,-0.05669737774627928,climate,climate,estimated,7.19861,46.35972,Europe,Cold_Without_dry_season_Cold_Summer
