dataset_id,analysis,measure,component,value,region,climatezone,long,lat,climatezone_label,figure_profile
48966,spatial_events,unique_adjusted_r2,climate,-0.016488545436628477,Europe,Temperate,5.75969,52.24479,TMP,climate_unique_adjusted_r2
4042,spatial_events,unique_adjusted_r2,climate,0.24108064589111744,Europe,Cold - Warm Summer,13.67319,58.55679,CWS,climate_unique_adjusted_r2
2395,spatial_events,unique_adjusted_r2,climate,0.05003402985711414,Latin America,Tropical,-90.13333,20.86667,TRO,climate_unique_adjusted_r2
4542,spatial_events,unique_adjusted_r2,climate,0.34983788457216136,Europe,Cold - Cold Summer,32.63333,65.11667,CCS,climate_unique_adjusted_r2
17689,spatial_events,unique_adjusted_r2,climate,0.08638931213145118,North America,Cold - Warm Summer,-80.26015,43.26052,CWS,climate_unique_adjusted_r2
25285,spatial_events,unique_adjusted_r2,climate,0.15597444157650797,Europe,Temperate,5.28333,45.79083,TMP,climate_unique_adjusted_r2
45383,spatial_events,unique_adjusted_r2,climate,0.2537297927709766,Europe,Cold - Warm Summer,25.53861,59.48944,CWS,climate_unique_adjusted_r2
4197,spatial_events,unique_adjusted_r2,climate,-0.06285660383602776,Europe,Temperate,5.41667,45.47333,TMP,climate_unique_adjusted_r2
42671,spatial_events,unique_adjusted_r2,climate,0.09468717208109856,Europe,Cold - Warm Summer,8.2395,48.56961,CWS,climate_unique_adjusted_r2
22842,spatial_events,unique_adjusted_r2,climate,0.10923454914947006,Europe,Cold - Cold Summer,7.19861,46.35972,CCS,climate_unique_adjusted_r2
24467,spatial_events,unique_adjusted_r2,climate,-0.011939696811354206,Europe,Temperate,3.13333,49.18333,TMP,climate_unique_adjusted_r2
22711,spatial_events,unique_adjusted_r2,climate,0.09796229710528437,Europe,Temperate,-5.34361,57.55889,TMP,climate_unique_adjusted_r2
40997,spatial_events,unique_adjusted_r2,climate,0.1562647095166343,Asia,Cold - Dry Winter,108.91361,53.95472,CDW,climate_unique_adjusted_r2
309,spatial_events,unique_adjusted_r2,climate,0.15090630749370315,North America,Cold - Warm Summer,-74.68333,43.91667,CWS,climate_unique_adjusted_r2
34553,spatial_events,unique_adjusted_r2,climate,0.13056133781221713,Oceania,Temperate,145.95589,-41.66993,TMP,climate_unique_adjusted_r2
4198,spatial_events,unique_adjusted_r2,climate,0.03439933917005611,Europe,Temperate,5.41667,45.47333,TMP,climate_unique_adjusted_r2
26608,spatial_events,unique_adjusted_r2,climate,-0.015534163942498402,Europe,Temperate - Dry Summer,15.60075,40.92751,TDS,climate_unique_adjusted_r2
3879,spatial_events,unique_adjusted_r2,climate,0.12619623411776648,Europe,Temperate,-3.90841,57.31333,TMP,climate_unique_adjusted_r2
518,spatial_events,unique_adjusted_r2,climate,0.15805203082663954,North America,Cold - Warm Summer,-80.28333,38.2,CWS,climate_unique_adjusted_r2
21537,spatial_events,unique_adjusted_r2,climate,-0.08174761429997113,Latin America,Tropical,-67.92396,-14.43169,TRO,climate_unique_adjusted_r2
4092,spatial_events,unique_adjusted_r2,climate,0.08664695076748052,Europe,Cold - Cold Summer,24.25122,60.62404,CCS,climate_unique_adjusted_r2
15103,spatial_events,unique_adjusted_r2,climate,0.03038958171343853,Latin America,Temperate - Dry Summer,-71.51314,-41.5129,TDS,climate_unique_adjusted_r2
20223,spatial_events,unique_adjusted_r2,climate,-0.0054721971272608805,Europe,Cold - Warm Summer,13.92972,50.12944,CWS,climate_unique_adjusted_r2
42649,spatial_events,unique_adjusted_r2,climate,0.2490806239857113,Europe,Temperate,9.00032,47.68985,TMP,climate_unique_adjusted_r2
