analysis,region,climatezone,climatezone_label,value,dataset_count,summary_colour,panel_label,panel_x,figure_profile
spatial_spd,North America,Polar,POL,0.09658898616654732,36,#D8D8D8,POL,0.5,climate_unique_adjusted_r2
spatial_spd,North America,Cold - Cold Summer,CCS,0.0732206051884316,136,#D2D2D2,CCS,0.5,climate_unique_adjusted_r2
spatial_spd,North America,Cold - Warm Summer,CWS,0.07426842514085014,190,#D2D2D2,CWS,0.5,climate_unique_adjusted_r2
spatial_spd,North America,Cold - Hot Summer,CHS,0.07759306591099618,52,#D3D3D3,CHS,0.5,climate_unique_adjusted_r2
spatial_spd,North America,Cold - Dry Summer,CDS,0.05114409065529257,49,#CCCCCC,CDS,0.5,climate_unique_adjusted_r2
spatial_spd,North America,Temperate,TMP,0.08862682701959124,39,#D6D6D6,TMP,0.5,climate_unique_adjusted_r2
spatial_spd,North America,Temperate - Dry Summer,TDS,0.03246360871870402,17,#C8C8C8,TDS,0.5,climate_unique_adjusted_r2
spatial_spd,North America,Arid,ARD,0.03645555555378488,17,#C9C9C9,ARD,0.5,climate_unique_adjusted_r2
spatial_spd,Latin America,Polar,POL,0.12318359139631596,23,#DEDEDE,POL,0.5,climate_unique_adjusted_r2
spatial_spd,Latin America,Cold - Dry Summer,CDS,-0.012013836062467198,2,#BDBDBD,CDS,0.5,climate_unique_adjusted_r2
spatial_spd,Latin America,Temperate,TMP,0.13706626153204815,15,#E2E2E2,TMP,0.5,climate_unique_adjusted_r2
spatial_spd,Latin America,Temperate - Dry Winter,TDW,0.0750017442751621,2,#D2D2D2,TDW,0.5,climate_unique_adjusted_r2
spatial_spd,Latin America,Temperate - Dry Summer,TDS,0.11646866418176904,8,#DDDDDD,TDS,0.5,climate_unique_adjusted_r2
spatial_spd,Latin America,Tropical,TRO,0.05679853038089544,15,#CECECE,TRO,0.5,climate_unique_adjusted_r2
spatial_spd,Latin America,Arid,ARD,0.016535144735804197,5,#C4C4C4,ARD,0.5,climate_unique_adjusted_r2
spatial_spd,Europe,Polar,POL,0.048236534755485505,29,#CCCCCC,POL,0.5,climate_unique_adjusted_r2
spatial_spd,Europe,Cold - Cold Summer,CCS,0.08851632521836461,90,#D6D6D6,CCS,0.5,climate_unique_adjusted_r2
spatial_spd,Europe,Cold - Warm Summer,CWS,0.06737514763901903,140,#D1D1D1,CWS,0.5,climate_unique_adjusted_r2
spatial_spd,Europe,Cold - Dry Summer,CDS,0.041968437109138446,1,#CACACA,CDS,0.5,climate_unique_adjusted_r2
spatial_spd,Europe,Temperate,TMP,0.11018928615914203,85,#DBDBDB,TMP,0.5,climate_unique_adjusted_r2
spatial_spd,Europe,Temperate - Dry Summer,TDS,0.11055167928797593,14,#DBDBDB,TDS,0.5,climate_unique_adjusted_r2
spatial_spd,Europe,Arid,ARD,0.09608650166204413,7,#D8D8D8,ARD,0.5,climate_unique_adjusted_r2
spatial_spd,Asia,Polar,POL,0.05555382163486128,10,#CECECE,POL,0.5,climate_unique_adjusted_r2
spatial_spd,Asia,Cold - Cold Summer,CCS,0.15548507387137578,8,#E7E7E7,CCS,0.5,climate_unique_adjusted_r2
spatial_spd,Asia,Cold - Warm Summer,CWS,0.04375189892861764,13,#CBCBCB,CWS,0.5,climate_unique_adjusted_r2
spatial_spd,Asia,Cold - Hot Summer,CHS,-0.044885891389306876,1,#B5B5B5,CHS,0.5,climate_unique_adjusted_r2
spatial_spd,Asia,Cold - Dry Winter,CDW,0.03423508681213139,21,#C8C8C8,CDW,0.5,climate_unique_adjusted_r2
spatial_spd,Asia,Cold - Dry Summer,CDS,0.01739048031789464,4,#C4C4C4,CDS,0.5,climate_unique_adjusted_r2
spatial_spd,Asia,Temperate,TMP,0.04557767438655436,8,#CBCBCB,TMP,0.5,climate_unique_adjusted_r2
spatial_spd,Asia,Temperate - Dry Winter,TDW,0.07310836827175149,7,#D2D2D2,TDW,0.5,climate_unique_adjusted_r2
