dataset_id,analysis,measure,component,value,region,climatezone,long,lat,climatezone_label,figure_profile
46516,spatial_spd,unique_adjusted_r2,climate,0.15629122303836496,Europe,Cold - Warm Summer,28.61129,59.61457,CWS,climate_unique_adjusted_r2
26606,spatial_spd,unique_adjusted_r2,climate,0.21294508538426826,North America,Cold - Warm Summer,-93.72746,49.65882,CWS,climate_unique_adjusted_r2
48966,spatial_spd,unique_adjusted_r2,climate,0.12476934719213639,Europe,Temperate,5.75969,52.24479,TMP,climate_unique_adjusted_r2
3565,spatial_spd,unique_adjusted_r2,climate,0.21876079922485625,North America,Cold - Warm Summer,-71.80778,46.89194,CWS,climate_unique_adjusted_r2
3032,spatial_spd,unique_adjusted_r2,climate,-7.757668676384721e-4,North America,Cold - Warm Summer,-85.66111,46.42917,CWS,climate_unique_adjusted_r2
4383,spatial_spd,unique_adjusted_r2,climate,0.4747466479983894,Europe,Cold - Warm Summer,8.32556,47.07556,CWS,climate_unique_adjusted_r2
45377,spatial_spd,unique_adjusted_r2,climate,0.14372818102671547,Europe,Cold - Warm Summer,24.1,59.075,CWS,climate_unique_adjusted_r2
236,spatial_spd,unique_adjusted_r2,climate,0.40952248722320683,North America,Cold - Warm Summer,-79.78,47.23,CWS,climate_unique_adjusted_r2
4170,spatial_spd,unique_adjusted_r2,climate,0.06600446249385794,Europe,Cold - Warm Summer,24.33333,41.98333,CWS,climate_unique_adjusted_r2
25372,spatial_spd,unique_adjusted_r2,climate,0.08333889419240359,Europe,Temperate,4.07917,47.26194,TMP,climate_unique_adjusted_r2
46544,spatial_spd,unique_adjusted_r2,climate,0.32353642316686915,Europe,Cold - Warm Summer,25.77353,58.48888,CWS,climate_unique_adjusted_r2
982,spatial_spd,unique_adjusted_r2,climate,0.014889164076770545,North America,Cold - Warm Summer,-85.11667,44.88333,CWS,climate_unique_adjusted_r2
26448,spatial_spd,unique_adjusted_r2,climate,0.05396674311394456,Europe,Cold - Cold Summer,10.47833,46.87,CCS,climate_unique_adjusted_r2
4042,spatial_spd,unique_adjusted_r2,climate,0.13249212351244044,Europe,Cold - Warm Summer,13.67319,58.55679,CWS,climate_unique_adjusted_r2
3487,spatial_spd,unique_adjusted_r2,climate,-0.010755022343760134,North America,Cold - Hot Summer,-97.36301,44.97734,CHS,climate_unique_adjusted_r2
21675,spatial_spd,unique_adjusted_r2,climate,0.005633095530619858,Latin America,Tropical,-76.5333,3.0833,TRO,climate_unique_adjusted_r2
26499,spatial_spd,unique_adjusted_r2,climate,-0.08641662655427851,Europe,Polar,11.01283,46.84566,POL,climate_unique_adjusted_r2
24840,spatial_spd,unique_adjusted_r2,climate,-0.029320335192208113,Europe,Temperate,-1.59583,47.27222,TMP,climate_unique_adjusted_r2
