analysis,region,value,dataset_count,line_colour,figure_profile
spatial_spd,North America,0.07252558611789889,536,#DFE6E5,climate_unique_adjusted_r2
spatial_spd,Latin America,0.07829866500158733,70,#DEE5E4,climate_unique_adjusted_r2
spatial_spd,Europe,0.08371072490324333,366,#DDE4E3,climate_unique_adjusted_r2
spatial_spd,Asia,0.042623369065476924,94,#E7EBEB,climate_unique_adjusted_r2
spatial_spd,Oceania,0.09770083672118185,32,#D9E1E1,climate_unique_adjusted_r2
spatial_spd,North America,0.0027263210041479358,536,#F2F2F1,human_unique_adjusted_r2
spatial_spd,Latin America,0.015010457033873492,70,#F2F0EE,human_unique_adjusted_r2
spatial_spd,Europe,0.00831223253594543,366,#F2F1F0,human_unique_adjusted_r2
spatial_spd,Asia,0.004849057027944248,94,#F2F1F1,human_unique_adjusted_r2
spatial_spd,Oceania,0.014433439733135711,32,#F2F0EF,human_unique_adjusted_r2
spatial_spd,North America,0.04667884665277783,536,#E7E6EE,time_unique_adjusted_r2
spatial_spd,Latin America,0.0752984165097777,70,#E1DFEB,time_unique_adjusted_r2
spatial_spd,Europe,0.08956957178567504,366,#DDDBEA,time_unique_adjusted_r2
spatial_spd,Asia,0.04769140616237666,94,#E7E6EE,time_unique_adjusted_r2
spatial_spd,Oceania,0.053596206599899,32,#E6E4ED,time_unique_adjusted_r2
spatial_spd,North America,0.18075,536,#BDCFCE,climate_untruncated_hierarchical_contribution
spatial_spd,Latin America,0.22325,70,#B1C7C6,climate_untruncated_hierarchical_contribution
spatial_spd,Europe,0.18464999999999998,366,#BCCECE,climate_untruncated_hierarchical_contribution
spatial_spd,Asia,0.18225,94,#BDCFCE,climate_untruncated_hierarchical_contribution
spatial_spd,Oceania,0.17495,32,#BFD0D0,climate_untruncated_hierarchical_contribution
spatial_spd,North America,0.06315,536,#F0EAE1,human_untruncated_hierarchical_contribution
spatial_spd,Latin America,0.0403,70,#F1EDE7,human_untruncated_hierarchical_contribution
spatial_spd,Europe,0.0376,366,#F1EDE8,human_untruncated_hierarchical_contribution
spatial_spd,Asia,0.0284,94,#F1EEEA,human_untruncated_hierarchical_contribution
spatial_spd,Oceania,0.07780000000000001,32,#F0E8DD,human_untruncated_hierarchical_contribution
spatial_spd,North America,0.17135,536,#C5C0DF,time_untruncated_hierarchical_contribution
spatial_spd,Latin America,0.16785,70,#C6C1E0,time_untruncated_hierarchical_contribution
spatial_spd,Europe,0.20365,366,#BCB7DC,time_untruncated_hierarchical_contribution
spatial_spd,Asia,0.15510000000000002,94,#C9C5E1,time_untruncated_hierarchical_contribution
spatial_spd,Oceania,0.15039999999999998,32,#CAC6E2,time_untruncated_hierarchical_contribution
