dataset_id,region,climatezone,status_250_km,status_500_km,total_adjusted_r_squared_250_km,total_adjusted_r_squared_500_km,human_250_km,human_500_km,climate_250_km,climate_500_km,time_250_km,time_500_km,signed_difference_250_km,signed_difference_500_km,signed_balance_250_km,signed_balance_500_km,zero_balance_250_km,zero_balance_500_km,unique_adjusted_r2_pure_human_250_km,unique_adjusted_r2_pure_human_500_km,unique_adjusted_r2_pure_climate_250_km,unique_adjusted_r2_pure_climate_500_km,unique_adjusted_r2_pure_time_250_km,unique_adjusted_r2_pure_time_500_km,zero_ranking_250_km,zero_ranking_500_km,signed_ranking_250_km,signed_ranking_500_km,total_adjusted_r_squared_delta_500_minus_250,human_delta_500_minus_250,climate_delta_500_minus_250,time_delta_500_minus_250,signed_difference_delta_500_minus_250,signed_balance_delta_500_minus_250,zero_balance_delta_500_minus_250,unique_adjusted_r2_pure_human_delta_500_minus_250,unique_adjusted_r2_pure_climate_delta_500_minus_250,unique_adjusted_r2_pure_time_delta_500_minus_250,profile_250_km_present,profile_500_km_present,estimable_250_km,estimable_500_km,matched_estimable,status_changed,zero_ranking_reversal,signed_ranking_reversal,ranking_reversal,robustness_classification,material_change
46516,Europe,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.456,0.45,-0.0091,0.0439,0.2138,0.197,0.2517,0.2089,-0.2229,-0.15310000000000001,-0.48881578947368415,-0.34022222222222226,-1,-0.6355334163553342,-0.05016358991162595,-0.05661574343783493,0.15629122303836496,0.09173229807293992,0.1833708551565909,0.06668110310641018,climate,climate,climate,climate,-0.006000000000000005,0.053000000000000005,-0.01679999999999998,-0.04279999999999998,0.06979999999999997,0.1485935672514619,0.3644665836446658,-0.006452153526208981,-0.06455892496542504,-0.11668975205018073,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
26606,North America,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.705,0.627,0.1389,0.1087,0.3514,0.3013,0.2147,0.2165,-0.2125,-0.1926,-0.30141843971631205,-0.30717703349282294,-0.43340811747909447,-0.4697560975609756,0.0549234147175951,-0.02346735717804771,0.21294508538426823,0.09797969310814902,0.03328843014098059,0.02229888868995411,climate,climate,climate,climate,-0.07799999999999996,-0.03019999999999999,-0.05009999999999998,0.001799999999999996,0.0199,-0.00575859377651089,-0.036347980081881115,-0.07839077189564281,-0.11496539227611921,-0.010989541451026479,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
22322,Europe,Cold_Without_dry_season_Warm_Summer,estimated,estimated,-0.007,0.24,-0.071,0.2116,-0.0562,-0.0663,0.1199,0.095,-0.01479999999999999,0.27790000000000004,2.1142857142857134,1.157916666666667,NA,1,-0.09041904408524726,0.1571030305458574,-0.12445237796614904,-0.17574562039187347,0.08405272422819676,0.0031517621358128,NA,human,climate,human,0.247,0.2826,-0.010099999999999998,-0.024900000000000005,0.2927,-0.9563690476190465,NA,0.24752207463110465,-0.05129324242572443,-0.08090096209238397,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,same_ranking,FALSE
48966,Europe,Temperate_Without_dry_season,estimated,estimated,0.621,0.665,-0.0011,0.1532,0.3422,0.2851,0.2797,0.2265,-0.3433,-0.13190000000000002,-0.552818035426731,-0.19834586466165416,-1,-0.30093543235227016,-0.03079001294767824,0.01323943415471573,0.1247693471921364,0.10420618904354106,0.115556840559915,0.10295624997753627,climate,climate,climate,climate,0.04400000000000004,0.1543,-0.057099999999999984,-0.0532,0.21139999999999998,0.35447217076507687,0.6990645676477298,0.04402944710239397,-0.020563158148595342,-0.012600590582378723,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
3565,North America,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.78,0.756,0.0649,0.0533,0.5246,0.5441,0.1907,0.1583,-0.45969999999999994,-0.4908,-0.5893589743589742,-0.6492063492063492,-0.779813401187447,-0.821560093739538,0.01336768440909064,-0.01121818580795086,0.21876079922485625,0.3335014363889497,-2.4377886849891173e-4,0.01062795878614764,climate,climate,climate,climate,-0.02400000000000002,-0.0116,0.019500000000000073,-0.03240000000000001,-0.031100000000000072,-0.05984737484737501,-0.04174669255209096,-0.0245858702170415,0.11474063716409344,0.010871737654646552,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
3032,North America,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.557,0.469,0.1549,0.1164,0.0871,0.0848,0.3146,0.2677,0.06780000000000001,0.0316,0.12172351885098744,0.06737739872068231,0.28016528925619844,0.15705765407554675,0.11792141914721666,0.0302166188164662,-7.757668676384721e-4,-0.03421602048883099,0.24085236652401731,0.11818514967672844,human,human,human,human,-0.08800000000000008,-0.038500000000000006,-0.0022999999999999965,-0.0469,-0.03620000000000001,-0.054346120130305126,-0.12310763518065168,-0.08770480033075045,-0.03344025362119252,-0.12266721684728887,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
4383,Europe,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.732,0.621,0.14,0.1424,0.2162,0.1719,0.3753,0.3063,-0.07619999999999999,-0.0295,-0.10409836065573767,-0.04750402576489532,-0.2139247613700168,-0.09385937002863504,0.1520516513922442,0.04112053792745984,0.4747466479983894,0.32972415839805336,0.6392302154396413,0.4449015982855251,climate,climate,climate,climate,-0.11099999999999999,0.0023999999999999855,-0.044300000000000006,-0.069,0.04669999999999999,0.056594334890842354,0.12006539134138178,-0.11093111346478435,-0.14502248960033604,-0.1943286171541162,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
45377,Europe,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.273,0.364,0.0282,0.0271,0.1891,0.2422,0.0561,0.0947,-0.1609,-0.2151,-0.5893772893772893,-0.5909340659340659,-0.7404509894155545,-0.7987374675083551,-0.05968062508480032,0.03091403819048799,0.14372818102671547,0.3108189811762213,0.01509892935381018,0.15295937378203583,climate,climate,climate,climate,0.09099999999999997,-0.0011000000000000003,0.05310000000000001,0.03860000000000001,-0.054200000000000026,-0.0015567765567766623,-0.05828647809280052,0.09059466327528831,0.16709080014950584,0.13786044442822565,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
236,North America,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.539,0.369,0.0431,0.0951,0.3177,0.1737,0.178,0.1005,-0.27459999999999996,-0.07859999999999999,-0.5094619666048237,-0.2130081300813008,-0.7610864745011086,-0.29241071428571425,0.1192595078836758,-0.05018456147061334,0.4095224872232068,-0.01107565430059065,0.2563972194571631,-0.0311453985387039,climate,climate,climate,climate,-0.17000000000000004,0.052000000000000005,-0.144,-0.07749999999999999,0.19599999999999995,0.29645383652352286,0.4686757602153943,-0.16944406935428913,-0.42059814152379743,-0.287542617995867,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
4170,Europe,Cold_Without_dry_season_Warm_Summer,estimated,estimated,0.455,0.526,-0.0207,0.0617,0.2854,0.2973,0.1902,0.1673,-0.3061,-0.2356,-0.6727472527472527,-0.4479087452471483,-1,-0.6562674094707521,-0.00116801185712778,0.0702545286455778,0.06600446249385794,0.148908050684315,-0.03878593607774716,-0.02543059230099886,climate,climate,climate,climate,0.07100000000000001,0.0824,0.011900000000000022,-0.022900000000000004,0.07049999999999998,0.22483850750010437,0.34373259052924787,0.07142254050270558,0.08290358819045707,0.013355343776748303,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,same_ranking,FALSE
