summary_level,metric,n_units,n_profile_250_km_present,n_profile_500_km_present,n_estimable_250_km,n_estimable_500_km,n_matched_estimable,n_status_changes,n_ranking_reversals,n_lost_estimability,n_gained_estimability,n_material_changes,proportion_ranking_reversals,proportion_material_changes,median_delta,delta_q25,delta_q75,region,climatezone
overall,zero_balance,1262,1262,1262,999,1126,999,139,94,0,127,221,0.0940940940940941,0.1751188589540412,0.0254669803228883,-0.06693614138104509,0.22735733912736153,NA,NA
region,zero_balance,177,177,177,42,98,42,62,0,0,56,56,0,0.3163841807909605,0,-0.07049709927487693,0.25664262194588583,Asia,NA
region,zero_balance,396,396,396,367,381,367,17,37,0,14,51,0.1008174386920981,0.12878787878787878,0,-0.10712891424097987,0.16449477077927188,Europe,NA
region,zero_balance,87,87,87,60,73,60,13,3,0,13,16,0.05,0.1839080459770115,0,-0.15082092009368597,0.13089336661911555,Latin America,NA
region,zero_balance,554,554,554,499,542,499,46,52,0,43,95,0.10420841683366733,0.17148014440433212,0.07406530687216206,-0.03269640243098455,0.281355299053506,North America,NA
region,zero_balance,48,48,48,31,32,31,1,2,0,1,3,0.06451612903225806,0.0625,0.016287333193448328,-0.07878596911710121,0.11269687010642561,Oceania,NA
climatezone,zero_balance,63,63,63,38,50,38,14,3,0,12,15,0.07894736842105263,0.23809523809523808,0,-0.13447597565779146,0.13504337985665782,NA,Arid
climatezone,zero_balance,64,64,64,53,56,53,4,7,0,3,10,0.1320754716981132,0.15625,0.12684099789600245,-0.02755858668739153,0.4186138220893508,NA,Cold_Dry_Summer
climatezone,zero_balance,35,35,35,15,23,15,8,0,0,8,8,0,0.22857142857142856,0,-0.32555356683816444,0.3071163485134192,NA,Cold_Dry_Winter
climatezone,zero_balance,272,272,272,211,241,211,33,21,0,30,51,0.0995260663507109,0.1875,0.04955414198101053,-0.0529705830149223,0.2374355079937339,NA,Cold_Without_dry_season_Cold_Summer
climatezone,zero_balance,55,55,55,52,53,52,1,5,0,1,6,0.09615384615384616,0.10909090909090909,0.11555040436960928,-0.013880579738667465,0.345773432557022,NA,Cold_Without_dry_season_Hot_Summer
climatezone,zero_balance,3,3,3,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,Cold_Without_dry_season_Very_Cold_Summer
climatezone,zero_balance,369,369,369,325,354,325,34,35,0,29,64,0.1076923076923077,0.17344173441734417,0.0567398572307434,-0.050121286802916616,0.25603657910059247,NA,Cold_Without_dry_season_Warm_Summer
climatezone,zero_balance,116,116,116,80,101,80,21,5,0,21,26,0.0625,0.22413793103448276,0.01456001105349794,-0.09982384028185565,0.19445100232671775,NA,Polar
climatezone,zero_balance,46,46,46,44,45,44,2,4,0,1,5,0.09090909090909091,0.10869565217391304,0,-0.10115125808385192,0.0849381345232462,NA,Temperate_Dry_Summer
climatezone,zero_balance,16,16,16,2,10,2,8,0,0,8,8,0,0.5,0.13783927670771268,0.0440942067229194,0.23158434669250594,NA,Temperate_Dry_Winter
climatezone,zero_balance,193,193,193,168,174,168,6,14,0,6,20,0.08333333333333333,0.10362694300518134,1.1589483827295632e-4,-0.10734488840679217,0.12366484181746393,NA,Temperate_Without_dry_season
climatezone,zero_balance,30,30,30,11,19,11,8,0,0,8,8,0,0.26666666666666666,-0.03423500038160021,-0.1093568489777755,0.005656812074676942,NA,Tropical
region_and_climatezone,zero_balance,32,32,32,10,20,10,12,0,0,10,10,0,0.3125,0,-0.13447597565779146,0.08260536249968697,Asia,Arid
region_and_climatezone,zero_balance,8,8,8,4,4,4,0,0,0,0,0,0,0,0.5827753462819325,0.3183690280065897,0.7735249696771787,Asia,Cold_Dry_Summer
region_and_climatezone,zero_balance,35,35,35,15,23,15,8,0,0,8,8,0,0.22857142857142856,0,-0.32555356683816444,0.3071163485134192,Asia,Cold_Dry_Winter
region_and_climatezone,zero_balance,34,34,34,0,8,0,8,0,0,8,8,NA,0.23529411764705882,NA,NA,NA,Asia,Cold_Without_dry_season_Cold_Summer
region_and_climatezone,zero_balance,2,2,2,0,1,0,1,0,0,1,1,NA,0.5,NA,NA,NA,Asia,Cold_Without_dry_season_Hot_Summer
region_and_climatezone,zero_balance,3,3,3,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,Asia,Cold_Without_dry_season_Very_Cold_Summer
region_and_climatezone,zero_balance,19,19,19,3,13,3,14,0,0,10,10,0,0.5263157894736842,0,-0.037466690709462847,0.09677436981453019,Asia,Cold_Without_dry_season_Warm_Summer
region_and_climatezone,zero_balance,20,20,20,4,10,4,6,0,0,6,6,0,0.3,0.022063632693884755,-0.017254584640048504,0.0971228378138768,Asia,Polar
region_and_climatezone,zero_balance,5,5,5,3,4,3,1,0,0,1,1,0,0.2,0.2582418225069474,-0.13841302539811007,0.4305949958944627,Asia,Temperate_Dry_Summer
region_and_climatezone,zero_balance,9,9,9,0,7,0,7,0,0,7,7,NA,0.7777777777777778,NA,NA,NA,Asia,Temperate_Dry_Winter
region_and_climatezone,zero_balance,9,9,9,3,8,3,5,0,0,5,5,0,0.5555555555555556,0.034068485693872774,-5.234421864768191e-4,0.06073988348944659,Asia,Temperate_Without_dry_season
region_and_climatezone,zero_balance,1,1,1,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,Asia,Tropical
region_and_climatezone,zero_balance,7,7,7,7,7,7,0,0,0,0,0,0,0,0,-0.06268548483853881,0.09576661451224511,Europe,Arid
region_and_climatezone,zero_balance,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,Europe,Cold_Dry_Summer
region_and_climatezone,zero_balance,95,95,95,89,92,89,4,7,0,3,10,0.07865168539325842,0.10526315789473684,0.00842708699177868,-0.06752268158984834,0.1173894466578285,Europe,Cold_Without_dry_season_Cold_Summer
