analysis_scope,analytical_unit,region,climatezone,age,status_250_km,status_500_km,ranking_250_km,ranking_500_km,robustness_classification,balance_delta_500_minus_250
spatial_dataset,22322,Europe,Cold_Without_dry_season_Warm_Summer,NA,estimated,estimated,climate,human,ranking_reversal,0.2927
spatial_dataset,21675,Latin America,Tropical,NA,missing_predictor_group,estimated,NA,human,gained_estimability,NA
spatial_dataset,1010,North America,Cold_Without_dry_season_Cold_Summer,NA,missing_predictor_group,estimated,NA,human,gained_estimability,NA
spatial_dataset,17402,North America,Cold_Without_dry_season_Cold_Summer,NA,estimated,estimated,human,climate,ranking_reversal,-0.024799999999999996
spatial_dataset,1451,North America,Cold_Without_dry_season_Warm_Summer,NA,estimated,estimated,climate,human,ranking_reversal,0.0913
spatial_dataset,46490,Europe,Cold_Without_dry_season_Warm_Summer,NA,missing_predictor_group,estimated,NA,climate,gained_estimability,NA
spatial_dataset,15232,North America,Cold_Without_dry_season_Cold_Summer,NA,estimated,estimated,climate,human,ranking_reversal,0.147
spatial_dataset,15970,North America,Cold_Without_dry_season_Cold_Summer,NA,missing_predictor_group,estimated,NA,climate,gained_estimability,NA
spatial_dataset,2580,North America,Cold_Without_dry_season_Cold_Summer,NA,estimated,estimated,climate,human,ranking_reversal,0.10519999999999999
spatial_dataset,1635,North America,Cold_Without_dry_season_Cold_Summer,NA,estimated,estimated,climate,human,ranking_reversal,0.0331
spatial_dataset,4056,Europe,Temperate_Without_dry_season,NA,estimated,estimated,human,climate,ranking_reversal,-0.4409
spatial_dataset,15738,North America,Cold_Without_dry_season_Cold_Summer,NA,estimated,estimated,climate,human,ranking_reversal,0.36150000000000004
spatial_dataset,21762,Latin America,Polar,NA,missing_predictor_group,estimated,NA,climate,gained_estimability,NA
spatial_dataset,48721,North America,Cold_Dry_Summer,NA,missing_predictor_group,estimated,NA,climate,gained_estimability,NA
spatial_dataset,1450,North America,Cold_Without_dry_season_Warm_Summer,NA,missing_predictor_group,estimated,NA,human,gained_estimability,NA
spatial_dataset,23004,Europe,Cold_Without_dry_season_Warm_Summer,NA,estimated,estimated,climate,human,ranking_reversal,0.1395
spatial_dataset,15785,North America,Polar,NA,missing_predictor_group,estimated,NA,climate,gained_estimability,NA
spatial_dataset,328,North America,Temperate_Without_dry_season,NA,estimated,estimated,climate,human,ranking_reversal,0.09940000000000002
spatial_dataset,40997,Asia,Cold_Dry_Winter,NA,missing_predictor_group,estimated,NA,climate,gained_estimability,NA
spatial_dataset,203,North America,Temperate_Without_dry_season,NA,estimated,estimated,human,climate,ranking_reversal,-0.057999999999999996
