summary_level,region,climatezone,all_values_reconciled,checked_columns
overall,NA,NA,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region,Asia,NA,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region,Europe,NA,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region,Latin America,NA,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region,North America,NA,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region,Oceania,NA,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
climatezone,NA,Arid,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
climatezone,NA,Cold_Dry_Summer,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
climatezone,NA,Cold_Dry_Winter,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
climatezone,NA,Cold_Without_dry_season_Cold_Summer,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
