summary_level,metric,n_units,n_profile_250_km_present,n_profile_500_km_present,n_estimable_250_km,n_estimable_500_km,n_matched_estimable,n_status_changes,n_ranking_reversals,n_lost_estimability,n_gained_estimability,n_material_changes,proportion_ranking_reversals,proportion_material_changes,median_delta,delta_q25,delta_q75,region,age
overall,zero_allocation_human,70,70,70,70,70,70,4,3,0,0,3,0.04285714285714286,0.04285714285714286,0.03464984903206924,0.004346178778267903,0.08997135103628086,NA,NA
region,zero_allocation_human,14,14,14,14,14,14,0,0,0,0,0,0,0,0.07852732996425639,0.06097171656566035,0.1562515229459185,Asia,NA
region,zero_allocation_human,14,14,14,14,14,14,0,1,0,0,1,0.07142857142857142,0.07142857142857142,0.044488560840743464,0.024926393097550438,0.0955025482041526,Europe,NA
region,zero_allocation_human,14,14,14,14,14,14,2,0,0,0,0,0,0,0.013184976350780923,-0.005431427255552686,0.03709549180454608,Latin America,NA
region,zero_allocation_human,14,14,14,14,14,14,0,0,0,0,0,0,0,0.010777736128890165,-0.004715363300154386,0.03410687702436731,North America,NA
region,zero_allocation_human,14,14,14,14,14,14,2,2,0,0,2,0.14285714285714285,0.14285714285714285,0.02214184165806535,-0.014948823349599192,0.17563752500231627,Oceania,NA
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.02129547471162377,0.02129547471162377,0.02129547471162377,Asia,2000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.012781661039318815,-0.012781661039318815,-0.012781661039318815,Asia,2500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.04262574595055413,0.04262574595055413,0.04262574595055413,Asia,3000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.05823482544184483,0.05823482544184483,0.05823482544184483,Asia,3500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.17691946053835744,0.17691946053835744,0.17691946053835744,Asia,4000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0756126493054127,0.0756126493054127,0.0756126493054127,Asia,4500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.24311774461028193,0.24311774461028193,0.24311774461028193,Asia,5000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.21492259624946272,0.21492259624946272,0.21492259624946272,Asia,5500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.2022197481430318,0.2022197481430318,0.2022197481430318,Asia,6000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.09424771016860162,0.09424771016860162,0.09424771016860162,Asia,6500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.09246146142269046,0.09246146142269046,0.09246146142269046,Asia,7000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0765529924006815,0.0765529924006815,0.0765529924006815,Asia,7500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.08050166752783128,0.08050166752783128,0.08050166752783128,Asia,8000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0691823899371069,0.0691823899371069,0.0691823899371069,Asia,8500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.05227420812699134,0.05227420812699134,0.05227420812699134,Europe,2000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.03670291355449559,0.03670291355449559,0.03670291355449559,Europe,2500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.028311082735740428,0.028311082735740428,0.028311082735740428,Europe,3000
