summary_level,region,age,all_values_reconciled,checked_columns
overall,NA,NA,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region,Asia,NA,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region,Europe,NA,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region,Latin America,NA,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region,North America,NA,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region,Oceania,NA,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Asia,2000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Asia,2500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Asia,3000,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
region_and_age,Asia,3500,TRUE,n_units;n_profile_250_km_present;n_profile_500_km_present;n_estimable_250_km;n_estimable_500_km;n_matched_estimable;n_status_changes;n_ranking_reversals;n_lost_estimability;n_gained_estimability;n_material_changes;proportion_ranking_reversals;proportion_material_changes;median_delta;delta_q25;delta_q75
