analysis,region,age,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models
temporal_events,Asia,500,climate,zero_truncated,0.0718,0.13640000000000002,0.5263929618768328,1
temporal_events,Asia,500,human,zero_truncated,0.0646,0.13640000000000002,0.4736070381231671,1
temporal_events,Asia,1000,climate,zero_truncated,0.043,0.0942,0.45647558386411885,1
temporal_events,Asia,1000,human,zero_truncated,0.0512,0.0942,0.5435244161358811,1
temporal_events,Asia,1500,climate,zero_truncated,0.0464,0.1033,0.4491771539206195,1
temporal_events,Asia,1500,human,zero_truncated,0.0569,0.1033,0.5508228460793804,1
temporal_events,Asia,2000,climate,zero_truncated,0.0543,0.11180000000000001,0.48568872987477635,1
temporal_events,Asia,2000,human,zero_truncated,0.0575,0.11180000000000001,0.5143112701252236,1
temporal_events,Asia,2500,climate,zero_truncated,0.0655,0.1071,0.611577964519141,1
temporal_events,Asia,2500,human,zero_truncated,0.0416,0.1071,0.38842203548085896,1
temporal_events,Asia,3000,climate,zero_truncated,0.0691,0.1142,0.6050788091068301,1
temporal_events,Asia,3000,human,zero_truncated,0.0451,0.1142,0.3949211908931699,1
temporal_events,Asia,3500,climate,zero_truncated,0.0837,0.0988,0.847165991902834,1
temporal_events,Asia,3500,human,zero_truncated,0.0151,0.0988,0.152834008097166,1
temporal_events,Asia,4000,climate,zero_truncated,0.0684,0.0791,0.8647281921618205,1
temporal_events,Asia,4000,human,zero_truncated,0.0107,0.0791,0.13527180783817952,1
temporal_events,Asia,4500,climate,zero_truncated,0.0788,0.09659999999999999,0.8157349896480331,1
temporal_events,Asia,4500,human,zero_truncated,0.0178,0.09659999999999999,0.18426501035196688,1
temporal_events,Asia,5000,climate,zero_truncated,0.0758,0.09770000000000001,0.7758444216990789,1
temporal_events,Asia,5000,human,zero_truncated,0.0219,0.09770000000000001,0.22415557830092117,1
temporal_events,Asia,5500,climate,zero_truncated,0.0914,0.1042,0.8771593090211132,1
temporal_events,Asia,5500,human,zero_truncated,0.0128,0.1042,0.12284069097888677,1
temporal_events,Asia,6000,climate,zero_truncated,0.0956,0.1027,0.9308666017526778,1
temporal_events,Asia,6000,human,zero_truncated,0.0071,0.1027,0.0691333982473223,1
temporal_events,Asia,6500,climate,zero_truncated,0.1073,0.10890000000000001,0.985307621671258,1
temporal_events,Asia,6500,human,zero_truncated,0.0016,0.10890000000000001,0.014692378328741965,1
temporal_events,Asia,7000,climate,zero_truncated,0.1176,0.1195,0.9841004184100418,1
temporal_events,Asia,7000,human,zero_truncated,0.0019,0.1195,0.015899581589958158,1
temporal_events,Asia,7500,climate,zero_truncated,0.1367,0.1447,0.9447131997235659,1
temporal_events,Asia,7500,human,zero_truncated,0.008,0.1447,0.055286800276434005,1
temporal_events,Asia,8000,climate,zero_truncated,0.1571,0.16299999999999998,0.9638036809815952,1
temporal_events,Asia,8000,human,zero_truncated,0.0059,0.16299999999999998,0.036196319018404914,1
temporal_events,Asia,8500,climate,zero_truncated,0.1562,0.1676,0.9319809069212411,1
temporal_events,Asia,8500,human,zero_truncated,0.0114,0.1676,0.06801909307875895,1
temporal_events,Europe,500,climate,zero_truncated,0.067,0.0815,0.8220858895705522,1
temporal_events,Europe,500,human,zero_truncated,0.0145,0.0815,0.17791411042944785,1
temporal_events,Europe,1000,climate,zero_truncated,0.1042,0.1239,0.841000807102502,1
temporal_events,Europe,1000,human,zero_truncated,0.0197,0.1239,0.15899919289749798,1
temporal_events,Europe,1500,climate,zero_truncated,0.0927,0.1154,0.8032928942807626,1
temporal_events,Europe,1500,human,zero_truncated,0.0227,0.1154,0.19670710571923744,1
temporal_events,Europe,2000,climate,zero_truncated,0.0905,0.1108,0.8167870036101084,1
temporal_events,Europe,2000,human,zero_truncated,0.0203,0.1108,0.1832129963898917,1
temporal_events,Europe,2500,climate,zero_truncated,0.0733,0.0849,0.8633686690223793,1
temporal_events,Europe,2500,human,zero_truncated,0.0116,0.0849,0.1366313309776207,1
temporal_events,Europe,3000,climate,zero_truncated,0.06,0.0701,0.8559201141226819,1
temporal_events,Europe,3000,human,zero_truncated,0.0101,0.0701,0.14407988587731813,1
temporal_events,Europe,3500,climate,zero_truncated,0.0622,0.076,0.8184210526315789,1
temporal_events,Europe,3500,human,zero_truncated,0.0138,0.076,0.18157894736842106,1
temporal_events,Europe,4000,climate,zero_truncated,0.0792,0.08620000000000001,0.9187935034802783,1
temporal_events,Europe,4000,human,zero_truncated,0.007,0.08620000000000001,0.08120649651972157,1
temporal_events,Europe,4500,climate,zero_truncated,0.0854,0.0888,0.9617117117117117,1
temporal_events,Europe,4500,human,zero_truncated,0.0034,0.0888,0.038288288288288286,1
temporal_events,Europe,5000,climate,zero_truncated,0.0672,0.0765,0.8784313725490196,1
temporal_events,Europe,5000,human,zero_truncated,0.0093,0.0765,0.12156862745098039,1
temporal_events,Europe,5500,climate,zero_truncated,0.0843,0.0878,0.9601366742596811,1
temporal_events,Europe,5500,human,zero_truncated,0.0035,0.0878,0.03986332574031891,1
temporal_events,Europe,6000,climate,zero_truncated,0.0776,0.0827,0.9383313180169287,1
temporal_events,Europe,6000,human,zero_truncated,0.0051,0.0827,0.06166868198307135,1
temporal_events,Europe,6500,climate,zero_truncated,0.0657,0.06789999999999999,0.9675994108983801,1
temporal_events,Europe,6500,human,zero_truncated,0.0022,0.06789999999999999,0.03240058910162004,1
temporal_events,Europe,7000,climate,zero_truncated,0.0731,0.083,0.880722891566265,1
temporal_events,Europe,7000,human,zero_truncated,0.0099,0.083,0.11927710843373494,1
temporal_events,Europe,7500,climate,zero_truncated,0.0787,0.09230000000000001,0.8526543878656555,1
temporal_events,Europe,7500,human,zero_truncated,0.0136,0.09230000000000001,0.14734561213434452,1
temporal_events,Europe,8000,climate,zero_truncated,0.0778,0.0876,0.8881278538812785,1
temporal_events,Europe,8000,human,zero_truncated,0.0098,0.0876,0.11187214611872145,1
temporal_events,Europe,8500,climate,zero_truncated,0.0739,0.07819999999999999,0.9450127877237852,1
temporal_events,Europe,8500,human,zero_truncated,0.0043,0.07819999999999999,0.054987212276214836,1
temporal_events,Latin America,500,climate,zero_truncated,0.0687,0.0784,0.8762755102040817,1
