analysis,region,age,n_models,climate,human,importance_balance
temporal_events,Asia,500,1,0.5263929618768328,0.4736070381231671,-0.0527859237536657
temporal_events,Asia,1000,1,0.45647558386411885,0.5435244161358811,0.08704883227176224
temporal_events,Asia,1500,1,0.4491771539206195,0.5508228460793804,0.10164569215876085
temporal_events,Asia,2000,1,0.48568872987477635,0.5143112701252236,0.028622540250447248
temporal_events,Asia,2500,1,0.611577964519141,0.38842203548085896,-0.22315592903828207
temporal_events,Asia,3000,1,0.6050788091068301,0.3949211908931699,-0.2101576182136602
temporal_events,Asia,3500,1,0.847165991902834,0.152834008097166,-0.6943319838056681
temporal_events,Asia,4000,1,0.8647281921618205,0.13527180783817952,-0.729456384323641
temporal_events,Asia,4500,1,0.8157349896480331,0.18426501035196688,-0.6314699792960663
temporal_events,Asia,5000,1,0.7758444216990789,0.22415557830092117,-0.5516888433981577
temporal_events,Asia,5500,1,0.8771593090211132,0.12284069097888677,-0.7543186180422264
temporal_events,Asia,6000,1,0.9308666017526778,0.0691333982473223,-0.8617332035053554
temporal_events,Asia,6500,1,0.985307621671258,0.014692378328741965,-0.970615243342516
temporal_events,Asia,7000,1,0.9841004184100418,0.015899581589958158,-0.9682008368200836
temporal_events,Asia,7500,1,0.9447131997235659,0.055286800276434005,-0.889426399447132
temporal_events,Asia,8000,1,0.9638036809815952,0.036196319018404914,-0.9276073619631903
temporal_events,Asia,8500,1,0.9319809069212411,0.06801909307875895,-0.8639618138424822
temporal_events,Europe,500,1,0.8220858895705522,0.17791411042944785,-0.6441717791411044
temporal_events,Europe,1000,1,0.841000807102502,0.15899919289749798,-0.682001614205004
temporal_events,Europe,1500,1,0.8032928942807626,0.19670710571923744,-0.6065857885615251
temporal_events,Europe,2000,1,0.8167870036101084,0.1832129963898917,-0.6335740072202167
temporal_events,Europe,2500,1,0.8633686690223793,0.1366313309776207,-0.7267373380447586
temporal_events,Europe,3000,1,0.8559201141226819,0.14407988587731813,-0.7118402282453637
temporal_events,Europe,3500,1,0.8184210526315789,0.18157894736842106,-0.6368421052631579
temporal_events,Europe,4000,1,0.9187935034802783,0.08120649651972157,-0.8375870069605568
temporal_events,Europe,4500,1,0.9617117117117117,0.038288288288288286,-0.9234234234234233
temporal_events,Europe,5000,1,0.8784313725490196,0.12156862745098039,-0.7568627450980392
temporal_events,Europe,5500,1,0.9601366742596811,0.03986332574031891,-0.9202733485193622
temporal_events,Europe,6000,1,0.9383313180169287,0.06166868198307135,-0.8766626360338574
temporal_events,Europe,6500,1,0.9675994108983801,0.03240058910162004,-0.9351988217967601
temporal_events,Europe,7000,1,0.880722891566265,0.11927710843373494,-0.7614457831325301
temporal_events,Europe,7500,1,0.8526543878656555,0.14734561213434452,-0.705308775731311
temporal_events,Europe,8000,1,0.8881278538812785,0.11187214611872145,-0.776255707762557
temporal_events,Europe,8500,1,0.9450127877237852,0.054987212276214836,-0.8900255754475703
temporal_events,Latin America,500,1,0.8762755102040817,0.12372448979591838,-0.7525510204081634
temporal_events,Latin America,1000,1,0.9643175735950045,0.03568242640499554,-0.928635147190009
temporal_events,Latin America,1500,1,0.9938176197836167,0.006182380216383308,-0.9876352395672334
temporal_events,Latin America,2000,1,0.9630102040816326,0.036989795918367346,-0.9260204081632653
temporal_events,Latin America,2500,1,0.8962025316455696,0.10379746835443039,-0.7924050632911392
temporal_events,Latin America,3000,1,1,0,-1
temporal_events,Latin America,3500,1,0.8836065573770493,0.11639344262295082,-0.7672131147540985
temporal_events,Latin America,4000,1,0.9311440677966101,0.06885593220338981,-0.8622881355932203
temporal_events,Latin America,4500,1,0.9355019629837352,0.06449803701626472,-0.8710039259674704
temporal_events,Latin America,5000,1,1,0,-1
temporal_events,Latin America,5500,1,1,0,-1
temporal_events,Latin America,6000,1,1,0,-1
temporal_events,Latin America,6500,1,0.9805115712545676,0.0194884287454324,-0.9610231425091351
temporal_events,Latin America,7000,1,0.9415337889141988,0.05846621108580106,-0.8830675778283977
temporal_events,Latin America,7500,1,0.9818308874912649,0.01816911250873515,-0.9636617749825298
temporal_events,Latin America,8000,1,1,0,-1
temporal_events,Latin America,8500,1,1,0,-1
temporal_events,North America,500,1,0.6493589743589744,0.3506410256410256,-0.29871794871794877
temporal_events,North America,1000,1,0.8677536231884058,0.1322463768115942,-0.7355072463768115
temporal_events,North America,1500,1,0.9562624254473161,0.0437375745526839,-0.9125248508946322
temporal_events,North America,2000,1,0.9642126789366053,0.03578732106339468,-0.9284253578732107
temporal_events,North America,2500,1,0.9390962671905698,0.060903732809430254,-0.8781925343811395
temporal_events,North America,3000,1,0.9246183206106869,0.07538167938931298,-0.849236641221374
temporal_events,North America,3500,1,0.9208015267175572,0.07919847328244274,-0.8416030534351144
temporal_events,North America,4000,1,0.8952282157676349,0.10477178423236515,-0.7904564315352698
temporal_events,North America,4500,1,0.9227761485826002,0.0772238514173998,-0.8455522971652003
temporal_events,North America,5000,1,0.9176136363636364,0.08238636363636363,-0.8352272727272727
temporal_events,North America,5500,1,0.9030501089324618,0.09694989106753812,-0.8061002178649237
temporal_events,North America,6000,1,0.9323467230443975,0.06765327695560254,-0.864693446088795
temporal_events,North America,6500,1,0.969030969030969,0.030969030969030965,-0.938061938061938
temporal_events,North America,7000,1,0.9886128364389234,0.011387163561076604,-0.9772256728778468
temporal_events,North America,7500,1,0.9795221843003413,0.020477815699658706,-0.9590443686006827
temporal_events,North America,8000,1,0.9673704414587332,0.03262955854126679,-0.9347408829174664
temporal_events,North America,8500,1,0.9704433497536945,0.029556650246305417,-0.9408866995073891
temporal_events,Oceania,500,1,1,0,-1
temporal_events,Oceania,1000,1,0.7284991568296796,0.27150084317032036,-0.4569983136593592
temporal_events,Oceania,1500,1,1,0,-1
temporal_events,Oceania,2000,1,0.6872964169381108,0.3127035830618892,-0.3745928338762216
temporal_events,Oceania,2500,1,0.8449883449883451,0.15501165501165504,-0.68997668997669
temporal_events,Oceania,3000,1,0.8938193343898573,0.10618066561014262,-0.7876386687797147
temporal_events,Oceania,3500,1,1,0,-1
temporal_events,Oceania,4000,1,1,0,-1
temporal_spd,Asia,2000,1,0.7930682976554536,0.2069317023445464,-0.5861365953109072
temporal_spd,Asia,2500,1,0.9417989417989417,0.0582010582010582,-0.8835978835978835
temporal_spd,Asia,3000,1,0.9454743729552889,0.05452562704471101,-0.8909487459105779
temporal_spd,Asia,3500,1,0.9366666666666666,0.06333333333333334,-0.8733333333333333
temporal_spd,Asia,4000,1,0.9288537549407114,0.07114624505928854,-0.8577075098814229
temporal_spd,Asia,4500,1,0.8387096774193549,0.16129032258064516,-0.6774193548387097
temporal_spd,Asia,5000,1,0.7687861271676301,0.23121387283236994,-0.5375722543352601
temporal_spd,Asia,5500,1,0.9413680781758957,0.05863192182410424,-0.8827361563517915
temporal_spd,Asia,6000,1,0.7710280373831775,0.2289719626168224,-0.5420560747663551
temporal_spd,Asia,6500,1,0.9378531073446328,0.062146892655367235,-0.8757062146892656
temporal_spd,Asia,7000,1,0.8973727422003285,0.1026272577996716,-0.7947454844006568
temporal_spd,Asia,7500,1,0.8480055020632737,0.15199449793672629,-0.6960110041265475
temporal_spd,Asia,8000,1,0.9475015812776724,0.05249841872232765,-0.8950031625553447
temporal_spd,Asia,8500,1,0.9709517923362175,0.02904820766378245,-0.9419035846724351
temporal_spd,Europe,2000,1,0.9692154915590864,0.0307845084409136,-0.9384309831181727
temporal_spd,Europe,2500,1,0.9494117647058824,0.05058823529411765,-0.8988235294117648
temporal_spd,Europe,3000,1,0.9130434782608695,0.08695652173913043,-0.826086956521739
temporal_spd,Europe,3500,1,0.866564417177914,0.13343558282208587,-0.7331288343558281
temporal_spd,Europe,4000,1,0.9273885350318471,0.07261146496815286,-0.8547770700636943
temporal_spd,Europe,4500,1,0.9738406658739597,0.02615933412604043,-0.9476813317479192
temporal_spd,Europe,5000,1,0.9337349397590361,0.06626506024096386,-0.8674698795180722
temporal_spd,Europe,5500,1,0.9917452830188679,0.008254716981132075,-0.9834905660377358
temporal_spd,Europe,6000,1,0.8580024067388687,0.14199759326113115,-0.7160048134777376
temporal_spd,Europe,6500,1,0.6293103448275863,0.3706896551724138,-0.2586206896551725
temporal_spd,Europe,7000,1,0.7799999999999999,0.22,-0.5599999999999999
temporal_spd,Europe,7500,1,0.5571797076526226,0.4428202923473775,-0.11435941530524507
temporal_spd,Europe,8000,1,0.8283898305084745,0.17161016949152538,-0.6567796610169491
temporal_spd,Europe,8500,1,0.8910505836575875,0.10894941634241244,-0.7821011673151751
temporal_spd,Latin America,2000,1,0.9803407601572739,0.01965923984272608,-0.9606815203145478
temporal_spd,Latin America,2500,1,0.9639580602883355,0.03604193971166448,-0.927916120576671
temporal_spd,Latin America,3000,1,0.9522222222222222,0.04777777777777778,-0.9044444444444444
temporal_spd,Latin America,3500,1,0.9363057324840763,0.06369426751592357,-0.8726114649681528
temporal_spd,Latin America,4000,1,0.8763169949610627,0.12368300503893724,-0.7526339899221255
temporal_spd,Latin America,4500,1,0.9204257475924987,0.07957425240750125,-0.8408514951849975
temporal_spd,Latin America,5000,1,0.8784313725490197,0.12156862745098039,-0.7568627450980393
temporal_spd,Latin America,5500,1,0.9430992736077483,0.05690072639225182,-0.8861985472154964
temporal_spd,Latin America,6000,1,0.9440518256772673,0.05594817432273262,-0.8881036513545347
temporal_spd,Latin America,6500,1,1,0,-1
temporal_spd,Latin America,7000,1,0.9501557632398755,0.049844236760124616,-0.9003115264797509
temporal_spd,Latin America,7500,1,1,0,-1
temporal_spd,Latin America,8000,1,0.7037037037037037,0.2962962962962963,-0.40740740740740744
temporal_spd,Latin America,8500,1,0.9292487235594458,0.07075127644055434,-0.8584974471188914
temporal_spd,North America,2000,1,0.9430569430569431,0.05694305694305695,-0.8861138861138862
temporal_spd,North America,2500,1,0.9246511627906977,0.07534883720930233,-0.8493023255813954
temporal_spd,North America,3000,1,0.9204025617566332,0.07959743824336687,-0.8408051235132663
temporal_spd,North America,3500,1,0.9650824442289039,0.034917555771096016,-0.9301648884578079
temporal_spd,North America,4000,1,0.8948979591836734,0.10510204081632653,-0.7897959183673469
temporal_spd,North America,4500,1,0.9107981220657277,0.0892018779342723,-0.8215962441314555
temporal_spd,North America,5000,1,0.9363891487371375,0.06361085126286249,-0.872778297474275
temporal_spd,North America,5500,1,0.8828365878725591,0.11716341212744091,-0.7656731757451183
temporal_spd,North America,6000,1,0.877431906614786,0.122568093385214,-0.754863813229572
temporal_spd,North America,6500,1,0.913968547641073,0.08603145235892691,-0.8279370952821461
temporal_spd,North America,7000,1,0.888682745825603,0.11131725417439704,-0.7773654916512059
temporal_spd,North America,7500,1,0.8725985844287159,0.12740141557128412,-0.7451971688574317
temporal_spd,North America,8000,1,0.9242424242424243,0.07575757575757577,-0.8484848484848485
temporal_spd,North America,8500,1,0.9517374517374517,0.04826254826254826,-0.9034749034749034
temporal_spd,Oceania,2000,1,0.2634920634920635,0.7365079365079364,0.47301587301587295
temporal_spd,Oceania,2500,1,0.8666666666666666,0.13333333333333333,-0.7333333333333333
