analysis,region,age,fraction,adjusted_r_squared
temporal_spd,Europe,2000,pure_human,0.0029190797839376836
temporal_spd,Europe,2000,pure_climate,0.05359518534609442
temporal_spd,Europe,2000,pure_space,0.07959168487577606
temporal_spd,Europe,2000,shared,0.04420714085607658
temporal_spd,Europe,2000,total_explained,0.18031309086188474
temporal_spd,Europe,2000,unexplained,0.8196869091381153
temporal_spd,Europe,2500,pure_human,0.012016554511803723
temporal_spd,Europe,2500,pure_climate,0.04413375197800129
temporal_spd,Europe,2500,pure_space,0.08997108422894018
temporal_spd,Europe,2500,shared,0.028867356967991142
temporal_spd,Europe,2500,total_explained,0.17498874768673633
temporal_spd,Europe,2500,unexplained,0.8250112523132637
temporal_spd,Europe,3000,pure_human,0.003920464110483635
temporal_spd,Europe,3000,pure_climate,0.037559510648820904
temporal_spd,Europe,3000,pure_space,0.08222021467789076
temporal_spd,Europe,3000,shared,0.020599244421812934
temporal_spd,Europe,3000,total_explained,0.14429943385900823
temporal_spd,Europe,3000,unexplained,0.8557005661409918
temporal_spd,Europe,3500,pure_human,0.001334227371870056
temporal_spd,Europe,3500,pure_climate,0.05447964116662307
temporal_spd,Europe,3500,pure_space,0.11220872149535643
temporal_spd,Europe,3500,shared,0.009394857705536941
temporal_spd,Europe,3500,total_explained,0.1774174477393865
temporal_spd,Europe,3500,unexplained,0.8225825522606135
temporal_spd,Europe,4000,pure_human,0.001987756277883612
temporal_spd,Europe,4000,pure_climate,0.061907593938235306
temporal_spd,Europe,4000,pure_space,0.09664566033444988
temporal_spd,Europe,4000,shared,0.01458135186520082
temporal_spd,Europe,4000,total_explained,0.17512236241576962
temporal_spd,Europe,4000,unexplained,0.8248776375842304
temporal_spd,Europe,4500,pure_human,-0.0012468433210740537
temporal_spd,Europe,4500,pure_climate,0.046244410253108326
temporal_spd,Europe,4500,pure_space,0.10685490965517408
temporal_spd,Europe,4500,shared,0.03913067183839147
temporal_spd,Europe,4500,total_explained,0.19098314842559982
temporal_spd,Europe,4500,unexplained,0.8090168515744002
temporal_spd,Europe,5000,pure_human,-8.409773046380575e-5
temporal_spd,Europe,5000,pure_climate,0.04967600518702919
temporal_spd,Europe,5000,pure_space,0.09353374208889098
temporal_spd,Europe,5000,shared,0.01675997190343692
temporal_spd,Europe,5000,total_explained,0.1598856214488933
temporal_spd,Europe,5000,unexplained,0.8401143785511067
temporal_spd,Europe,5500,pure_human,2.734901012153568e-4
temporal_spd,Europe,5500,pure_climate,0.059484429629933944
temporal_spd,Europe,5500,pure_space,0.11087659057876131
temporal_spd,Europe,5500,shared,0.025031200979693913
temporal_spd,Europe,5500,total_explained,0.19566571128960453
temporal_spd,Europe,5500,unexplained,0.8043342887103955
temporal_spd,Europe,6000,pure_human,0.01535666470448882
temporal_spd,Europe,6000,pure_climate,0.05405916187357407
temporal_spd,Europe,6000,pure_space,0.08521915675592617
temporal_spd,Europe,6000,shared,0.01370270007162011
temporal_spd,Europe,6000,total_explained,0.16833768340560917
temporal_spd,Europe,6000,unexplained,0.8316623165943908
temporal_spd,Europe,6500,pure_human,0.024213911269282073
temporal_spd,Europe,6500,pure_climate,0.030951115043914235
temporal_spd,Europe,6500,pure_space,0.09092505861710154
temporal_spd,Europe,6500,shared,0.026010592111339714
temporal_spd,Europe,6500,total_explained,0.17210067704163756
temporal_spd,Europe,6500,unexplained,0.8278993229583624
temporal_spd,Europe,7000,pure_human,0.010274171400039389
temporal_spd,Europe,7000,pure_climate,0.04093001295204157
temporal_spd,Europe,7000,pure_space,0.07495939379126959
temporal_spd,Europe,7000,shared,0.02876689325244064
temporal_spd,Europe,7000,total_explained,0.1549304713957912
temporal_spd,Europe,7000,unexplained,0.8450695286042088
temporal_spd,Europe,7500,pure_human,0.039404479599088105
temporal_spd,Europe,7500,pure_climate,0.051147024458973345
temporal_spd,Europe,7500,pure_space,0.06485261291165567
temporal_spd,Europe,7500,shared,0.025751965405459765
temporal_spd,Europe,7500,total_explained,0.18115608237517689
temporal_spd,Europe,7500,unexplained,0.8188439176248231
temporal_spd,Europe,8000,pure_human,0.007999613065893585
temporal_spd,Europe,8000,pure_climate,0.07255972418842949
temporal_spd,Europe,8000,pure_space,0.06739720888701495
temporal_spd,Europe,8000,shared,0.013783504027967575
temporal_spd,Europe,8000,total_explained,0.1617400501693056
temporal_spd,Europe,8000,unexplained,0.8382599498306944
temporal_spd,Europe,8500,pure_human,0.002701484118592834
temporal_spd,Europe,8500,pure_climate,0.06245890651661534
temporal_spd,Europe,8500,pure_space,0.074293250092337
temporal_spd,Europe,8500,shared,0.01201123098331569
temporal_spd,Europe,8500,total_explained,0.15146487171086087
temporal_spd,Europe,8500,unexplained,0.8485351282891391
temporal_spd,North America,2000,pure_human,-2.317084619085641e-4
temporal_spd,North America,2000,pure_climate,0.017043581756738146
temporal_spd,North America,2000,pure_space,0.10007182908852963
temporal_spd,North America,2000,shared,0.08321154301419287
temporal_spd,North America,2000,total_explained,0.20009524539755208
temporal_spd,North America,2000,unexplained,0.7999047546024479
temporal_spd,North America,2500,pure_human,0.00513091320230441
temporal_spd,North America,2500,pure_climate,0.01991100470819618
temporal_spd,North America,2500,pure_space,0.10959446190436772
temporal_spd,North America,2500,shared,0.08252680570435922
temporal_spd,North America,2500,total_explained,0.21716318551922753
temporal_spd,North America,2500,unexplained,0.7828368144807725
temporal_spd,North America,3000,pure_human,0.0031023071058920992
temporal_spd,North America,3000,pure_climate,0.017522176119982746
temporal_spd,North America,3000,pure_space,0.09666684457318142
temporal_spd,North America,3000,shared,0.08866454400289403
temporal_spd,North America,3000,total_explained,0.2059558718019503
temporal_spd,North America,3000,unexplained,0.7940441281980497
temporal_spd,North America,3500,pure_human,0.0015074307337823445
temporal_spd,North America,3500,pure_climate,0.0193120427830753
temporal_spd,North America,3500,pure_space,0.09284364621100627
temporal_spd,North America,3500,shared,0.08224551244626643
temporal_spd,North America,3500,total_explained,0.19590863217413035
temporal_spd,North America,3500,unexplained,0.8040913678258697
temporal_spd,North America,4000,pure_human,0.004326835325254463
temporal_spd,North America,4000,pure_climate,0.015328007687900658
temporal_spd,North America,4000,pure_space,0.08444677872930584
temporal_spd,North America,4000,shared,0.07831591587441156
temporal_spd,North America,4000,total_explained,0.18241753761687252
temporal_spd,North America,4000,unexplained,0.8175824623831275
temporal_spd,North America,4500,pure_human,0.006480085236499122
temporal_spd,North America,4500,pure_climate,0.015682084569906163
temporal_spd,North America,4500,pure_space,0.10204375638740482
temporal_spd,North America,4500,shared,0.08426841730338364
temporal_spd,North America,4500,total_explained,0.20847434349719374
temporal_spd,North America,4500,unexplained,0.7915256565028063
temporal_spd,North America,5000,pure_human,0.0023953103680505183
temporal_spd,North America,5000,pure_climate,0.018451322345358623
temporal_spd,North America,5000,pure_space,0.0746256205763961
temporal_spd,North America,5000,shared,0.0860752586652136
temporal_spd,North America,5000,total_explained,0.18154751195501884
temporal_spd,North America,5000,unexplained,0.8184524880449812
temporal_spd,North America,5500,pure_human,0.008922574975615216
temporal_spd,North America,5500,pure_climate,0.019409794565484972
