analysis,region,age,predictor,Unique,Average.share,individual,I.perc(%),model_profile
temporal_spd,Europe,2000,human,0.0042,-0.0010999999999999998,0.0031,3.07,human_climate
temporal_spd,Europe,2000,climate,0.0987,-0.0010999999999999899,0.0976,96.63,human_climate
temporal_spd,Europe,2000,human,0.0029,0,0.0029,1.61,human_climate_space
temporal_spd,Europe,2000,climate,0.0536,0.021899999999999996,0.0755,41.94,human_climate_space
temporal_spd,Europe,2000,space,0.0796,0.0223,0.1019,56.61,human_climate_space
temporal_spd,Europe,2500,human,0.0068,-0.0024999999999999996,0.0043,5.06,human_climate
temporal_spd,Europe,2500,climate,0.0831,-0.0023999999999999994,0.0807,94.94,human_climate
temporal_spd,Europe,2500,human,0.012,-0.0049,0.0071,4.06,human_climate_space
temporal_spd,Europe,2500,climate,0.0441,0.0172,0.0613,35.03,human_climate_space
temporal_spd,Europe,2500,space,0.09,0.016600000000000004,0.1066,60.91,human_climate_space
temporal_spd,Europe,3000,human,1e-4,0.0053,0.0054,8.71,human_climate
temporal_spd,Europe,3000,climate,0.0513,0.005400000000000002,0.0567,91.45,human_climate
temporal_spd,Europe,3000,human,0.0039,0.003,0.0069,4.79,human_climate_space
temporal_spd,Europe,3000,climate,0.0376,0.011699999999999995,0.0493,34.24,human_climate_space
temporal_spd,Europe,3000,space,0.0822,0.0058,0.088,61.11,human_climate_space
temporal_spd,Europe,3500,human,0.002,0.006699999999999999,0.0087,13.38,human_climate
temporal_spd,Europe,3500,climate,0.0499,0.006600000000000002,0.0565,86.92,human_climate
temporal_spd,Europe,3500,human,0.0013,0.007200000000000001,0.0085,4.8,human_climate_space
temporal_spd,Europe,3500,climate,0.0545,0.004499999999999997,0.059,33.33,human_climate_space
temporal_spd,Europe,3500,space,0.1122,-0.0022999999999999965,0.1099,62.09,human_climate_space
temporal_spd,Europe,4000,human,-7e-4,0.0064,0.0057,7.31,human_climate
temporal_spd,Europe,4000,climate,0.0664,0.006400000000000003,0.0728,93.33,human_climate
temporal_spd,Europe,4000,human,0.002,0.006,0.008,4.57,human_climate_space
temporal_spd,Europe,4000,climate,0.0619,0.009599999999999997,0.0715,40.86,human_climate_space
temporal_spd,Europe,4000,space,0.0966,-9.000000000000119e-4,0.0957,54.69,human_climate_space
temporal_spd,Europe,4500,human,-7e-4,0.0029000000000000002,0.0022,2.62,human_climate
temporal_spd,Europe,4500,climate,0.079,0.0029,0.0819,97.5,human_climate
temporal_spd,Europe,4500,human,-0.0012,0.0027,0.0015,0.79,human_climate_space
temporal_spd,Europe,4500,climate,0.0462,0.018900000000000007,0.0651,34.08,human_climate_space
temporal_spd,Europe,4500,space,0.1069,0.0175,0.1244,65.13,human_climate_space
temporal_spd,Europe,5000,human,4e-4,0.004,0.0044,6.67,human_climate
temporal_spd,Europe,5000,climate,0.058,0.003999999999999997,0.062,93.94,human_climate
temporal_spd,Europe,5000,human,-1e-4,0.0031,0.003,1.88,human_climate_space
temporal_spd,Europe,5000,climate,0.0497,0.006999999999999999,0.0567,35.44,human_climate_space
temporal_spd,Europe,5000,space,0.0935,0.006699999999999998,0.1002,62.62,human_climate_space
temporal_spd,Europe,5500,human,0.0018,-0.0010999999999999998,7e-4,0.82,human_climate
temporal_spd,Europe,5500,climate,0.0851,-0.0010000000000000009,0.0841,98.94,human_climate
temporal_spd,Europe,5500,human,3e-4,2.0000000000000004e-4,5e-4,0.26,human_climate_space
temporal_spd,Europe,5500,climate,0.0595,0.012300000000000005,0.0718,36.63,human_climate_space
temporal_spd,Europe,5500,space,0.1109,0.012499999999999997,0.1234,62.96,human_climate_space
temporal_spd,Europe,6000,human,0.0072,0.0046,0.0118,14.22,human_climate
temporal_spd,Europe,6000,climate,0.0667,0.004600000000000007,0.0713,85.9,human_climate
temporal_spd,Europe,6000,human,0.0154,7.999999999999986e-4,0.0162,9.64,human_climate_space
temporal_spd,Europe,6000,climate,0.0541,0.011199999999999995,0.0653,38.87,human_climate_space
temporal_spd,Europe,6000,space,0.0852,0.0016000000000000042,0.0868,51.67,human_climate_space
temporal_spd,Europe,6500,human,0.0176,0.012499999999999997,0.0301,37.16,human_climate
temporal_spd,Europe,6500,climate,0.0386,0.012499999999999997,0.0511,63.09,human_climate
temporal_spd,Europe,6500,human,0.0242,0.008,0.0322,18.72,human_climate_space
temporal_spd,Europe,6500,climate,0.031,0.015100000000000002,0.0461,26.8,human_climate_space
temporal_spd,Europe,6500,space,0.0909,0.0029,0.0938,54.53,human_climate_space
temporal_spd,Europe,7000,human,0.0084,0.009200000000000002,0.0176,22,human_climate
temporal_spd,Europe,7000,climate,0.0531,0.009299999999999996,0.0624,78,human_climate
temporal_spd,Europe,7000,human,0.0103,0.0068000000000000005,0.0171,11.03,human_climate_space
temporal_spd,Europe,7000,climate,0.0409,0.013900000000000003,0.0548,35.35,human_climate_space
temporal_spd,Europe,7000,space,0.075,0.008000000000000007,0.083,53.55,human_climate_space
temporal_spd,Europe,7500,human,0.0406,0.0109,0.0515,44.4,human_climate
temporal_spd,Europe,7500,climate,0.053900000000000003,0.010899999999999993,0.0648,55.86,human_climate
temporal_spd,Europe,7500,human,0.0394,0.009600000000000004,0.049,27.07,human_climate_space
temporal_spd,Europe,7500,climate,0.0511,0.0104,0.0615,33.98,human_climate_space
temporal_spd,Europe,7500,space,0.0649,0.005699999999999997,0.0706,39.01,human_climate_space
temporal_spd,Europe,8000,human,0.0173,-0.0011000000000000003,0.0162,17.23,human_climate
temporal_spd,Europe,8000,climate,0.0793,-0.0010999999999999899,0.0782,83.19,human_climate
temporal_spd,Europe,8000,human,0.008,0.003299999999999999,0.0113,6.98,human_climate_space
temporal_spd,Europe,8000,climate,0.0726,0.0020000000000000018,0.0746,46.05,human_climate_space
temporal_spd,Europe,8000,space,0.0674,0.008499999999999994,0.0759,46.85,human_climate_space
temporal_spd,Europe,8500,human,0.0027,0.005699999999999999,0.0084,10.91,human_climate
temporal_spd,Europe,8500,climate,0.063,0.005699999999999997,0.0687,89.22,human_climate
temporal_spd,Europe,8500,human,0.0027,0.0061,0.0088,5.79,human_climate_space
temporal_spd,Europe,8500,climate,0.0625,0.0063,0.0688,45.26,human_climate_space
temporal_spd,Europe,8500,space,0.0743,-4.0000000000001146e-4,0.0739,48.62,human_climate_space
temporal_spd,North America,2000,human,0.0022,0.0035,0.0057,5.7,human_climate
temporal_spd,North America,2000,climate,0.091,0.0034000000000000002,0.0944,94.4,human_climate
temporal_spd,North America,2000,human,-2e-4,0.004,0.0038,1.9,human_climate_space
temporal_spd,North America,2000,climate,0.017,0.0398,0.0568,28.4,human_climate_space
temporal_spd,North America,2000,space,0.1001,0.03940000000000002,0.1395,69.75,human_climate_space
temporal_spd,North America,2500,human,0.0075,5.999999999999998e-4,0.0081,7.5,human_climate
temporal_spd,North America,2500,climate,0.0988,6.000000000000033e-4,0.0994,92.04,human_climate
temporal_spd,North America,2500,human,0.0051,0.0016999999999999993,0.0068,3.13,human_climate_space
temporal_spd,North America,2500,climate,0.0199,0.0399,0.0598,27.56,human_climate_space
temporal_spd,North America,2500,space,0.1096,0.04089999999999999,0.1505,69.35,human_climate_space
temporal_spd,North America,3000,human,0.008,6.999999999999992e-4,0.0087,7.98,human_climate
temporal_spd,North America,3000,climate,0.0999,6.999999999999923e-4,0.1006,92.29,human_climate
temporal_spd,North America,3000,human,0.0031,0.0026999999999999997,0.0058,2.82,human_climate_space
temporal_spd,North America,3000,climate,0.0175,0.041499999999999995,0.059,28.64,human_climate_space
temporal_spd,North America,3000,space,0.0967,0.0445,0.1412,68.54,human_climate_space
temporal_spd,North America,3500,human,0.002,0.0015999999999999999,0.0036,3.5,human_climate
temporal_spd,North America,3500,climate,0.0979,0.0016000000000000042,0.0995,96.6,human_climate
temporal_spd,North America,3500,human,0.0015,0.0015,0.003,1.53,human_climate_space
temporal_spd,North America,3500,climate,0.0193,0.040499999999999994,0.0598,30.51,human_climate_space
temporal_spd,North America,3500,space,0.0928,0.04040000000000002,0.1332,67.96,human_climate_space
temporal_spd,North America,4000,human,0.0071,0.0031999999999999997,0.0103,10.51,human_climate
temporal_spd,North America,4000,climate,0.0845,0.0031999999999999945,0.0877,89.49,human_climate
temporal_spd,North America,4000,human,0.0043,0.0034999999999999996,0.0078,4.29,human_climate_space
temporal_spd,North America,4000,climate,0.0153,0.036699999999999997,0.052,28.57,human_climate_space
temporal_spd,North America,4000,space,0.0844,0.0382,0.1226,67.36,human_climate_space
temporal_spd,North America,4500,human,0.0081,0.0014000000000000002,0.0095,8.96,human_climate
temporal_spd,North America,4500,climate,0.0956,0.0013999999999999985,0.097,91.51,human_climate
temporal_spd,North America,4500,human,0.0065,0.0015000000000000005,0.008,3.83,human_climate_space
temporal_spd,North America,4500,climate,0.0157,0.0407,0.0564,26.99,human_climate_space
temporal_spd,North America,4500,space,0.102,0.04210000000000001,0.1441,68.95,human_climate_space
temporal_spd,North America,5000,human,0.0069,-1.0000000000000026e-4,0.0068,6.36,human_climate
temporal_spd,North America,5000,climate,0.1001,0,0.1001,93.55,human_climate
temporal_spd,North America,5000,human,0.0024,0.0020000000000000005,0.0044,2.42,human_climate_space
temporal_spd,North America,5000,climate,0.0185,0.0406,0.0591,32.47,human_climate_space
temporal_spd,North America,5000,space,0.0746,0.043399999999999994,0.118,64.84,human_climate_space
temporal_spd,North America,5500,human,0.0111,2.999999999999999e-4,0.0114,11.75,human_climate
temporal_spd,North America,5500,climate,0.0856,3.000000000000086e-4,0.0859,88.56,human_climate
temporal_spd,North America,5500,human,0.0089,0.0011000000000000003,0.01,4.88,human_climate_space
temporal_spd,North America,5500,climate,0.0194,0.0331,0.0525,25.61,human_climate_space
temporal_spd,North America,5500,space,0.10780000000000001,0.0348,0.1426,69.56,human_climate_space
temporal_spd,North America,6000,human,0.0118,8.000000000000004e-4,0.0126,12.23,human_climate
temporal_spd,North America,6000,climate,0.0894,8.00000000000009e-4,0.0902,87.57,human_climate
temporal_spd,North America,6000,human,0.0121,5.000000000000004e-4,0.0126,6.18,human_climate_space
temporal_spd,North America,6000,climate,0.0237,0.0335,0.0572,28.04,human_climate_space
temporal_spd,North America,6000,space,0.1016,0.033,0.1346,65.98,human_climate_space
temporal_spd,North America,6500,human,0.0092,9.99999999999994e-5,0.0093,8.61,human_climate
temporal_spd,North America,6500,climate,0.0987,1.0000000000000286e-4,0.0988,91.48,human_climate
temporal_spd,North America,6500,human,0.0078,8.000000000000004e-4,0.0086,3.91,human_climate_space
temporal_spd,North America,6500,climate,0.0196,0.0396,0.0592,26.91,human_climate_space
temporal_spd,North America,6500,space,0.1116,0.04039999999999999,0.152,69.09,human_climate_space
temporal_spd,North America,7000,human,0.0107,0.0013000000000000008,0.012,11.11,human_climate
temporal_spd,North America,7000,climate,0.0945,0.0012999999999999956,0.0958,88.7,human_climate
temporal_spd,North America,7000,human,0.0094,0.001599999999999999,0.011,5.02,human_climate_space
temporal_spd,North America,7000,climate,0.0279,0.0342,0.0621,28.36,human_climate_space
temporal_spd,North America,7000,space,0.1108,0.034699999999999995,0.1455,66.44,human_climate_space
temporal_spd,North America,7500,human,0.0111,0.0014999999999999996,0.0126,12.73,human_climate
temporal_spd,North America,7500,climate,0.0848,0.0015000000000000013,0.0863,87.17,human_climate
temporal_spd,North America,7500,human,0.0092,0.0017000000000000001,0.0109,6.09,human_climate_space
temporal_spd,North America,7500,climate,0.0304,0.028,0.0584,32.63,human_climate_space
temporal_spd,North America,7500,space,0.0802,0.0296,0.1098,61.34,human_climate_space
temporal_spd,North America,8000,human,0.0094,-8.999999999999998e-4,0.0085,7.59,human_climate
temporal_spd,North America,8000,climate,0.1047,-0.0010000000000000009,0.1037,92.59,human_climate
temporal_spd,North America,8000,human,0.0088,0,0.0088,4.51,human_climate_space
temporal_spd,North America,8000,climate,0.0383,0.0329,0.0712,36.51,human_climate_space
temporal_spd,North America,8000,space,0.0831,0.032200000000000006,0.1153,59.13,human_climate_space
temporal_spd,North America,8500,human,0.0043,7.000000000000001e-4,0.005,4.81,human_climate
temporal_spd,North America,8500,climate,0.0979,6.999999999999923e-4,0.0986,94.81,human_climate
temporal_spd,North America,8500,human,0.001,0.0027,0.0037,1.81,human_climate_space
temporal_spd,North America,8500,climate,0.0254,0.03730000000000001,0.0627,30.74,human_climate_space
temporal_spd,North America,8500,space,0.1003,0.0373,0.1376,67.45,human_climate_space
temporal_spd,Latin America,2000,human,-0.0011,0.0041,0.003,1.96,human_climate
temporal_spd,Latin America,2000,climate,0.1454,0.004200000000000009,0.1496,97.78,human_climate
temporal_spd,Latin America,2000,human,8e-4,0.003999999999999999,0.0048,2.86,human_climate_space
temporal_spd,Latin America,2000,climate,0.1257,0.014899999999999997,0.1406,83.69,human_climate_space
temporal_spd,Latin America,2000,space,0.0156,0.0072000000000000015,0.0228,13.57,human_climate_space
temporal_spd,Latin America,2500,human,-0.0012,0.006699999999999999,0.0055,3.59,human_climate
temporal_spd,Latin America,2500,climate,0.1405,0.006599999999999995,0.1471,96.14,human_climate
temporal_spd,Latin America,2500,human,0.0054,0.0043,0.0097,5.36,human_climate_space
temporal_spd,Latin America,2500,climate,0.1261,0.014800000000000008,0.1409,77.85,human_climate_space
temporal_spd,Latin America,2500,space,0.0288,0.0019000000000000024,0.0307,16.96,human_climate_space
temporal_spd,Latin America,3000,human,0.0143,-0.0057,0.0086,4.78,human_climate
temporal_spd,Latin America,3000,climate,0.1771,-0.005700000000000011,0.1714,95.22,human_climate
temporal_spd,Latin America,3000,human,0.0238,-0.010500000000000002,0.0133,6.65,human_climate_space
temporal_spd,Latin America,3000,climate,0.1729,-0.003599999999999992,0.1693,84.65,human_climate_space
temporal_spd,Latin America,3000,space,0.0201,-0.002599999999999998,0.0175,8.75,human_climate_space
temporal_spd,Latin America,4000,human,0.0389,-0.011899999999999997,0.027,12.39,human_climate
temporal_spd,Latin America,4000,climate,0.2032,-0.011899999999999994,0.1913,87.75,human_climate
temporal_spd,Latin America,4000,human,0.0407,-0.0133,0.0274,12.29,human_climate_space
temporal_spd,Latin America,4000,climate,0.2092,-0.015399999999999997,0.1938,86.91,human_climate_space
temporal_spd,Latin America,4000,space,0.0044,-0.0028000000000000004,0.0016,0.72,human_climate_space
temporal_spd,Latin America,4500,human,0.0212,-0.005500000000000001,0.0157,7.97,human_climate
temporal_spd,Latin America,4500,climate,0.187,-0.005399999999999988,0.1816,92.18,human_climate
temporal_spd,Latin America,5000,human,0.0383,-0.013500000000000002,0.0248,12.16,human_climate
temporal_spd,Latin America,5000,climate,0.1926,-0.013399999999999995,0.1792,87.84,human_climate
temporal_spd,Latin America,5000,human,0.0213,-0.0022000000000000006,0.0191,8.13,human_climate_space
temporal_spd,Latin America,5000,climate,0.1125,0.029399999999999996,0.1419,60.38,human_climate_space
temporal_spd,Latin America,5000,space,0.0307,0.043,0.0737,31.36,human_climate_space
temporal_spd,Latin America,5500,human,0.012,-0.0026,0.0094,5.7,human_climate
temporal_spd,Latin America,5500,climate,0.1583,-0.0025000000000000022,0.1558,94.42,human_climate
temporal_spd,Latin America,6000,human,0.0151,-0.005600000000000001,0.0095,5.59,human_climate
temporal_spd,Latin America,6000,climate,0.1659,-0.005599999999999994,0.1603,94.29,human_climate
temporal_spd,Latin America,6500,human,-0.0045,9.99999999999994e-5,-0.0044,-2.77,human_climate
temporal_spd,Latin America,6500,climate,0.1629,1.0000000000001674e-4,0.163,102.52,human_climate
temporal_spd,Latin America,7000,human,0.0025,0.0039000000000000003,0.0064,5,human_climate
temporal_spd,Latin America,7000,climate,0.1181,0.0039000000000000007,0.122,95.31,human_climate
temporal_spd,Latin America,7500,human,0.0035,-0.0041,-6e-4,-0.41,human_climate
temporal_spd,Latin America,7500,climate,0.1496,-0.00410000000000002,0.1455,100.34,human_climate
temporal_spd,Latin America,7500,human,0.0019,-0.0022,-3e-4,-0.18,human_climate_space
temporal_spd,Latin America,7500,climate,0.1013,0.021199999999999997,0.1225,72.49,human_climate_space
temporal_spd,Latin America,7500,space,0.0243,0.0227,0.047,27.81,human_climate_space
temporal_spd,Latin America,8000,human,0.0591,-0.007899999999999997,0.0512,29.6,human_climate
temporal_spd,Latin America,8000,climate,0.1295,-0.007900000000000004,0.1216,70.29,human_climate
temporal_spd,Latin America,8500,human,0.0166,-0.0069,0.0097,7.08,human_climate
temporal_spd,Latin America,8500,climate,0.1343,-0.0068999999999999895,0.1274,92.99,human_climate
temporal_spd,Latin America,8500,human,0.0151,-0.005300000000000001,0.0098,5.66,human_climate_space
temporal_spd,Latin America,8500,climate,0.0683,0.026999999999999996,0.0953,55.09,human_climate_space
temporal_spd,Latin America,8500,space,0.0362,0.031999999999999994,0.0682,39.42,human_climate_space
temporal_spd,Latin America,3500,human,0.0246,-0.011600000000000001,0.013,6.37,human_climate
temporal_spd,Latin America,3500,climate,0.2027,-0.0116,0.1911,93.68,human_climate
temporal_spd,Oceania,2000,human,0.0088,0.014399999999999998,0.0232,72.5,human_climate
temporal_spd,Oceania,2000,climate,-0.006,0.0143,0.0083,25.94,human_climate
temporal_spd,Oceania,2500,human,0.003,0.0064,0.0094,13.24,human_climate
temporal_spd,Oceania,2500,climate,0.0547,0.006400000000000003,0.0611,86.06,human_climate
temporal_spd,Oceania,3000,human,0.0225,0.005000000000000001,0.0275,19.23,human_climate
temporal_spd,Oceania,3000,climate,0.1105,0.004900000000000002,0.1154,80.7,human_climate
temporal_spd,Oceania,3500,human,0.0214,0.0022000000000000006,0.0236,16.5,human_climate
temporal_spd,Oceania,3500,climate,0.1168,0.0022999999999999965,0.1191,83.29,human_climate
temporal_spd,Oceania,3500,human,0.0258,-5.999999999999998e-4,0.0252,15.09,human_climate_space
temporal_spd,Oceania,3500,climate,0.1573,-0.018699999999999994,0.1386,82.99,human_climate_space
temporal_spd,Oceania,3500,space,0.0244,-0.0211,0.0033,1.98,human_climate_space
temporal_spd,Oceania,4000,human,-2e-4,0.0073999999999999995,0.0072,8.78,human_climate
temporal_spd,Oceania,4000,climate,0.0676,0.007400000000000004,0.075,91.46,human_climate
temporal_spd,Oceania,4500,human,4e-4,0.004399999999999999,0.0048,3.9,human_climate
temporal_spd,Oceania,4500,climate,0.1142,0.004400000000000001,0.1186,96.42,human_climate
temporal_spd,Oceania,4500,human,4e-4,0.0052,0.0056,4.06,human_climate_space
temporal_spd,Oceania,4500,climate,0.1283,-0.001799999999999996,0.1265,91.67,human_climate_space
temporal_spd,Oceania,4500,space,0.0144,-0.008799999999999999,0.0056,4.06,human_climate_space
temporal_spd,Oceania,5000,human,-0.0093,0.0109,0.0016,2.46,human_climate
temporal_spd,Oceania,5000,climate,0.0525,0.0109,0.0634,97.54,human_climate
temporal_spd,Oceania,5500,human,-6e-4,0.0063999999999999994,0.0058,9.06,human_climate
temporal_spd,Oceania,5500,climate,0.052,0.006500000000000006,0.0585,91.41,human_climate
temporal_spd,Oceania,6000,human,-0.0025,0.0012000000000000001,-0.0013,-1.91,human_climate
temporal_spd,Oceania,6000,climate,0.0676,0.0012000000000000066,0.0688,101.18,human_climate
temporal_spd,Oceania,7000,human,-0.0166,0.0028000000000000004,-0.0138,197.14,human_climate
temporal_spd,Oceania,7000,climate,0.0038,0.0028,0.0066,-94.29,human_climate
temporal_spd,Oceania,7500,human,-0.0169,0.0019999999999999983,-0.0149,-53.21,human_climate
temporal_spd,Oceania,7500,climate,0.0412,0.0020000000000000018,0.0432,154.29,human_climate
