region,climatezone,stratum,age,age_ka,age_ka_scaled,n_datasets_marginalised,estimate,estimate_error,conf_low,conf_high,analysis,model_id,variable,model_profile,source_model_file,prediction_draws_used,prediction_range,prediction_estimand,value
Asia,Arid,Asia__Arid,500,0.5,-1.66521812,20,0.38795766,0.03240242,0.32869298,0.45732653,pap_temporal,pap_temporal__dcca_axis_1__Asia__Arid,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Arid_2026-07-06__09f464b2c994638d879c7ce5953ebe5a__.qs,1000,group_observed,equal_weighted_dataset_mean,0.38795766
Asia,Arid,Asia__Arid,1000,1,-1.45450722,32,0.34869708,0.01790315,0.31594642,0.38728432,pap_temporal,pap_temporal__dcca_axis_1__Asia__Arid,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Arid_2026-07-06__09f464b2c994638d879c7ce5953ebe5a__.qs,1000,group_observed,equal_weighted_dataset_mean,0.34869708
Asia,Arid,Asia__Arid,1500,1.5,-1.24379633,32,0.3694227,0.0152925,0.33999201,0.40191208,pap_temporal,pap_temporal__dcca_axis_1__Asia__Arid,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Arid_2026-07-06__09f464b2c994638d879c7ce5953ebe5a__.qs,1000,group_observed,equal_weighted_dataset_mean,0.3694227
Asia,Arid,Asia__Arid,2000,2,-1.03308543,32,0.39885367,0.01464815,0.37100165,0.42951425,pap_temporal,pap_temporal__dcca_axis_1__Asia__Arid,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Arid_2026-07-06__09f464b2c994638d879c7ce5953ebe5a__.qs,1000,group_observed,equal_weighted_dataset_mean,0.39885367
Asia,Arid,Asia__Arid,2500,2.5,-0.82237453,32,0.43679196,0.01520484,0.40726756,0.46863861,pap_temporal,pap_temporal__dcca_axis_1__Asia__Arid,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Arid_2026-07-06__09f464b2c994638d879c7ce5953ebe5a__.qs,1000,group_observed,equal_weighted_dataset_mean,0.43679196
Asia,Arid,Asia__Arid,3000,3,-0.61166363,32,0.48179079,0.01645436,0.4498572,0.51637156,pap_temporal,pap_temporal__dcca_axis_1__Asia__Arid,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Arid_2026-07-06__09f464b2c994638d879c7ce5953ebe5a__.qs,1000,group_observed,equal_weighted_dataset_mean,0.48179079
Asia,Arid,Asia__Arid,3500,3.5,-0.40095274,32,0.53116858,0.0182836,0.4948143,0.56811527,pap_temporal,pap_temporal__dcca_axis_1__Asia__Arid,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Arid_2026-07-06__09f464b2c994638d879c7ce5953ebe5a__.qs,1000,group_observed,equal_weighted_dataset_mean,0.53116858
Asia,Arid,Asia__Arid,4000,4,-0.19024184,32,0.58116627,0.02168484,0.5391425,0.62266499,pap_temporal,pap_temporal__dcca_axis_1__Asia__Arid,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Arid_2026-07-06__09f464b2c994638d879c7ce5953ebe5a__.qs,1000,group_observed,equal_weighted_dataset_mean,0.58116627
Asia,Arid,Asia__Arid,4500,4.5,0.02046906,32,0.62733217,0.02445272,0.5832771,0.67821958,pap_temporal,pap_temporal__dcca_axis_1__Asia__Arid,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Arid_2026-07-06__09f464b2c994638d879c7ce5953ebe5a__.qs,1000,group_observed,equal_weighted_dataset_mean,0.62733217
Asia,Arid,Asia__Arid,5000,5,0.23117996,32,0.66551889,0.02672841,0.61734645,0.72251315,pap_temporal,pap_temporal__dcca_axis_1__Asia__Arid,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Arid_2026-07-06__09f464b2c994638d879c7ce5953ebe5a__.qs,1000,group_observed,equal_weighted_dataset_mean,0.66551889
