analysis,region,climatezone,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,climatezone_label,climate,human,importance_balance
h2_spd,Asia,Arid,climate,zero_truncated,0.545,0.5592,0.9746065808297568,1,ARD,NA,NA,NA
h2_spd,Asia,Arid,human,zero_truncated,0.0142,0.5592,0.025393419170243205,1,ARD,NA,NA,NA
h2_spd,Asia,Cold - Dry Summer,climate,zero_truncated,0.539,0.6206,0.868514340960361,1,CDS,NA,NA,NA
h2_spd,Asia,Cold - Dry Summer,human,zero_truncated,0.0816,0.6206,0.13148565903963905,1,CDS,NA,NA,NA
h2_spd,Asia,Cold - Dry Winter,climate,zero_truncated,0.5007,0.7270000000000001,0.6887207702888583,1,CDW,NA,NA,NA
h2_spd,Asia,Cold - Dry Winter,human,zero_truncated,0.2263,0.7270000000000001,0.31127922971114164,1,CDW,NA,NA,NA
h2_spd,Asia,Cold - Cold Summer,climate,zero_truncated,0.3003,0.4146,0.7243125904486252,1,CCS,NA,NA,NA
h2_spd,Asia,Cold - Cold Summer,human,zero_truncated,0.1143,0.4146,0.2756874095513748,1,CCS,NA,NA,NA
h2_spd,Asia,Cold - Warm Summer,climate,zero_truncated,0.1009,0.2022,0.49901088031651836,1,CWS,NA,NA,NA
h2_spd,Asia,Cold - Warm Summer,human,zero_truncated,0.1013,0.2022,0.5009891196834817,1,CWS,NA,NA,NA
h2_spd,Asia,Polar,climate,zero_truncated,0.6357,0.7436,0.8548951048951049,1,POL,NA,NA,NA
h2_spd,Asia,Polar,human,zero_truncated,0.1079,0.7436,0.1451048951048951,1,POL,NA,NA,NA
h2_spd,Asia,Temperate - Dry Summer,climate,zero_truncated,0.5168,0.7511000000000001,0.6880575156437225,1,TDS,NA,NA,NA
h2_spd,Asia,Temperate - Dry Summer,human,zero_truncated,0.2343,0.7511000000000001,0.3119424843562774,1,TDS,NA,NA,NA
h2_spd,Asia,Temperate - Dry Winter,climate,zero_truncated,0.6602,0.7966,0.8287722821993473,1,TDW,NA,NA,NA
h2_spd,Asia,Temperate - Dry Winter,human,zero_truncated,0.1364,0.7966,0.17122771780065277,1,TDW,NA,NA,NA
h2_spd,Asia,Temperate,climate,zero_truncated,0.6615,0.6655,0.9939894815927873,1,TMP,NA,NA,NA
h2_spd,Asia,Temperate,human,zero_truncated,0.004,0.6655,0.006010518407212622,1,TMP,NA,NA,NA
h2_spd,Europe,Arid,climate,zero_truncated,0.223,0.234,0.9529914529914529,1,ARD,NA,NA,NA
h2_spd,Europe,Arid,human,zero_truncated,0.011,0.234,0.047008547008547,1,ARD,NA,NA,NA
h2_spd,Europe,Cold - Cold Summer,climate,zero_truncated,0.464,0.6358,0.7297892418999685,1,CCS,NA,NA,NA
h2_spd,Europe,Cold - Cold Summer,human,zero_truncated,0.1718,0.6358,0.2702107581000315,1,CCS,NA,NA,NA
h2_spd,Europe,Cold - Warm Summer,climate,zero_truncated,0.6534,0.7581,0.8618915710328453,1,CWS,NA,NA,NA
h2_spd,Europe,Cold - Warm Summer,human,zero_truncated,0.1047,0.7581,0.13810842896715472,1,CWS,NA,NA,NA
h2_spd,Europe,Polar,climate,zero_truncated,0.7415,0.7415,1,1,POL,NA,NA,NA
h2_spd,Europe,Polar,human,zero_truncated,0,0.7415,0,1,POL,NA,NA,NA
