analysis,model_id,dataset_id,region,climatezone,adjusted_r_squared,human_importance_bounded,human_importance_signed,climatezone_label
spatial_spd,analysis=spatial_spd|dataset_id=46516|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,46516,Europe,Cold - Warm Summer,0.273,0.06156101135947233,0.06153846153846153,CWS
spatial_spd,analysis=spatial_spd|dataset_id=26606|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,26606,North America,Cold - Warm Summer,0.672,0.30117612029179697,0.30104166666666665,CWS
spatial_spd,analysis=spatial_spd|dataset_id=48966|region=Europe|climatezone=Temperate_Without_dry_season,48966,Europe,Temperate,0.505,0,-0.025544554455445543,TMP
spatial_spd,analysis=spatial_spd|dataset_id=3565|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,3565,North America,Cold - Warm Summer,0.78,0.04266495836002563,0.042692307692307696,CWS
spatial_spd,analysis=spatial_spd|dataset_id=3032|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,3032,North America,Cold - Warm Summer,0.316,0.5270826734241368,0.5265822784810126,CWS
spatial_spd,analysis=spatial_spd|dataset_id=4383|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,4383,Europe,Cold - Warm Summer,0.092,1,1.4271739130434782,CWS
spatial_spd,analysis=spatial_spd|dataset_id=45377|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,45377,Europe,Cold - Warm Summer,0.258,0.2706155632984901,0.27093023255813953,CWS
spatial_spd,analysis=spatial_spd|dataset_id=236|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,236,North America,Cold - Warm Summer,0.282,0.04143059490084986,0.041489361702127664,CWS
spatial_spd,analysis=spatial_spd|dataset_id=4170|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,4170,Europe,Cold - Warm Summer,0.494,0,-0.05202429149797571,CWS
spatial_spd,analysis=spatial_spd|dataset_id=25372|region=Europe|climatezone=Temperate_Without_dry_season,25372,Europe,Temperate,0.467,0.18709815687955422,0.18693790149892933,TMP
spatial_spd,analysis=spatial_spd|dataset_id=2642|region=North America|climatezone=Cold_Dry_Summer,2642,North America,Cold - Dry Summer,0.773,0.08952134540750323,0.08952134540750323,CDS
spatial_spd,analysis=spatial_spd|dataset_id=46544|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,46544,Europe,Cold - Warm Summer,0.398,0.05226130653266332,0.05226130653266331,CWS
spatial_spd,analysis=spatial_spd|dataset_id=982|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,982,North America,Cold - Warm Summer,0.439,0.15589440145653163,0.1560364464692483,CWS
spatial_spd,analysis=spatial_spd|dataset_id=26448|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,26448,Europe,Cold - Cold Summer,0.381,0.3285189075630252,0.32834645669291335,CCS
spatial_spd,analysis=spatial_spd|dataset_id=4042|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,4042,Europe,Cold - Warm Summer,0.629,0.6328510096994753,0.6327503974562798,CWS
spatial_spd,analysis=spatial_spd|dataset_id=3487|region=North America|climatezone=Cold_Without_dry_season_Hot_Summer,3487,North America,Cold - Hot Summer,0.274,0,-0.15145985401459855,CHS
spatial_spd,analysis=spatial_spd|dataset_id=21675|region=Latin America|climatezone=Tropical,21675,Latin America,Tropical,0.576,0.5775577557755776,0.5772569444444445,TRO
spatial_spd,analysis=spatial_spd|dataset_id=26499|region=Europe|climatezone=Polar,26499,Europe,Polar,0.344,0.6213310084277827,0.6215116279069768,POL
spatial_spd,analysis=spatial_spd|dataset_id=24840|region=Europe|climatezone=Temperate_Without_dry_season,24840,Europe,Temperate,0.414,0.8073859522085446,0.8079710144927537,TMP
spatial_spd,analysis=spatial_spd|dataset_id=2395|region=Latin America|climatezone=Tropical,2395,Latin America,Tropical,0.219,0.7529680365296804,0.7529680365296804,TRO
spatial_spd,analysis=spatial_spd|dataset_id=45347|region=Europe|climatezone=Polar,45347,Europe,Polar,0.528,0.10431654676258993,0.1043560606060606,POL
spatial_spd,analysis=spatial_spd|dataset_id=15922|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,15922,North America,Cold - Warm Summer,0.551,0.34392014519056263,0.3439201451905626,CWS
spatial_spd,analysis=spatial_spd|dataset_id=1010|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,1010,North America,Cold - Cold Summer,0.347,0.45349841635473653,0.4538904899135447,CCS
spatial_spd,analysis=spatial_spd|dataset_id=4542|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,4542,Europe,Cold - Cold Summer,0.512,0.011721039265481539,0.01171875,CCS
spatial_spd,analysis=spatial_spd|dataset_id=14944|region=North America|climatezone=Cold_Dry_Summer,14944,North America,Cold - Dry Summer,0.606,0.7723295360739639,0.7719471947194719,CDS
spatial_spd,analysis=spatial_spd|dataset_id=17402|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,17402,North America,Cold - Cold Summer,0.247,0.3565076798706548,0.357085020242915,CCS
spatial_spd,analysis=spatial_spd|dataset_id=234|region=North America|climatezone=Cold_Dry_Summer,234,North America,Cold - Dry Summer,0.426,0.15056285178236395,0.15070422535211267,CDS
spatial_spd,analysis=spatial_spd|dataset_id=16081|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,16081,North America,Cold - Warm Summer,0.295,0,-0.07457627118644068,CWS
spatial_spd,analysis=spatial_spd|dataset_id=41421|region=Europe|climatezone=Temperate_Without_dry_season,41421,Europe,Temperate,0.372,0.042987641053197204,0.043010752688172046,TMP
spatial_spd,analysis=spatial_spd|dataset_id=1451|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,1451,North America,Cold - Warm Summer,0.358,0.2668343112601285,0.2667597765363129,CWS
spatial_spd,analysis=spatial_spd|dataset_id=785|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,785,North America,Cold - Warm Summer,0.631,0.3377714376287843,0.33771790808240887,CWS
spatial_spd,analysis=spatial_spd|dataset_id=2311|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,2311,North America,Cold - Cold Summer,0.786,0.09222745197811982,0.09223918575063612,CCS
spatial_spd,analysis=spatial_spd|dataset_id=3900|region=Europe|climatezone=Temperate_Without_dry_season,3900,Europe,Temperate,0.126,0,-0.3523809523809524,TMP
spatial_spd,analysis=spatial_spd|dataset_id=2053|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,2053,North America,Cold - Warm Summer,0.336,0,-0.07559523809523809,CWS
spatial_spd,analysis=spatial_spd|dataset_id=1149|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,1149,North America,Cold - Warm Summer,0.592,0.3773425628904271,0.3775337837837838,CWS
spatial_spd,analysis=spatial_spd|dataset_id=46998|region=Latin America|climatezone=Temperate_Without_dry_season,46998,Latin America,Temperate,0.078,0.16538461538461538,0.16538461538461538,TMP
spatial_spd,analysis=spatial_spd|dataset_id=46490|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,46490,Europe,Cold - Warm Summer,0.417,0.13222942164626833,0.13213429256594725,CWS
spatial_spd,analysis=spatial_spd|dataset_id=210|region=North America|climatezone=Arid,210,North America,Arid,0.544,0.2739146431199412,0.2737132352941176,ARD
spatial_spd,analysis=spatial_spd|dataset_id=4136|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,4136,Europe,Cold - Cold Summer,0.241,0.045228215767634854,0.045228215767634854,CCS
spatial_spd,analysis=spatial_spd|dataset_id=45192|region=Europe|climatezone=Temperate_Dry_Summer,45192,Europe,Temperate - Dry Summer,0.591,0,-0.0010152284263959391,TDS
spatial_spd,analysis=spatial_spd|dataset_id=15232|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,15232,North America,Cold - Cold Summer,0.133,0.22171945701357465,0.22105263157894736,CCS
