analysis,region,climatezone,n_models,climate,human,importance_balance,climatezone_label,climate_colour,panel_label,panel_x
spatial_spd,North America,Arid,16,0.6352477276777759,0.36475227232222424,-0.2704954553555517,ARD,#DDDF78,ARD,0.5
spatial_spd,North America,Cold - Dry Summer,46,0.698324752216541,0.3016752477834589,-0.3966495044330821,CDS,#E59463,CDS,0.5
spatial_spd,North America,Cold - Cold Summer,135,0.7923074277985581,0.2076925722014419,-0.5846148555971162,CCS,#8C4418,CCS,0.5
spatial_spd,North America,Cold - Hot Summer,53,0.7144096165550822,0.28559038344491783,-0.42881923311016434,CHS,#AA6133,CHS,0.5
spatial_spd,North America,Cold - Warm Summer,194,0.7016237336689529,0.298376266331047,-0.4032474673379059,CWS,#DC702E,CWS,0.5
spatial_spd,North America,Polar,35,0.8562969909872677,0.14370300901273228,-0.7125939819745355,POL,#907A8E,POL,0.5
spatial_spd,North America,Temperate - Dry Summer,16,0.7125941394708195,0.2874058605291805,-0.425188278941639,TDS,#9A7EDD,TDS,0.5
spatial_spd,North America,Temperate,38,0.6150976382623355,0.3849023617376645,-0.23019527652467103,TMP,#371E71,TMP,0.5
spatial_spd,Latin America,Arid,5,0.7148058252427184,0.28519417475728154,-0.42961165048543687,ARD,#DDDF78,ARD,0.5
spatial_spd,Latin America,Cold - Dry Summer,2,0.9495773394631469,0.050422660536853035,-0.8991546789262939,CDS,#E59463,CDS,0.5
spatial_spd,Latin America,Polar,22,0.8105356161579158,0.1894643838420843,-0.6210712323158315,POL,#907A8E,POL,0.5
spatial_spd,Latin America,Temperate - Dry Summer,8,0.9280679207072478,0.07193207929275226,-0.8561358414144955,TDS,#9A7EDD,TDS,0.5
spatial_spd,Latin America,Temperate - Dry Winter,2,0.7395903066006159,0.26040969339938413,-0.47918061320123173,TDW,#562FB1,TDW,0.5
spatial_spd,Latin America,Temperate,17,0.7217653794108463,0.27823462058915377,-0.4435307588216925,TMP,#371E71,TMP,0.5
spatial_spd,Latin America,Tropical,15,0.692190250666002,0.3078097493339981,-0.38438050133200397,TRO,#D68FD6,TRO,0.5
spatial_spd,Europe,Arid,7,0.9919106940624495,0.008089305937550558,-0.9838213881248989,ARD,#DDDF78,ARD,0.5
spatial_spd,Europe,Cold - Dry Summer,3,0.8200597470285387,0.17994025297146127,-0.6401194940570774,CDS,#E59463,CDS,0.5
spatial_spd,Europe,Cold - Cold Summer,92,0.8085540892600619,0.19144591073993816,-0.6171081785201238,CCS,#8C4418,CCS,0.5
spatial_spd,Europe,Cold - Warm Summer,144,0.8105277472671165,0.18947225273288354,-0.621055494534233,CWS,#DC702E,CWS,0.5
spatial_spd,Europe,Polar,30,0.8319488942340465,0.1680511057659535,-0.663897788468093,POL,#907A8E,POL,0.5
spatial_spd,Europe,Temperate - Dry Summer,14,0.8347023494082316,0.16529765059176824,-0.6694046988164634,TDS,#9A7EDD,TDS,0.5
spatial_spd,Europe,Temperate,91,0.6668646114667138,0.3331353885332861,-0.3337292229334277,TMP,#371E71,TMP,0.5
spatial_spd,Asia,Arid,19,0.7785080512651988,0.2214919487348012,-0.5570161025303977,ARD,#DDDF78,ARD,0.5
spatial_spd,Asia,Cold - Dry Summer,4,1,0,-1,CDS,#E59463,CDS,0.5
spatial_spd,Asia,Cold - Dry Winter,21,0.8701954139288807,0.12980458607111947,-0.7403908278577612,CDW,#CB8152,CDW,0.5
spatial_spd,Asia,Cold - Cold Summer,9,0.9054912993643847,0.0945087006356153,-0.8109825987287693,CCS,#8C4418,CCS,0.5
spatial_spd,Asia,Cold - Hot Summer,1,0.49536178107606677,0.5046382189239331,0.009276437847866359,CHS,#AA6133,CHS,0.5
spatial_spd,Asia,Cold - Warm Summer,16,0.8924139328346868,0.10758606716531312,-0.7848278656693737,CWS,#DC702E,CWS,0.5
spatial_spd,Asia,Polar,10,0.8156447106938164,0.18435528930618356,-0.6312894213876328,POL,#907A8E,POL,0.5
spatial_spd,Asia,Temperate - Dry Summer,5,0.9604883577168761,0.03951164228312384,-0.9209767154337523,TDS,#9A7EDD,TDS,0.5
spatial_spd,Asia,Temperate - Dry Winter,6,0.4962042476276548,0.5037957523723452,0.007591504744690392,TDW,#562FB1,TDW,0.5
spatial_spd,Asia,Temperate,7,0.9085449921872606,0.09145500781273935,-0.8170899843745212,TMP,#371E71,TMP,0.5
spatial_spd,Oceania,Arid,1,0.7576020851433536,0.24239791485664638,-0.5152041702867072,ARD,#DDDF78,ARD,0.5
spatial_spd,Oceania,Cold - Cold Summer,1,1,0,-1,CCS,#8C4418,CCS,0.5
spatial_spd,Oceania,Cold - Warm Summer,1,0.28589108910891087,0.7141089108910892,0.4282178217821783,CWS,#DC702E,CWS,0.5
spatial_spd,Oceania,Temperate - Dry Summer,1,0.841991341991342,0.15800865800865802,-0.6839826839826839,TDS,#9A7EDD,TDS,0.5
spatial_spd,Oceania,Temperate - Dry Winter,1,0.6549375709421114,0.3450624290578888,-0.30987514188422255,TDW,#562FB1,TDW,0.5
spatial_spd,Oceania,Temperate,26,0.6862489196197061,0.31375108038029387,-0.37249783923941227,TMP,#371E71,TMP,0.5
spatial_spd,Oceania,Tropical,4,0.6586907449209932,0.3413092550790068,-0.31738148984198644,TRO,#D68FD6,TRO,0.5
