model_id,dataset_id,region,climatezone,human,climate,importance_balance,climatezone_label
analysis=spatial_spd|dataset_id=46516|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,46516,Europe,Cold - Warm Summer,0.06156101135947233,0.9384389886405278,-0.8768779772810554,CWS
analysis=spatial_spd|dataset_id=26606|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,26606,North America,Cold - Warm Summer,0.30117612029179697,0.698823879708203,-0.39764775941640607,CWS
analysis=spatial_spd|dataset_id=48966|region=Europe|climatezone=Temperate_Without_dry_season,48966,Europe,Temperate,0,1,-1,TMP
analysis=spatial_spd|dataset_id=3565|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,3565,North America,Cold - Warm Summer,0.04266495836002563,0.9573350416399744,-0.9146700832799488,CWS
analysis=spatial_spd|dataset_id=3032|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,3032,North America,Cold - Warm Summer,0.5270826734241368,0.47291732657586316,0.05416534684827368,CWS
analysis=spatial_spd|dataset_id=4383|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,4383,Europe,Cold - Warm Summer,1,0,1,CWS
analysis=spatial_spd|dataset_id=45377|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,45377,Europe,Cold - Warm Summer,0.2706155632984901,0.7293844367015099,-0.45876887340301975,CWS
analysis=spatial_spd|dataset_id=236|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,236,North America,Cold - Warm Summer,0.04143059490084986,0.9585694050991502,-0.9171388101983003,CWS
analysis=spatial_spd|dataset_id=4170|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,4170,Europe,Cold - Warm Summer,0,1,-1,CWS
analysis=spatial_spd|dataset_id=25372|region=Europe|climatezone=Temperate_Without_dry_season,25372,Europe,Temperate,0.18709815687955422,0.8129018431204458,-0.6258036862408916,TMP
analysis=spatial_spd|dataset_id=2642|region=North America|climatezone=Cold_Dry_Summer,2642,North America,Cold - Dry Summer,0.08952134540750323,0.9104786545924968,-0.8209573091849935,CDS
analysis=spatial_spd|dataset_id=46544|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,46544,Europe,Cold - Warm Summer,0.05226130653266332,0.9477386934673367,-0.8954773869346734,CWS
analysis=spatial_spd|dataset_id=982|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,982,North America,Cold - Warm Summer,0.15589440145653163,0.8441055985434683,-0.6882111970869367,CWS
analysis=spatial_spd|dataset_id=26448|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,26448,Europe,Cold - Cold Summer,0.3285189075630252,0.6714810924369748,-0.34296218487394964,CCS
analysis=spatial_spd|dataset_id=4042|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,4042,Europe,Cold - Warm Summer,0.6328510096994753,0.3671489903005247,0.26570201939895055,CWS
analysis=spatial_spd|dataset_id=3487|region=North America|climatezone=Cold_Without_dry_season_Hot_Summer,3487,North America,Cold - Hot Summer,0,1,-1,CHS
analysis=spatial_spd|dataset_id=21675|region=Latin America|climatezone=Tropical,21675,Latin America,Tropical,0.5775577557755776,0.42244224422442245,0.1551155115511551,TRO
analysis=spatial_spd|dataset_id=26499|region=Europe|climatezone=Polar,26499,Europe,Polar,0.6213310084277827,0.3786689915722174,0.24266201685556527,POL
analysis=spatial_spd|dataset_id=24840|region=Europe|climatezone=Temperate_Without_dry_season,24840,Europe,Temperate,0.8073859522085446,0.19261404779145547,0.6147719044170892,TMP
analysis=spatial_spd|dataset_id=2395|region=Latin America|climatezone=Tropical,2395,Latin America,Tropical,0.7529680365296804,0.24703196347031964,0.5059360730593607,TRO
analysis=spatial_spd|dataset_id=45347|region=Europe|climatezone=Polar,45347,Europe,Polar,0.10431654676258993,0.89568345323741,-0.7913669064748201,POL
analysis=spatial_spd|dataset_id=15922|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,15922,North America,Cold - Warm Summer,0.34392014519056263,0.6560798548094374,-0.3121597096188748,CWS
analysis=spatial_spd|dataset_id=1010|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,1010,North America,Cold - Cold Summer,0.45349841635473653,0.5465015836452635,-0.09300316729052693,CCS
analysis=spatial_spd|dataset_id=4542|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,4542,Europe,Cold - Cold Summer,0.011721039265481539,0.9882789607345185,-0.976557921469037,CCS
analysis=spatial_spd|dataset_id=14944|region=North America|climatezone=Cold_Dry_Summer,14944,North America,Cold - Dry Summer,0.7723295360739639,0.227670463926036,0.544659072147928,CDS
analysis=spatial_spd|dataset_id=17402|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,17402,North America,Cold - Cold Summer,0.3565076798706548,0.6434923201293452,-0.2869846402586904,CCS
analysis=spatial_spd|dataset_id=234|region=North America|climatezone=Cold_Dry_Summer,234,North America,Cold - Dry Summer,0.15056285178236395,0.849437148217636,-0.6988742964352721,CDS
analysis=spatial_spd|dataset_id=16081|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,16081,North America,Cold - Warm Summer,0,1,-1,CWS
analysis=spatial_spd|dataset_id=41421|region=Europe|climatezone=Temperate_Without_dry_season,41421,Europe,Temperate,0.042987641053197204,0.9570123589468028,-0.9140247178936056,TMP
analysis=spatial_spd|dataset_id=1451|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,1451,North America,Cold - Warm Summer,0.2668343112601285,0.7331656887398715,-0.466331377479743,CWS
analysis=spatial_spd|dataset_id=785|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,785,North America,Cold - Warm Summer,0.3377714376287843,0.6622285623712157,-0.32445712474243144,CWS
analysis=spatial_spd|dataset_id=2311|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,2311,North America,Cold - Cold Summer,0.09222745197811982,0.9077725480218801,-0.8155450960437602,CCS
analysis=spatial_spd|dataset_id=3900|region=Europe|climatezone=Temperate_Without_dry_season,3900,Europe,Temperate,0,1,-1,TMP
analysis=spatial_spd|dataset_id=2053|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,2053,North America,Cold - Warm Summer,0,1,-1,CWS
analysis=spatial_spd|dataset_id=1149|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,1149,North America,Cold - Warm Summer,0.3773425628904271,0.6226574371095728,-0.24531487421914566,CWS
analysis=spatial_spd|dataset_id=46998|region=Latin America|climatezone=Temperate_Without_dry_season,46998,Latin America,Temperate,0.16538461538461538,0.8346153846153846,-0.6692307692307693,TMP
analysis=spatial_spd|dataset_id=46490|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,46490,Europe,Cold - Warm Summer,0.13222942164626833,0.8677705783537317,-0.7355411567074635,CWS
analysis=spatial_spd|dataset_id=210|region=North America|climatezone=Arid,210,North America,Arid,0.2739146431199412,0.7260853568800589,-0.45217071376011775,ARD
