analysis,region,climatezone,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,climatezone_label,summary_colour,panel_label,panel_x
spatial_spd,Asia,Arid,human,signed,1.2591,5.998,0.20991997332444148,19,ARD,#F9E0BC,ARD,0.5
spatial_spd,Asia,Cold - Dry Summer,human,signed,-0.0867,1.369,-0.0633308984660336,4,CDS,#F2F2F2,CDS,0.5
spatial_spd,Asia,Cold - Dry Winter,human,signed,0.9512,8.091,0.11756272401433693,21,CDW,#F7E8D4,CDW,0.5
spatial_spd,Asia,Cold - Cold Summer,human,signed,0.3273,3.8040000000000003,0.08604100946372238,9,CCS,#F6EBDC,CCS,0.5
spatial_spd,Asia,Cold - Hot Summer,human,signed,0.1088,0.216,0.5037037037037037,1,CHS,#F9C872,CHS,0.5
spatial_spd,Asia,Cold - Warm Summer,human,signed,0.6289,5.911,0.10639485704618509,16,CWS,#F6E9D7,CWS,0.5
spatial_spd,Asia,Polar,human,signed,0.5813,3.412,0.17036928487690506,10,POL,#F8E3C6,POL,0.5
spatial_spd,Asia,Temperate - Dry Summer,human,signed,-0.011699999999999999,1.853,-0.006314085267134376,5,TDS,#F2F2F2,TDS,0.5
spatial_spd,Asia,Temperate - Dry Winter,human,signed,1.1149,2.213,0.5037957523723452,6,TDW,#F9C872,TDW,0.5
spatial_spd,Asia,Temperate,human,signed,0.2944,3.2600000000000002,0.09030674846625766,7,TMP,#F6EADB,TMP,0.5
spatial_spd,Europe,Arid,human,signed,-0.0857,2.367,-0.03620616814533164,7,ARD,#F2F2F2,ARD,0.5
spatial_spd,Europe,Cold - Dry Summer,human,signed,0.262,1.552,0.16881443298969073,3,CDS,#F8E4C7,CDS,0.5
spatial_spd,Europe,Cold - Cold Summer,human,signed,5.633,32.201,0.1749324555138039,92,CCS,#F8E3C5,CCS,0.5
spatial_spd,Europe,Cold - Warm Summer,human,signed,8.1494,46.689,0.1745464670479128,144,CWS,#F8E3C5,CWS,0.5
spatial_spd,Europe,Polar,human,signed,1.7062,10.23,0.16678396871945259,30,POL,#F8E4C7,POL,0.5
spatial_spd,Europe,Temperate - Dry Summer,human,signed,0.7343999999999999,4.423,0.16604114854171376,14,TDS,#F8E4C7,TDS,0.5
spatial_spd,Europe,Temperate,human,signed,11.493,34.824,0.3300310130944177,91,TMP,#FAD69E,TMP,0.5
spatial_spd,Latin America,Arid,human,signed,0.3811,1.441,0.26446911866759193,5,ARD,#FADBAE,ARD,0.5
spatial_spd,Latin America,Cold - Dry Summer,human,signed,0.034,0.675,0.05037037037037037,2,CDS,#F4EEE5,CDS,0.5
spatial_spd,Latin America,Polar,human,signed,1.6757,9.197,0.18220071762531262,22,POL,#F8E2C3,POL,0.5
spatial_spd,Latin America,Temperate - Dry Summer,human,signed,-0.008200000000000015,2.375,-0.0034526315789473747,8,TDS,#F2F2F2,TDS,0.5
spatial_spd,Latin America,Temperate - Dry Winter,human,signed,0.1945,0.7470000000000001,0.26037483266398925,2,TDW,#FADCAF,TDW,0.5
spatial_spd,Latin America,Temperate,human,signed,1.4602,5.62,0.2598220640569395,17,TMP,#FADCB0,TMP,0.5
spatial_spd,Latin America,Tropical,human,signed,1.8461,6.288,0.2935909669211196,15,TRO,#FAD9A7,TRO,0.5
spatial_spd,North America,Arid,human,signed,1.5893,4.34,0.36619815668202765,16,ARD,#FAD395,ARD,0.5
spatial_spd,North America,Cold - Dry Summer,human,signed,4.9768,16.687,0.2982441421465811,46,CDS,#FAD9A6,CDS,0.5
spatial_spd,North America,Cold - Cold Summer,human,signed,10.2931,51.556,0.19964892544029794,135,CCS,#F9E1BF,CCS,0.5
spatial_spd,North America,Cold - Hot Summer,human,signed,5.3628,19.405,0.27636176243236277,53,CHS,#FADAAB,CHS,0.5
spatial_spd,North America,Cold - Warm Summer,human,signed,23.7315,80.14,0.2961255303219366,194,CWS,#FAD9A6,CWS,0.5
spatial_spd,North America,Polar,human,signed,1.6284,12.4,0.13132258064516128,35,POL,#F7E7D0,POL,0.5
spatial_spd,North America,Temperate - Dry Summer,human,signed,1.2937,4.484,0.2885147190008921,16,TDS,#FAD9A8,TDS,0.5
spatial_spd,North America,Temperate,human,signed,4.8291,12.539,0.38512640561448286,38,TMP,#FAD190,TMP,0.5
spatial_spd,Oceania,Arid,human,signed,0.0837,0.345,0.2426086956521739,1,ARD,#F9DDB4,ARD,0.5
spatial_spd,Oceania,Cold - Cold Summer,human,signed,-0.0189,0.019,-0.9947368421052631,1,CCS,#F2F2F2,CCS,0.5
spatial_spd,Oceania,Cold - Warm Summer,human,signed,0.1154,0.162,0.7123456790123457,1,CWS,#E5B55A,CWS,0.5
spatial_spd,Oceania,Temperate - Dry Summer,human,signed,0.0219,0.139,0.15755395683453235,1,TDS,#F8E4CA,TDS,0.5
spatial_spd,Oceania,Temperate - Dry Winter,human,signed,0.0912,0.264,0.34545454545454546,1,TDW,#FAD59A,TDW,0.5
spatial_spd,Oceania,Temperate,human,signed,3.5028,11.348,0.3086711314769122,26,TMP,#FAD8A3,TMP,0.5
spatial_spd,Oceania,Tropical,human,signed,0.5717,1.7389999999999999,0.3287521564117309,4,TRO,#FAD69E,TRO,0.5
