analysis,dataset_id,region,climatezone,model_id,predictor,unique,average_share,individual,individual_percent,predictor_present,total_adjusted_r_squared,model_result_available,has_required_predictors,has_finite_total,has_positive_total,has_finite_individual,has_negative_unique,has_negative_individual,is_importance_eligible,exclusion_reason,signed_allocation
spatial_spd,46516,Europe,Cold_Without_dry_season_Warm_Summer,analysis=spatial_spd|dataset_id=46516|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,human,-0.0211,0.0379,0.0168,6.15,TRUE,0.273,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.06153846153846153
spatial_spd,46516,Europe,Cold_Without_dry_season_Warm_Summer,analysis=spatial_spd|dataset_id=46516|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,climate,0.2182,0.03789999999999999,0.2561,93.81,TRUE,0.273,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.938095238095238
spatial_spd,26606,North America,Cold_Without_dry_season_Warm_Summer,analysis=spatial_spd|dataset_id=26606|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.0649,0.13740000000000002,0.2023,30.1,TRUE,0.672,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.30104166666666665
spatial_spd,26606,North America,Cold_Without_dry_season_Warm_Summer,analysis=spatial_spd|dataset_id=26606|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,climate,0.3319,0.1375,0.4694,69.85,TRUE,0.672,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.6985119047619047
spatial_spd,48966,Europe,Temperate_Without_dry_season,analysis=spatial_spd|dataset_id=48966|region=Europe|climatezone=Temperate_Without_dry_season,human,-0.0411,0.028199999999999996,-0.0129,-2.55,TRUE,0.505,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,-0.025544554455445543
spatial_spd,48966,Europe,Temperate_Without_dry_season,analysis=spatial_spd|dataset_id=48966|region=Europe|climatezone=Temperate_Without_dry_season,climate,0.4899,0.028299999999999992,0.5182,102.61,TRUE,0.505,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,1.0261386138613862
spatial_spd,3565,North America,Cold_Without_dry_season_Warm_Summer,analysis=spatial_spd|dataset_id=3565|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.0334,-9.999999999999593e-5,0.0333,4.27,TRUE,0.78,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.042692307692307696
spatial_spd,3565,North America,Cold_Without_dry_season_Warm_Summer,analysis=spatial_spd|dataset_id=3565|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,climate,0.7474,-1.9999999999997797e-4,0.7472,95.79,TRUE,0.78,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.9579487179487178
spatial_spd,3032,North America,Cold_Without_dry_season_Warm_Summer,analysis=spatial_spd|dataset_id=3032|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.021,0.1454,0.1664,52.66,TRUE,0.316,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.5265822784810126
spatial_spd,3032,North America,Cold_Without_dry_season_Warm_Summer,analysis=spatial_spd|dataset_id=3032|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,climate,0.0039,0.1454,0.1493,47.25,TRUE,0.316,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.4724683544303797
spatial_spd,4383,Europe,Cold_Without_dry_season_Warm_Summer,analysis=spatial_spd|dataset_id=4383|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.1574,-0.026100000000000012,0.1313,142.72,TRUE,0.092,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,1.4271739130434782
spatial_spd,4383,Europe,Cold_Without_dry_season_Warm_Summer,analysis=spatial_spd|dataset_id=4383|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,climate,-0.013,-0.026100000000000005,-0.0391,-42.5,TRUE,0.092,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,-0.42500000000000004
spatial_spd,45377,Europe,Cold_Without_dry_season_Warm_Summer,analysis=spatial_spd|dataset_id=45377|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.0507,0.019200000000000002,0.0699,27.09,TRUE,0.258,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.27093023255813953
spatial_spd,45377,Europe,Cold_Without_dry_season_Warm_Summer,analysis=spatial_spd|dataset_id=45377|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,climate,0.1692,0.019200000000000023,0.1884,73.02,TRUE,0.258,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.7302325581395349
spatial_spd,236,North America,Cold_Without_dry_season_Warm_Summer,analysis=spatial_spd|dataset_id=236|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,-0.022,0.0337,0.0117,4.15,TRUE,0.282,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.041489361702127664
