analysis,region,climatezone,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,climatezone_label,climate,human,importance_balance
h2_spd,Asia,Arid,climate,zero_truncated,0.5843,0.6986,0.8363870598339537,1,ARD,NA,NA,NA
h2_spd,Asia,Arid,human,zero_truncated,0.1143,0.6986,0.16361294016604638,1,ARD,NA,NA,NA
h2_spd,Asia,Cold - Dry Summer,climate,zero_truncated,0.8835,1.0857999999999999,0.8136857616503961,1,CDS,NA,NA,NA
h2_spd,Asia,Cold - Dry Summer,human,zero_truncated,0.2023,1.0857999999999999,0.186314238349604,1,CDS,NA,NA,NA
h2_spd,Asia,Cold - Dry Winter,climate,zero_truncated,0.8045,1.0611,0.7581754782772595,1,CDW,NA,NA,NA
h2_spd,Asia,Cold - Dry Winter,human,zero_truncated,0.2566,1.0611,0.24182452172274058,1,CDW,NA,NA,NA
h2_spd,Asia,Cold - Cold Summer,climate,zero_truncated,0.5738,0.8378,0.6848889949868704,1,CCS,NA,NA,NA
h2_spd,Asia,Cold - Cold Summer,human,zero_truncated,0.264,0.8378,0.31511100501312966,1,CCS,NA,NA,NA
h2_spd,Asia,Cold - Warm Summer,climate,zero_truncated,0.4086,0.4188,0.9756446991404012,1,CWS,NA,NA,NA
h2_spd,Asia,Cold - Warm Summer,human,zero_truncated,0.0102,0.4188,0.024355300859598854,1,CWS,NA,NA,NA
h2_spd,Asia,Polar,climate,zero_truncated,0.6599,0.9466000000000001,0.6971265582083245,1,POL,NA,NA,NA
h2_spd,Asia,Polar,human,zero_truncated,0.2867,0.9466000000000001,0.30287344179167547,1,POL,NA,NA,NA
h2_spd,Asia,Temperate - Dry Summer,climate,zero_truncated,0.6126,0.9174,0.6677567037279268,1,TDS,NA,NA,NA
h2_spd,Asia,Temperate - Dry Summer,human,zero_truncated,0.3048,0.9174,0.3322432962720733,1,TDS,NA,NA,NA
h2_spd,Asia,Temperate - Dry Winter,climate,zero_truncated,0.603,0.8755999999999999,0.6886706258565556,1,TDW,NA,NA,NA
h2_spd,Asia,Temperate - Dry Winter,human,zero_truncated,0.2726,0.8755999999999999,0.3113293741434445,1,TDW,NA,NA,NA
h2_spd,Asia,Temperate,climate,zero_truncated,0.7753,0.8371,0.9261736948990563,1,TMP,NA,NA,NA
h2_spd,Asia,Temperate,human,zero_truncated,0.0618,0.8371,0.07382630510094373,1,TMP,NA,NA,NA
h2_spd,Europe,Arid,climate,zero_truncated,0.2408,0.3255,0.7397849462365591,1,ARD,NA,NA,NA
h2_spd,Europe,Arid,human,zero_truncated,0.0847,0.3255,0.26021505376344084,1,ARD,NA,NA,NA
