aggregation_level,profile,adjusted_balance,n_records,weight_sum,region,climatezone,ranking,selection_status
overall,signed,-0.28315865446258337,1098,483.554,All,All,climate,no_spatial_signal
region,signed,-0.36401346480067853,94,37.728,Asia,All,climate,no_spatial_signal
region,signed,-0.29175751947707385,366,165.836,Europe,All,climate,no_spatial_signal
region,signed,-0.33702578705900965,70,31.605,Latin America,All,climate,no_spatial_signal
region,signed,-0.25809641479910744,536,233.906,North America,All,climate,no_spatial_signal
region,signed,-0.2612818564818013,32,14.479,Oceania,All,climate,no_spatial_signal
region_climatezone,signed,-0.36497083603370056,18,6.172,Asia,Arid,climate,no_spatial_signal
region_climatezone,signed,-0.5931665649786455,4,1.639,Asia,Cold_Dry_Summer,climate,no_spatial_signal
region_climatezone,signed,-0.38602376825947016,21,8.078,Asia,Cold_Dry_Winter,climate,no_spatial_signal
region_climatezone,signed,-0.507334766254702,8,3.722,Asia,Cold_Without_dry_season_Cold_Summer,climate,no_spatial_signal
region_climatezone,signed,0.16045627376425856,1,0.263,Asia,Cold_Without_dry_season_Hot_Summer,human,no_spatial_signal
region_climatezone,signed,-0.41254848719937937,13,5.156,Asia,Cold_Without_dry_season_Warm_Summer,climate,no_spatial_signal
region_climatezone,signed,-0.3160415610745059,10,3.9459999999999997,Asia,Polar,climate,no_spatial_signal
region_climatezone,signed,-0.3458020050125313,4,1.596,Asia,Temperate_Dry_Summer,climate,no_spatial_signal
region_climatezone,signed,-0.04428571428571421,7,3.15,Asia,Temperate_Dry_Winter,climate,no_spatial_signal
region_climatezone,signed,-0.36912131802296544,8,4.006,Asia,Temperate_Without_dry_season,climate,no_spatial_signal
region_climatezone,signed,-0.5403057419835943,7,2.682,Europe,Arid,climate,no_spatial_signal
region_climatezone,signed,-0.5421245421245421,1,0.546,Europe,Cold_Dry_Summer,climate,no_spatial_signal
region_climatezone,signed,-0.31588854123038285,90,40.589,Europe,Cold_Without_dry_season_Cold_Summer,climate,no_spatial_signal
region_climatezone,signed,-0.3047590120693791,140,62.555,Europe,Cold_Without_dry_season_Warm_Summer,climate,no_spatial_signal
region_climatezone,signed,-0.2810317833098481,29,12.774000000000001,Europe,Polar,climate,no_spatial_signal
region_climatezone,signed,-0.34624492557510145,14,5.912,Europe,Temperate_Dry_Summer,climate,no_spatial_signal
region_climatezone,signed,-0.2235543675511306,85,40.778,Europe,Temperate_Without_dry_season,climate,no_spatial_signal
