analysis,dataset_id,region,climatezone,model_id,predictor,varpart_unique,unique,average_share,individual,individual_percent,predictor_present,shared,varpart_total,total_adjusted_r_squared,model_result_available,varpart_available,has_required_predictors,has_finite_total,has_positive_total,has_finite_individual,has_finite_varpart,has_negative_unique,has_negative_individual,is_importance_eligible,exclusion_reason,zero_truncated_individual,zero_truncated_total,zero_truncated_allocation,signed_allocation,climatezone_label
spatial_spd,46516,Europe,Cold - Warm Summer,analysis=spatial_spd|dataset_id=46516|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,human,-0.0211,-0.0211,0.0379,0.0168,6.15,TRUE,0.0758,0.2729,0.273,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.0168,0.2729,0.06156101135947233,0.06153846153846153,CWS
spatial_spd,26606,North America,Cold - Warm Summer,analysis=spatial_spd|dataset_id=26606|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.0649,0.0649,0.13740000000000002,0.2023,30.1,TRUE,0.2748,0.6716,0.672,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.2023,0.6717,0.30117612029179697,0.30104166666666665,CWS
spatial_spd,48966,Europe,Temperate,analysis=spatial_spd|dataset_id=48966|region=Europe|climatezone=Temperate_Without_dry_season,human,-0.0411,-0.0411,0.028199999999999996,-0.0129,-2.55,TRUE,0.0565,0.5053,0.505,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,0,0.5182,0,-0.025544554455445543,TMP
spatial_spd,3565,North America,Cold - Warm Summer,analysis=spatial_spd|dataset_id=3565|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.0334,0.0334,-9.999999999999593e-5,0.0333,4.27,TRUE,-3e-4,0.7804,0.78,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.0333,0.7805,0.04266495836002563,0.042692307692307696,CWS
spatial_spd,3032,North America,Cold - Warm Summer,analysis=spatial_spd|dataset_id=3032|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.021,0.021,0.1454,0.1664,52.66,TRUE,0.2908,0.3157,0.316,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.1664,0.3157,0.5270826734241368,0.5265822784810126,CWS
spatial_spd,4383,Europe,Cold - Warm Summer,analysis=spatial_spd|dataset_id=4383|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.1574,0.1574,-0.026100000000000012,0.1313,142.72,TRUE,-0.0522,0.0923,0.092,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,0.1313,0.1313,1,1.4271739130434782,CWS
spatial_spd,45377,Europe,Cold - Warm Summer,analysis=spatial_spd|dataset_id=45377|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.0507,0.0507,0.019200000000000002,0.0699,27.09,TRUE,0.0384,0.2583,0.258,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.0699,0.25830000000000003,0.2706155632984901,0.27093023255813953,CWS
spatial_spd,236,North America,Cold - Warm Summer,analysis=spatial_spd|dataset_id=236|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,-0.022,-0.022,0.0337,0.0117,4.15,TRUE,0.0674,0.2824,0.282,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.0117,0.2824,0.04143059490084986,0.041489361702127664,CWS
spatial_spd,4170,Europe,Cold - Warm Summer,analysis=spatial_spd|dataset_id=4170|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,human,-0.0026,-0.0026,-0.023100000000000002,-0.0257,-5.2,TRUE,-0.0462,0.49370000000000003,0.494,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,0,0.5193,0,-0.05202429149797571,CWS
spatial_spd,25372,Europe,Temperate,analysis=spatial_spd|dataset_id=25372|region=Europe|climatezone=Temperate_Without_dry_season,human,0.1091,0.1091,-0.0218,0.0873,18.69,TRUE,-0.0435,0.4666,0.467,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.0873,0.4666,0.18709815687955422,0.18693790149892933,TMP
