analysis,dataset_id,region,climatezone,model_id,predictor,unique,average_share,individual,individual_percent,predictor_present,total_adjusted_r_squared,model_result_available,has_required_predictors,has_finite_total,has_positive_total,has_finite_individual,has_negative_unique,has_negative_individual,is_importance_eligible,exclusion_reason,age
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=2000,climate,0.0855,-0.00860000000000001,0.0769,79.28,TRUE,0.097,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,2000
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=2000,human,0.0289,-0.0086,0.0203,20.93,TRUE,0.097,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,2000
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=2500,climate,0.0944,-0.005400000000000002,0.089,94.68,TRUE,0.094,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,2500
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=2500,human,0.0109,-0.0054,0.0055,5.85,TRUE,0.094,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,2500
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=3000,climate,0.091,-0.004900000000000002,0.0861,94.62,TRUE,0.091,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3000
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=3000,human,0.0098,-0.0049,0.0049,5.38,TRUE,0.091,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3000
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=3500,climate,0.0829,0.005299999999999999,0.0882,93.83,TRUE,0.094,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3500
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=3500,human,4e-4,0.0052,0.0056,5.96,TRUE,0.094,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,3500
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=4000,climate,0.0709,7.999999999999952e-4,0.0717,94.34,TRUE,0.076,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,4000
temporal_spd,NA,Asia,NA,analysis=temporal_spd|region=Asia|age=4000,human,0.0039,8.000000000000004e-4,0.0047,6.18,TRUE,0.076,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,4000
