analysis,aggregation_level,n_models,n_eligible,n_excluded,n_missing_result,n_missing_predictor,n_non_finite_total,n_non_positive_total,n_non_finite_individual,n_negative_unique,n_negative_individual,region,climatezone,age
h2_spd,analysis,31,31,0,0,0,0,0,0,1,0,NA,NA,NA
spatial_events,analysis,1262,257,1005,998,0,1,6,0,75,34,NA,NA,NA
spatial_spd,analysis,1262,1118,144,104,0,2,38,0,481,265,NA,NA,NA
temporal_events,analysis,85,76,9,9,0,0,0,0,13,10,NA,NA,NA
temporal_spd,analysis,85,84,1,0,0,0,1,0,17,9,NA,NA,NA
spatial_events,region_climatezone,32,9,23,22,0,0,1,0,4,1,Asia,Arid,NA
spatial_events,region_climatezone,8,3,5,5,0,0,0,0,0,0,Asia,Cold_Dry_Summer,NA
spatial_events,region_climatezone,35,5,30,30,0,0,0,0,0,0,Asia,Cold_Dry_Winter,NA
spatial_events,region_climatezone,34,3,31,31,0,0,0,0,2,0,Asia,Cold_Without_dry_season_Cold_Summer,NA
spatial_events,region_climatezone,2,1,1,1,0,0,0,0,0,0,Asia,Cold_Without_dry_season_Hot_Summer,NA
spatial_events,region_climatezone,3,0,3,3,0,0,0,0,0,0,Asia,Cold_Without_dry_season_Very_Cold_Summer,NA
spatial_events,region_climatezone,19,6,13,13,0,0,0,0,2,0,Asia,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,20,8,12,12,0,0,0,0,1,2,Asia,Polar,NA
spatial_events,region_climatezone,5,5,0,0,0,0,0,0,3,0,Asia,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,9,1,8,8,0,0,0,0,0,0,Asia,Temperate_Dry_Winter,NA
spatial_events,region_climatezone,9,4,5,5,0,0,0,0,1,0,Asia,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,1,0,1,1,0,0,0,0,0,0,Asia,Tropical,NA
spatial_events,region_climatezone,7,6,1,1,0,0,0,0,1,0,Europe,Arid,NA
spatial_events,region_climatezone,4,0,4,4,0,0,0,0,0,0,Europe,Cold_Dry_Summer,NA
spatial_events,region_climatezone,95,28,67,67,0,0,0,0,8,0,Europe,Cold_Without_dry_season_Cold_Summer,NA
spatial_events,region_climatezone,153,47,106,105,0,0,1,0,13,9,Europe,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,30,7,23,22,0,0,1,0,3,2,Europe,Polar,NA
spatial_events,region_climatezone,14,7,7,7,0,0,0,0,0,0,Europe,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,93,36,57,56,0,0,1,0,6,2,Europe,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,6,0,6,6,0,0,0,0,0,0,Latin America,Arid,NA
spatial_events,region_climatezone,2,1,1,1,0,0,0,0,1,0,Latin America,Cold_Dry_Summer,NA
