analysis,aggregation_level,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,signed_allocation,delta_from_signed,region,climatezone,age
h2_spd,analysis,climate,signed,20.627,26.166,0.7883130780402048,31,0.7883130780402048,0,NA,NA,NA
h2_spd,analysis,human,signed,5.5376,26.166,0.21163341741190858,31,0.21163341741190858,0,NA,NA,NA
spatial_events,analysis,climate,signed,64.3856,108.318,0.5944127476504366,257,0.5944127476504366,0,NA,NA,NA
spatial_events,analysis,human,signed,43.9321,108.318,0.40558448272678593,257,0.40558448272678593,0,NA,NA,NA
spatial_spd,analysis,climate,signed,313.6065,410.323,0.7642917896388942,1118,0.7642917896388942,0,NA,NA,NA
spatial_spd,analysis,human,signed,96.7157,410.323,0.23570626067756378,1118,0.23570626067756378,0,NA,NA,NA
temporal_events,analysis,climate,signed,7.6039,8.663,0.8777444303359113,76,0.8777444303359113,0,NA,NA,NA
temporal_events,analysis,human,signed,1.0604,8.663,0.12240563315248759,76,0.12240563315248759,0,NA,NA,NA
temporal_spd,analysis,climate,signed,8.4085,9.358,0.8985360119683693,84,0.8985360119683693,0,NA,NA,NA
temporal_spd,analysis,human,signed,0.9523,9.358,0.10176319726437273,84,0.10176319726437273,0,NA,NA,NA
h2_spd,analysis,climate,zero_truncated,20.627,26.1646,0.7883552586318919,31,0.7883130780402048,4.2180591687146496e-5,NA,NA,NA
h2_spd,analysis,human,zero_truncated,5.5376,26.1646,0.21164474136810807,31,0.21163341741190858,1.1323956199488228e-5,NA,NA,NA
spatial_events,analysis,climate,zero_truncated,64.8272,109.3549,0.5928147709887714,257,0.5944127476504366,-0.001597976661665168,NA,NA,NA
spatial_events,analysis,human,zero_truncated,44.5277,109.3549,0.4071852290112286,257,0.40558448272678593,0.0016007462844426779,NA,NA,NA
spatial_spd,analysis,climate,zero_truncated,314.7576,416.2161,0.7562360033645984,1118,0.7642917896388942,-0.008055786274295818,NA,NA,NA
spatial_spd,analysis,human,zero_truncated,101.4585,416.2161,0.24376399663540166,1118,0.23570626067756378,0.008057735957837875,NA,NA,NA
temporal_events,analysis,climate,zero_truncated,7.6039,8.7351,0.870499479113004,76,0.8777444303359113,-0.007244951222907359,NA,NA,NA
temporal_events,analysis,human,zero_truncated,1.1312,8.7351,0.12950052088699615,76,0.12240563315248759,0.007094887734508559,NA,NA,NA
temporal_spd,analysis,climate,zero_truncated,8.4085,9.3996,0.8945593429507639,84,0.8985360119683693,-0.003976669017605405,NA,NA,NA
temporal_spd,analysis,human,zero_truncated,0.9911,9.3996,0.10544065704923614,84,0.10176319726437273,0.0036774597848634044,NA,NA,NA
h2_spd,analysis,climate,exclude_negative,20.627,26.166,0.7883130780402048,31,0.7883130780402048,0,NA,NA,NA
h2_spd,analysis,human,exclude_negative,5.5376,26.166,0.21163341741190858,31,0.21163341741190858,0,NA,NA,NA
spatial_events,analysis,climate,exclude_negative,59.7355,101.618,0.587843689110197,229,0.5944127476504366,-0.006569058540239592,NA,NA,NA
spatial_events,analysis,human,exclude_negative,41.8819,101.618,0.41215040642405876,229,0.40558448272678593,0.006565923697272824,NA,NA,NA
spatial_spd,analysis,climate,exclude_negative,253.2488,349.973,0.7236238224091572,891,0.7642917896388942,-0.04066796722973698,NA,NA,NA
spatial_spd,analysis,human,exclude_negative,96.7189,349.973,0.2763610335654465,891,0.23570626067756378,0.04065477288788272,NA,NA,NA
temporal_events,analysis,climate,exclude_negative,6.3938,7.523,0.8499003057290975,66,0.8777444303359113,-0.027844124606813847,NA,NA,NA
temporal_events,analysis,human,exclude_negative,1.1312,7.523,0.1503655456599761,66,0.12240563315248759,0.0279599125074885,NA,NA,NA
temporal_spd,analysis,climate,exclude_negative,7.6886,8.677,0.8860896623256886,76,0.8985360119683693,-0.012446349642680654,NA,NA,NA
temporal_spd,analysis,human,exclude_negative,0.9911,8.677,0.11422150512850064,76,0.10176319726437273,0.01245830786412791,NA,NA,NA
spatial_events,region_climatezone,climate,signed,2.0272,3.575,0.567048951048951,9,0.567048951048951,0,Asia,Arid,NA
spatial_events,region_climatezone,human,signed,1.5476,3.575,0.4328951048951049,9,0.4328951048951049,0,Asia,Arid,NA
spatial_events,region_climatezone,climate,signed,1.0138,1.718,0.590104772991851,3,0.590104772991851,0,Asia,Cold_Dry_Summer,NA
spatial_events,region_climatezone,human,signed,0.704,1.718,0.409778812572759,3,0.409778812572759,0,Asia,Cold_Dry_Summer,NA
spatial_events,region_climatezone,climate,signed,1.2907,2.245,0.5749220489977728,5,0.5749220489977728,0,Asia,Cold_Dry_Winter,NA
spatial_events,region_climatezone,human,signed,0.9549,2.245,0.42534521158129174,5,0.42534521158129174,0,Asia,Cold_Dry_Winter,NA
spatial_events,region_climatezone,climate,signed,0.9988,1.33,0.7509774436090225,3,0.7509774436090225,0,Asia,Cold_Without_dry_season_Cold_Summer,NA
spatial_events,region_climatezone,human,signed,0.3317,1.33,0.24939849624060148,3,0.24939849624060148,0,Asia,Cold_Without_dry_season_Cold_Summer,NA
spatial_events,region_climatezone,climate,signed,0.1914,0.282,0.6787234042553192,1,0.6787234042553192,0,Asia,Cold_Without_dry_season_Hot_Summer,NA
spatial_events,region_climatezone,human,signed,0.0902,0.282,0.3198581560283688,1,0.3198581560283688,0,Asia,Cold_Without_dry_season_Hot_Summer,NA
spatial_events,region_climatezone,climate,signed,1.6006,2.305,0.6944034707158351,6,0.6944034707158351,0,Asia,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,human,signed,0.7055,2.305,0.3060737527114967,6,0.3060737527114967,0,Asia,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,climate,signed,1.9761,2.946,0.6707739307535641,8,0.6707739307535641,0,Asia,Polar,NA
spatial_events,region_climatezone,human,signed,0.9697,2.946,0.3291581805838425,8,0.3291581805838425,0,Asia,Polar,NA
spatial_events,region_climatezone,climate,signed,1.2847,2.425,0.5297731958762887,5,0.5297731958762887,0,Asia,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,human,signed,1.1387,2.425,0.4695670103092784,5,0.4695670103092784,0,Asia,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,climate,signed,0.6031,0.731,0.8250341997264021,1,0.8250341997264021,0,Asia,Temperate_Dry_Winter,NA
