analysis,region,age,n_models,n_available,n_accounting_valid,total_adjusted_r_squared_sum,total_adjusted_r_squared_mean,unique_human_sum,unique_human_mean,unique_climate_sum,unique_climate_mean,shared_sum,shared_mean,unexplained_sum,unexplained_mean,bounded_total_adjusted_r_squared_sum,bounded_total_adjusted_r_squared_mean,bounded_unique_human_sum,bounded_unique_human_mean,bounded_unique_climate_sum,bounded_unique_climate_mean,bounded_shared_sum,bounded_shared_mean,bounded_unexplained_sum,bounded_unexplained_mean
temporal_events,Asia,500,1,1,1,0.136,0.136,0.0419,0.0419,0.0491,0.0491,0.0454,0.0454,0.864,0.864,0.136,0.136,0.04177712609970675,0.04177712609970675,0.04895601173020528,0.04895601173020528,0.04526686217008798,0.04526686217008798,0.864,0.864
temporal_events,Asia,1000,1,1,1,0.094,0.094,0.0346,0.0346,0.0267,0.0267,0.0325,0.0325,0.906,0.906,0.094,0.094,0.03467377398720683,0.03467377398720683,0.02675692963752666,0.02675692963752666,0.03256929637526653,0.03256929637526653,0.906,0.906
temporal_events,Asia,1500,1,1,1,0.129,0.129,0.0515,0.0515,0.0259,0.0259,0.0517,0.0517,0.871,0.871,0.129,0.129,0.05146010844306739,0.05146010844306739,0.025879938032532922,0.025879938032532922,0.0516599535243997,0.0516599535243997,0.871,0.871
temporal_events,Asia,2000,1,1,1,0.111,0.111,0.0423,0.0423,0.0383,0.0383,0.03,0.03,0.889,0.889,0.111,0.111,0.042452983725135625,0.042452983725135625,0.03843851717902351,0.03843851717902351,0.03010849909584087,0.03010849909584087,0.889,0.889
temporal_events,Asia,2500,1,1,1,0.107,0.107,0.0235,0.0235,0.0474,0.0474,0.0362,0.0362,0.893,0.893,0.107,0.107,0.023478057889822594,0.023478057889822594,0.04735574229691877,0.04735574229691877,0.03616619981325864,0.03616619981325864,0.893,0.893
temporal_events,Asia,3000,1,1,1,0.113,0.113,0.0324,0.0324,0.0571,0.0571,0.024,0.024,0.887,0.887,0.113,0.113,0.03225726872246696,0.03225726872246696,0.056848458149779735,0.056848458149779735,0.023894273127753305,0.023894273127753305,0.887,0.887
temporal_events,Asia,3500,1,1,1,0.1,0.1,0.0063,0.0063,0.0853,0.0853,0.0081,0.0081,0.9,0.9,0.1,0.1,0.006318956870611836,0.006318956870611836,0.08555667001003009,0.08555667001003009,0.008124373119358074,0.008124373119358074,0.9,0.9
temporal_events,Asia,4000,1,1,1,0.096,0.096,0.023,0.023,0.0632,0.0632,0.0093,0.0093,0.904,0.904,0.096,0.096,0.023120418848167536,0.023120418848167536,0.06353089005235603,0.06353089005235603,0.009348691099476438,0.009348691099476438,0.904,0.904
temporal_events,Asia,4500,1,1,1,0.093,0.093,0.0117,0.0117,0.071,0.071,0.0106,0.0106,0.907,0.907,0.093,0.093,0.011662379421221865,0.011662379421221865,0.0707717041800643,0.0707717041800643,0.010565916398713827,0.010565916398713827,0.907,0.907
temporal_events,Asia,5000,1,1,1,0.098,0.098,0.0168,0.0168,0.0708,0.0708,0.0101,0.0101,0.902,0.902,0.098,0.098,0.016851586489252817,0.016851586489252817,0.0710174002047083,0.0710174002047083,0.010131013306038895,0.010131013306038895,0.902,0.902
