artifact_id,description,analysis_profile,source_pipeline,public_target,path,file_exists,file_hash,file_modified,validation_status
spd__spd__radius_comparison__availability_by_geography,Source table spd__radius_comparison__availability_by_geography.csv,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,files_spd_radius_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/Data_preparation/SPD/spd__radius_comparison__availability_by_geography.csv,TRUE,4cf8700be2ed08ed1611830c7c0c2073,2026-08-28 01:44:06.97686,available
spd__spd__radius_comparison__source_provenance,Source table spd__radius_comparison__source_provenance.csv,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,files_spd_radius_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/Data_preparation/SPD/spd__radius_comparison__source_provenance.csv,TRUE,ee0a4a0801b94965b70b2551c59fb3f7,2026-08-28 01:44:06.98818,available
spd__spd__radius_comparison__dataset_all_available,Source table spd__radius_comparison__dataset_all_available.csv,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,files_spd_radius_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Spatial/SPD/spd__radius_comparison__dataset_all_available.csv,TRUE,da38cc58e0b14f8bf526b65f5e66861c,2026-08-28 01:44:07.229464,available
spd__spd__radius_comparison__dataset_paired,Source table spd__radius_comparison__dataset_paired.csv,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,files_spd_radius_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Spatial/SPD/spd__radius_comparison__dataset_paired.csv,TRUE,b9db864a448837fbff20e3a3be3c0046,2026-08-28 01:44:07.339748,available
spd__spd__radius_comparison__geographic_summary,Source table spd__radius_comparison__geographic_summary.csv,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,files_spd_radius_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Spatial/SPD/spd__radius_comparison__geographic_summary.csv,TRUE,cca13c869ed5e68d712d6e1142a6be0f,2026-08-28 01:44:07.355835,available
hvarpart__spd__radius_comparison__region_age_all_available,Source table spd__radius_comparison__region_age_all_available.csv,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,files_spd_radius_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Temporal/HVarPart/spd__radius_comparison__region_age_all_available.csv,TRUE,726ef90739d29063fd45259f12a8d908,2026-08-28 01:44:07.403433,available
hvarpart__spd__radius_comparison__region_age_paired,Source table spd__radius_comparison__region_age_paired.csv,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,files_spd_radius_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Temporal/HVarPart/spd__radius_comparison__region_age_paired.csv,TRUE,c7e24cb821b2dc0eb3fd35c77231c01a,2026-08-28 01:44:07.403433,available
hvarpart__spd__radius_comparison__region_age_summary,Source table spd__radius_comparison__region_age_summary.csv,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,files_spd_radius_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Temporal/HVarPart/spd__radius_comparison__region_age_summary.csv,TRUE,9afb46605ee5fb94e4c5171a552b733b,2026-08-28 01:44:07.419098,available
spd__spd__radius_comparison__ranking_status_changes,Source table spd__radius_comparison__ranking_status_changes.csv,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,files_spd_radius_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Spatial/SPD/spd__radius_comparison__ranking_status_changes.csv,TRUE,ac184b8a84f0e2b23b35c2e8469664ea,2026-08-28 01:44:07.434578,available
spd__spd__radius_comparison__h1_provenance,Source table spd__radius_comparison__h1_provenance.csv,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,files_spd_radius_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Spatial/SPD/spd__radius_comparison__h1_provenance.csv,TRUE,9b7db404cb89938b08a7a9bacda7156c,2026-08-28 01:44:07.434578,available
spd__spd__radius_comparison__summary_reconciliation,Source table spd__radius_comparison__summary_reconciliation.csv,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,files_spd_radius_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Spatial/SPD/spd__radius_comparison__summary_reconciliation.csv,TRUE,3c585d7328a2369f26714357b45190a3,2026-08-28 01:44:07.452469,available
