aggregation_level,profile,adjusted_balance,n_records,weight_sum,region,climatezone,ranking,selection_status
overall,signed,-0.5267994489236881,1118,410.323,All,All,climate,selected
region,signed,-0.713950784731641,98,36.127,Asia,All,climate,selected
region,signed,-0.5862087923480463,381,132.286,Europe,All,climate,selected
region,signed,-0.576187222412026,71,26.343,Latin America,All,climate,selected
region,signed,-0.4581639019572308,533,201.551,North America,All,climate,selected
region,signed,-0.37784827145969,35,14.016,Oceania,All,climate,selected
region_climatezone,signed,-0.5800100033344446,19,5.998,Asia,Arid,climate,selected
region_climatezone,signed,-1.126734842951059,4,1.369,Asia,Cold_Dry_Summer,climate,selected
region_climatezone,signed,-0.7646891607959461,21,8.091,Asia,Cold_Dry_Winter,climate,selected
region_climatezone,signed,-0.8277339642481597,9,3.8040000000000003,Asia,Cold_Without_dry_season_Cold_Summer,climate,selected
region_climatezone,signed,0.009259259259259207,1,0.216,Asia,Cold_Without_dry_season_Hot_Summer,human,selected
region_climatezone,signed,-0.7877854846895619,16,5.911,Asia,Cold_Without_dry_season_Warm_Summer,climate,selected
region_climatezone,signed,-0.6596424384525205,10,3.412,Asia,Polar,climate,selected
region_climatezone,signed,-1.0125202374527793,5,1.853,Asia,Temperate_Dry_Summer,climate,selected
region_climatezone,signed,0.007591504744690536,6,2.213,Asia,Temperate_Dry_Winter,human,selected
region_climatezone,signed,-0.8193251533742331,7,3.2600000000000002,Asia,Temperate_Without_dry_season,climate,selected
region_climatezone,signed,-1.0834185281595787,7,2.367,Europe,Arid,climate,selected
region_climatezone,signed,-0.6037313824138522,3,1.552,Europe,Cold_Dry_Summer,climate,selected
region_climatezone,signed,-0.6083082043554732,92,32.201,Europe,Cold_Without_dry_season_Cold_Summer,climate,selected
region_climatezone,signed,-0.695236443674989,144,46.689,Europe,Cold_Without_dry_season_Warm_Summer,climate,selected
region_climatezone,signed,-0.6686955204985735,30,10.23,Europe,Polar,climate,selected
region_climatezone,signed,-0.5466769067768897,14,4.423,Europe,Temperate_Dry_Summer,climate,selected
region_climatezone,signed,-0.36581207220097894,91,34.824,Europe,Temperate_Without_dry_season,climate,selected
region_climatezone,signed,-0.47126995142262323,5,1.441,Latin America,Arid,climate,selected
region_climatezone,signed,-0.8982222222222219,2,0.675,Latin America,Cold_Dry_Summer,climate,selected
region_climatezone,signed,-0.6357290420789389,22,9.197,Latin America,Polar,climate,selected
