analysis,region,age,spatial_group,n_records,n_unique_locations,n_colocated_records,n_positive_mem,threshold_km,warning_message,status
temporal_spd,Europe,2000,all,389,365,46,82,411.41119655714897,Non euclidean distance,eligible
temporal_spd,Europe,2500,all,392,368,46,83,411.41119655714897,Non euclidean distance,eligible
temporal_spd,Europe,3000,all,387,362,48,81,412.1709840477786,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Europe,3500,all,382,357,48,80,411.41119655714897,Non euclidean distance,eligible
temporal_spd,Europe,4000,all,387,363,46,81,411.41119655714897,Non euclidean distance,eligible
temporal_spd,Europe,4500,all,388,364,46,81,411.41119655714897,Non euclidean distance,eligible
temporal_spd,Europe,5000,all,382,357,48,80,411.41119655714897,Non euclidean distance,eligible
temporal_spd,Europe,5500,all,385,360,48,82,411.41119655714897,Non euclidean distance,eligible
temporal_spd,Europe,6000,all,387,362,48,81,411.41119655714897,Non euclidean distance,eligible
temporal_spd,Europe,6500,all,380,357,44,80,411.41119655714897,Non euclidean distance,eligible
temporal_spd,Europe,7000,all,388,366,42,83,411.41119655714897,Non euclidean distance,eligible
temporal_spd,Europe,7500,all,383,358,48,80,411.41119655714897,Non euclidean distance,eligible
temporal_spd,Europe,8000,all,376,352,46,78,411.41119655714897,Non euclidean distance,eligible
temporal_spd,Europe,8500,all,359,340,38,75,411.41119655714897,Non euclidean distance,eligible
temporal_spd,North America,2000,all,540,535,10,133,1102.3683550552284,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,North America,2500,all,534,529,10,132,1102.3683550552284,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,North America,3000,all,533,528,10,130,1102.3683550552284,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,North America,3500,all,537,532,10,132,1102.3683550552284,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,North America,4000,all,545,540,10,135,1102.3683550552284,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,North America,4500,all,541,537,8,133,1102.3683550552284,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,North America,5000,all,539,535,8,132,1102.3683550552284,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,North America,5500,all,544,539,10,135,1102.3683550552284,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,North America,6000,all,535,531,8,133,1102.3683550552284,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,North America,6500,all,543,538,10,135,1102.3683550552284,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,North America,7000,all,540,535,10,134,1102.3683550552284,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,North America,7500,all,542,538,8,136,1102.3683550552284,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,North America,8000,all,532,527,10,131,1102.3683550552284,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,North America,8500,all,523,518,10,129,1102.3683550552284,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Latin America,2000,all,87,81,11,11,1998.094756296175,Non euclidean distance,eligible
temporal_spd,Latin America,2500,all,87,81,11,11,1998.094756296175,Non euclidean distance,eligible
temporal_spd,Latin America,3000,all,86,80,11,11,1998.094756296175,Non euclidean distance,eligible
temporal_spd,Latin America,4000,all,85,79,11,11,1998.094756296175,Non euclidean distance,eligible
temporal_spd,Latin America,4500,all,87,81,11,11,1998.094756296175,Non euclidean distance,eligible
temporal_spd,Latin America,5000,all,84,78,11,11,1998.094756296175,Non euclidean distance,eligible
temporal_spd,Latin America,5500,all,86,80,11,11,1998.094756296175,Non euclidean distance,eligible
temporal_spd,Latin America,6000,all,82,76,11,11,1998.094756296175,Non euclidean distance,eligible
temporal_spd,Latin America,6500,all,82,76,11,11,1998.094756296175,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Latin America,7000,all,81,75,11,11,1998.094756296175,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Latin America,7500,all,81,76,9,10,1998.094756296175,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Latin America,8000,all,74,69,9,9,2088.890382773922,Non euclidean distance,eligible
temporal_spd,Latin America,8500,all,71,68,6,10,1998.094756296175,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Latin America,3500,all,84,79,9,13,2098.9631171848405,Non euclidean distance,eligible
temporal_spd,Oceania,2000,all,46,46,0,5,3842.7040250381247,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Oceania,2500,all,45,44,2,5,3842.7040250381247,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Oceania,3000,all,47,46,2,5,3842.7040250381247,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Oceania,3500,all,46,45,2,5,3842.7040250381247,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Oceania,4000,all,47,46,2,5,3842.7040250381247,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Oceania,4500,all,47,46,2,5,3842.7040250381247,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Oceania,5000,all,47,46,2,5,3842.7040250381247,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Oceania,5500,all,46,45,2,5,3842.7040250381247,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Oceania,6000,all,45,44,2,5,3842.7040250381247,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Oceania,7000,all,42,41,2,5,3842.7040250381247,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Oceania,7500,all,42,41,2,5,3842.7040250381247,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Asia,2000,all,174,171,5,42,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Asia,2500,all,171,168,5,40,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Asia,3000,all,174,171,5,41,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Asia,3500,all,172,170,4,40,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Asia,4000,all,174,171,5,41,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Asia,4500,all,171,168,5,40,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Asia,5000,all,174,171,5,40,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_spd,Asia,5500,all,173,170,5,41,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
