dataset_id,model_id,total_adjusted_r_squared,human,climate,signed_weight,signed_balance,zero_human,zero_climate,zero_weight,zero_balance,signed_ranking,zero_ranking,long,lat,region,climatezone
46516,analysis=spatial_spd_sensitivity|dataset_id=46516|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.273,0.0168,0.2561,0.273,-0.8765567765567764,0.0168,0.2561,0.2729,-0.8768779772810553,climate,climate,28.61129,59.61457,Europe,Cold_Without_dry_season_Warm_Summer
26606,analysis=spatial_spd_sensitivity|dataset_id=26606|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.672,0.2023,0.4694,0.672,-0.39747023809523807,0.2023,0.4694,0.6717,-0.3976477594164062,climate,climate,-93.72746,49.65882,North America,Cold_Without_dry_season_Warm_Summer
48966,analysis=spatial_spd_sensitivity|dataset_id=48966|region=Europe|climatezone=Temperate_Without_dry_season,0.505,-0.0129,0.5182,0.505,-1.0516831683168317,0,0.5182,0.5182,-1,climate,climate,5.75969,52.24479,Europe,Temperate_Without_dry_season
3565,analysis=spatial_spd_sensitivity|dataset_id=3565|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.78,0.0333,0.7472,0.78,-0.9152564102564102,0.0333,0.7472,0.7805,-0.9146700832799488,climate,climate,-71.80778,46.89194,North America,Cold_Without_dry_season_Warm_Summer
3032,analysis=spatial_spd_sensitivity|dataset_id=3032|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.316,0.1664,0.1493,0.316,0.05411392405063292,0.1664,0.1493,0.3157,0.05416534684827369,human,human,-85.66111,46.42917,North America,Cold_Without_dry_season_Warm_Summer
4383,analysis=spatial_spd_sensitivity|dataset_id=4383|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.092,0.1313,-0.0391,0.092,1.8521739130434782,0.1313,0,0.1313,1,human,human,8.32556,47.07556,Europe,Cold_Without_dry_season_Warm_Summer
45377,analysis=spatial_spd_sensitivity|dataset_id=45377|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.258,0.0699,0.1884,0.258,-0.4593023255813954,0.0699,0.1884,0.25830000000000003,-0.45876887340301975,climate,climate,24.1,59.075,Europe,Cold_Without_dry_season_Warm_Summer
236,analysis=spatial_spd_sensitivity|dataset_id=236|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.282,0.0117,0.2707,0.282,-0.9184397163120569,0.0117,0.2707,0.2824,-0.9171388101983003,climate,climate,-79.78,47.23,North America,Cold_Without_dry_season_Warm_Summer
4170,analysis=spatial_spd_sensitivity|dataset_id=4170|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.494,-0.0257,0.5193,0.494,-1.103238866396761,0,0.5193,0.5193,-1,climate,climate,24.33333,41.98333,Europe,Cold_Without_dry_season_Warm_Summer
25372,analysis=spatial_spd_sensitivity|dataset_id=25372|region=Europe|climatezone=Temperate_Without_dry_season,0.467,0.0873,0.3793,0.467,-0.6252676659528908,0.0873,0.3793,0.4666,-0.6258036862408917,climate,climate,4.07917,47.26194,Europe,Temperate_Without_dry_season
2642,analysis=spatial_spd_sensitivity|dataset_id=2642|region=North America|climatezone=Cold_Dry_Summer,0.773,0.0692,0.7038,0.773,-0.8209573091849934,0.0692,0.7038,0.773,-0.8209573091849934,climate,climate,-143.15,66.58333,North America,Cold_Dry_Summer
46544,analysis=spatial_spd_sensitivity|dataset_id=46544|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.398,0.0208,0.3772,0.398,-0.8954773869346733,0.0208,0.3772,0.39799999999999996,-0.8954773869346734,climate,climate,25.77353,58.48888,Europe,Cold_Without_dry_season_Warm_Summer
982,analysis=spatial_spd_sensitivity|dataset_id=982|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.439,0.0685,0.3709,0.439,-0.6888382687927107,0.0685,0.3709,0.4394,-0.6882111970869367,climate,climate,-85.11667,44.88333,North America,Cold_Without_dry_season_Warm_Summer
26448,analysis=spatial_spd_sensitivity|dataset_id=26448|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,0.381,0.1251,0.2557,0.381,-0.3427821522309711,0.1251,0.2557,0.38079999999999997,-0.3429621848739496,climate,climate,10.47833,46.87,Europe,Cold_Without_dry_season_Cold_Summer
4042,analysis=spatial_spd_sensitivity|dataset_id=4042|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.629,0.398,0.2309,0.629,0.2656597774244833,0.398,0.2309,0.6289,0.2657020193989506,human,human,13.67319,58.55679,Europe,Cold_Without_dry_season_Warm_Summer
3487,analysis=spatial_spd_sensitivity|dataset_id=3487|region=North America|climatezone=Cold_Without_dry_season_Hot_Summer,0.274,-0.0415,0.316,0.274,-1.304744525547445,0,0.316,0.316,-1,climate,climate,-97.36301,44.97734,North America,Cold_Without_dry_season_Hot_Summer
21675,analysis=spatial_spd_sensitivity|dataset_id=21675|region=Latin America|climatezone=Tropical,0.576,0.3325,0.2432,0.576,0.15503472222222225,0.3325,0.2432,0.5757,0.15511551155115516,human,human,-76.5333,3.0833,Latin America,Tropical
26499,analysis=spatial_spd_sensitivity|dataset_id=26499|region=Europe|climatezone=Polar,0.344,0.2138,0.1303,0.344,0.24273255813953487,0.2138,0.1303,0.34409999999999996,0.24266201685556524,human,human,11.01283,46.84566,Europe,Polar
24840,analysis=spatial_spd_sensitivity|dataset_id=24840|region=Europe|climatezone=Temperate_Without_dry_season,0.414,0.3345,0.0798,0.414,0.6152173913043479,0.3345,0.0798,0.4143,0.6147719044170892,human,human,-1.59583,47.27222,Europe,Temperate_Without_dry_season
2395,analysis=spatial_spd_sensitivity|dataset_id=2395|region=Latin America|climatezone=Tropical,0.219,0.1649,0.0541,0.219,0.5059360730593606,0.1649,0.0541,0.219,0.5059360730593606,human,human,-90.13333,20.86667,Latin America,Tropical
45347,analysis=spatial_spd_sensitivity|dataset_id=45347|region=Europe|climatezone=Polar,0.528,0.0551,0.4731,0.528,-0.7916666666666667,0.0551,0.4731,0.5282,-0.7913669064748202,climate,climate,9.83333,62.26667,Europe,Polar
15922,analysis=spatial_spd_sensitivity|dataset_id=15922|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.551,0.1895,0.3615,0.551,-0.31215970961887474,0.1895,0.3615,0.5509999999999999,-0.3121597096188748,climate,climate,-89.2827,46.2334,North America,Cold_Without_dry_season_Warm_Summer
1010,analysis=spatial_spd_sensitivity|dataset_id=1010|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,0.347,0.1575,0.1898,0.347,-0.0930835734870317,0.1575,0.1898,0.3473,-0.0930031672905269,climate,climate,-53.13333,47.32222,North America,Cold_Without_dry_season_Cold_Summer
4542,analysis=spatial_spd_sensitivity|dataset_id=4542|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,0.512,0.006,0.5059,0.512,-0.9763671875,0.006,0.5059,0.5119,-0.9765579214690369,climate,climate,32.63333,65.11667,Europe,Cold_Without_dry_season_Cold_Summer
14944,analysis=spatial_spd_sensitivity|dataset_id=14944|region=North America|climatezone=Cold_Dry_Summer,0.606,0.4678,0.1379,0.606,0.5443894389438944,0.4678,0.1379,0.6057,0.544659072147928,human,human,-112.23885,36.63046,North America,Cold_Dry_Summer
17402,analysis=spatial_spd_sensitivity|dataset_id=17402|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,0.247,0.0882,0.1592,0.247,-0.28744939271255066,0.0882,0.1592,0.2474,-0.2869846402586904,climate,climate,-159.77674,60.21151,North America,Cold_Without_dry_season_Cold_Summer
234,analysis=spatial_spd_sensitivity|dataset_id=234|region=North America|climatezone=Cold_Dry_Summer,0.426,0.0642,0.3622,0.426,-0.699530516431925,0.0642,0.3622,0.4264,-0.6988742964352721,climate,climate,-119.00833,37.59583,North America,Cold_Dry_Summer
16081,analysis=spatial_spd_sensitivity|dataset_id=16081|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.295,-0.022,0.3173,0.295,-1.150169491525424,0,0.3173,0.3173,-1,climate,climate,-62.61486,45.66757,North America,Cold_Without_dry_season_Warm_Summer
41421,analysis=spatial_spd_sensitivity|dataset_id=41421|region=Europe|climatezone=Temperate_Without_dry_season,0.372,0.016,0.3562,0.372,-0.9145161290322581,0.016,0.3562,0.37220000000000003,-0.9140247178936055,climate,climate,0.67528,50.90583,Europe,Temperate_Without_dry_season
1451,analysis=spatial_spd_sensitivity|dataset_id=1451|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.358,0.0955,0.2624,0.358,-0.46620111731843583,0.0955,0.2624,0.3579,-0.466331377479743,climate,climate,-71.56694,48.36583,North America,Cold_Without_dry_season_Warm_Summer
785,analysis=spatial_spd_sensitivity|dataset_id=785|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.631,0.2131,0.4178,0.631,-0.32440570522979395,0.2131,0.4178,0.6309,-0.32445712474243144,climate,climate,-80.25,44.37,North America,Cold_Without_dry_season_Warm_Summer
