value,distance_km,n_records,n_connected,n_edges,moran_i,expected_i,p_greater,positive_autocorrelation,permutations,status,spatial_scope,spatial_group,stage,profile
signed_balance,250,1098,1038,7909,7.130545240209486e-4,-9.115770282588879e-4,0.255,FALSE,999,estimated,global,All,unfiltered,signed
signed_residual,250,1098,1038,7909,-0.0011503106553524994,-9.115770282588879e-4,0.566,FALSE,999,estimated,global,All,residual,signed
zero_balance,250,1098,1038,7909,0.108353080788094,-9.115770282588879e-4,0.001,TRUE,999,estimated,global,All,unfiltered,zero_truncated
zero_residual,250,1098,1038,7909,0.09217598702673624,-9.115770282588879e-4,0.001,TRUE,999,estimated,global,All,residual,zero_truncated
signed_balance,500,1098,1085,20508,0.0066198728062535905,-9.115770282588879e-4,0.012,TRUE,999,estimated,global,All,unfiltered,signed
signed_residual,500,1098,1085,20508,0.005482423363172421,-9.115770282588879e-4,0.025,TRUE,999,estimated,global,All,residual,signed
zero_balance,500,1098,1085,20508,0.06793659352510283,-9.115770282588879e-4,0.001,TRUE,999,estimated,global,All,unfiltered,zero_truncated
zero_residual,500,1098,1085,20508,0.04611203909722046,-9.115770282588879e-4,0.001,TRUE,999,estimated,global,All,residual,zero_truncated
signed_balance,411.41119655714897,366,366,7839,-0.008790592182016633,-0.0027397260273972603,0.83,FALSE,999,estimated,dbmem_connectivity,Europe,unfiltered,signed
signed_residual,411.41119655714897,366,366,7839,-0.008640441693151906,-0.0027397260273972603,0.818,FALSE,999,estimated,dbmem_connectivity,Europe,residual,signed
zero_balance,411.41119655714897,366,366,7839,0.019582526020250488,-0.0027397260273972603,0.024,TRUE,999,estimated,dbmem_connectivity,Europe,unfiltered,zero_truncated
zero_residual,411.41119655714897,366,366,7839,0.012882917922018651,-0.0027397260273972603,0.066,FALSE,999,estimated,dbmem_connectivity,Europe,residual,zero_truncated
signed_balance,890.1172404285654,536,536,22722,0.004187520918588338,-0.001869158878504673,0.006,TRUE,999,estimated,dbmem_connectivity,North America,unfiltered,signed
signed_residual,890.1172404285654,536,536,22722,0.00340169027006479,-0.001869158878504673,0.013,TRUE,999,estimated,dbmem_connectivity,North America,residual,signed
zero_balance,890.1172404285654,536,536,22722,0.049090017550663965,-0.001869158878504673,0.001,TRUE,999,estimated,dbmem_connectivity,North America,unfiltered,zero_truncated
zero_residual,890.1172404285654,536,536,22722,0.04321203691698149,-0.001869158878504673,0.001,TRUE,999,estimated,dbmem_connectivity,North America,residual,zero_truncated
signed_balance,1757.9132308461055,70,70,731,-0.008650096574466803,-0.014492753623188406,0.325,FALSE,999,estimated,dbmem_connectivity,Latin America,unfiltered,signed
signed_residual,1757.9132308461055,70,70,731,-0.004486169823476501,-0.014492753623188406,0.3,FALSE,999,estimated,dbmem_connectivity,Latin America,residual,signed
zero_balance,1757.9132308461055,70,70,731,-0.006145614692835213,-0.014492753623188406,0.297,FALSE,999,estimated,dbmem_connectivity,Latin America,unfiltered,zero_truncated
zero_residual,1757.9132308461055,70,70,731,-0.02950721999373456,-0.014492753623188406,0.67,FALSE,999,estimated,dbmem_connectivity,Latin America,residual,zero_truncated
signed_balance,1599.3272958494965,94,94,987,-0.03926906924631819,-0.010752688172043012,0.939,FALSE,999,estimated,dbmem_connectivity,Asia,unfiltered,signed
signed_residual,1599.3272958494965,94,94,987,-0.019372781752447353,-0.010752688172043012,0.654,FALSE,999,estimated,dbmem_connectivity,Asia,residual,signed
zero_balance,1599.3272958494965,94,94,987,0.0320539893970776,-0.010752688172043012,0.065,FALSE,999,estimated,dbmem_connectivity,Asia,unfiltered,zero_truncated
zero_residual,1599.3272958494965,94,94,987,-0.02672038868144839,-0.010752688172043012,0.706,FALSE,999,estimated,dbmem_connectivity,Asia,residual,zero_truncated
signed_balance,1178.1024675848141,32,32,297,-0.06208180465118859,-0.03225806451612903,0.921,FALSE,999,estimated,dbmem_connectivity,Oceania,unfiltered,signed
signed_residual,1178.1024675848141,32,32,297,-0.05666559650204813,-0.03225806451612903,0.866,FALSE,999,estimated,dbmem_connectivity,Oceania,residual,signed
zero_balance,1178.1024675848141,32,32,297,-0.05047445713843929,-0.03225806451612903,0.763,FALSE,999,estimated,dbmem_connectivity,Oceania,unfiltered,zero_truncated
zero_residual,1178.1024675848141,32,32,297,-0.04800668265694965,-0.03225806451612903,0.719,FALSE,999,estimated,dbmem_connectivity,Oceania,residual,zero_truncated
