sensitivity_type,omitted_group,distance_km,repetition,aggregation_level,profile,importance_balance,n_records,n_strata,weight_sum,region,climatezone,ranking,unthinned_balance,absolute_deviation
unthinned,NA,NA,NA,overall,signed,-0.2831586544625833,1098,39,483.554,All,All,climate,-0.2831586544625833,0
unthinned,NA,NA,NA,region,signed,-0.36401346480067853,94,10,37.728,Asia,All,climate,-0.36401346480067853,0
unthinned,NA,NA,NA,region,signed,-0.2917575194770737,366,7,165.836,Europe,All,climate,-0.2917575194770737,0
unthinned,NA,NA,NA,region,signed,-0.33702578705900965,70,7,31.605,Latin America,All,climate,-0.33702578705900965,0
unthinned,NA,NA,NA,region,signed,-0.25809641479910733,536,8,233.906,North America,All,climate,-0.25809641479910733,0
unthinned,NA,NA,NA,region,signed,-0.26128185648180124,32,7,14.479,Oceania,All,climate,-0.26128185648180124,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.3649708360337006,18,1,6.172,Asia,Arid,climate,-0.3649708360337006,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.5931665649786455,4,1,1.639,Asia,Cold_Dry_Summer,climate,-0.5931665649786455,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.3860237682594702,21,1,8.078,Asia,Cold_Dry_Winter,climate,-0.3860237682594702,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.5073347662547018,8,1,3.722,Asia,Cold_Without_dry_season_Cold_Summer,climate,-0.5073347662547018,0
unthinned,NA,NA,NA,region_climatezone,signed,0.16045627376425856,1,1,0.263,Asia,Cold_Without_dry_season_Hot_Summer,human,0.16045627376425856,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.41254848719937937,13,1,5.156,Asia,Cold_Without_dry_season_Warm_Summer,climate,-0.41254848719937937,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.3160415610745058,10,1,3.9459999999999997,Asia,Polar,climate,-0.3160415610745058,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.3458020050125313,4,1,1.596,Asia,Temperate_Dry_Summer,climate,-0.3458020050125313,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.044285714285714275,7,1,3.15,Asia,Temperate_Dry_Winter,climate,-0.044285714285714275,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.3691213180229655,8,1,4.006,Asia,Temperate_Without_dry_season,climate,-0.3691213180229655,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.5403057419835944,7,1,2.682,Europe,Arid,climate,-0.5403057419835944,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.5421245421245421,1,1,0.546,Europe,Cold_Dry_Summer,climate,-0.5421245421245421,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.3158885412303826,90,1,40.589,Europe,Cold_Without_dry_season_Cold_Summer,climate,-0.3158885412303826,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.30475901206937894,140,1,62.555,Europe,Cold_Without_dry_season_Warm_Summer,climate,-0.30475901206937894,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.2810317833098481,29,1,12.774000000000001,Europe,Polar,climate,-0.2810317833098481,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.3462449255751015,14,1,5.912,Europe,Temperate_Dry_Summer,climate,-0.3462449255751015,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.2235543675511305,85,1,40.778,Europe,Temperate_Without_dry_season,climate,-0.2235543675511305,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.20252690687880207,5,1,2.137,Latin America,Arid,climate,-0.20252690687880207,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.31910739191073917,2,1,0.717,Latin America,Cold_Dry_Summer,climate,-0.31910739191073917,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.4060151802656547,23,1,10.54,Latin America,Polar,climate,-0.4060151802656547,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.5460759493670886,8,1,3.16,Latin America,Temperate_Dry_Summer,climate,-0.5460759493670886,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.21195542046605878,2,1,0.987,Latin America,Temperate_Dry_Winter,climate,-0.21195542046605878,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.34384168704156487,15,1,6.544,Latin America,Temperate_Without_dry_season,climate,-0.34384168704156487,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.20289893617021273,15,1,7.5200000000000005,Latin America,Tropical,climate,-0.20289893617021273,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.09695403359793242,17,1,5.417,North America,Arid,climate,-0.09695403359793242,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.19629223562244594,49,1,20.066,North America,Cold_Dry_Summer,climate,-0.19629223562244594,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.3209002701449831,136,1,62.559,North America,Cold_Without_dry_season_Cold_Summer,climate,-0.3209002701449831,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.258062029563798,52,1,22.054,North America,Cold_Without_dry_season_Hot_Summer,climate,-0.258062029563798,0
