region,age,predictor,Unique,Average.share,Individual,I.perc(%),model_profile
Europe,2000,human,0.0047,-0.0012000000000000001,0.0035,3.65,human_climate
Europe,2000,climate,0.0936,-0.0012000000000000066,0.0924,96.25,human_climate
Europe,2000,human,0.0028,2.000000000000001e-4,0.003,1.67,human_climate_space
Europe,2000,climate,0.0529,0.019599999999999992,0.0725,40.28,human_climate_space
Europe,2000,space,0.0843,0.0203,0.1046,58.11,human_climate_space
Europe,2500,human,0.0067,-0.0026,0.0041,4.94,human_climate
Europe,2500,climate,0.0817,-0.002599999999999991,0.0791,95.3,human_climate
Europe,2500,human,0.0019,6.000000000000001e-4,0.0025,1.44,human_climate_space
Europe,2500,climate,0.066,0.0059999999999999915,0.072,41.38,human_climate_space
Europe,2500,space,0.0907,0.0087,0.0994,57.13,human_climate_space
Europe,3000,human,7e-4,0.005,0.0057,8.91,human_climate
Europe,3000,climate,0.0532,0.0050000000000000044,0.0582,90.94,human_climate
Europe,3000,human,0.0121,5.000000000000004e-4,0.0126,7.97,human_climate_space
Europe,3000,climate,0.0348,0.015400000000000004,0.0502,31.77,human_climate_space
Europe,3000,space,0.0937,0.0010000000000000009,0.0947,59.94,human_climate_space
Europe,3500,human,0.0136,0.006400000000000001,0.02,28.17,human_climate
Europe,3500,climate,0.0448,0.0063,0.0511,71.97,human_climate
Europe,3500,human,0.0119,0.0057,0.0176,8.76,human_climate_space
Europe,3500,climate,0.0522,0.0010999999999999968,0.0533,26.52,human_climate_space
Europe,3500,space,0.13,2.0000000000000573e-4,0.1302,64.78,human_climate_space
Europe,4000,human,-7e-4,0.0064,0.0057,6.79,human_climate
Europe,4000,climate,0.0724,0.0063,0.0787,93.69,human_climate
Europe,4000,human,0.0059,0.0030999999999999995,0.009,4.57,human_climate_space
Europe,4000,climate,0.0497,0.0177,0.0674,34.21,human_climate_space
Europe,4000,space,0.1126,0.007999999999999993,0.1206,61.22,human_climate_space
Europe,4500,human,-6e-4,0.0034,0.0028,3.33,human_climate
Europe,4500,climate,0.0776,0.0034000000000000002,0.081,96.43,human_climate
Europe,4500,human,-0.0012,0.0034000000000000002,0.0022,1.15,human_climate_space
Europe,4500,climate,0.0787,0.002599999999999991,0.0813,42.34,human_climate_space
Europe,4500,space,0.1083,1.0000000000000286e-4,0.1084,56.46,human_climate_space
Europe,5000,human,4e-4,0.0040999999999999995,0.0045,6.52,human_climate
Europe,5000,climate,0.0604,0.0040999999999999995,0.0645,93.48,human_climate
Europe,5000,human,-2e-4,0.0032,0.003,1.84,human_climate_space
Europe,5000,climate,0.0505,0.007899999999999997,0.0584,35.83,human_climate_space
Europe,5000,space,0.094,0.007599999999999996,0.1016,62.33,human_climate_space
Europe,5500,human,0.0016,-0.001,6e-4,0.69,human_climate
Europe,5500,climate,0.0878,-0.0010000000000000009,0.0868,99.77,human_climate
Europe,5500,human,0.0011,-2.000000000000001e-4,9e-4,0.43,human_climate_space
Europe,5500,climate,0.0594,0.0138,0.0732,34.86,human_climate_space
Europe,5500,space,0.1226,0.013299999999999992,0.1359,64.71,human_climate_space
Europe,6000,human,0.0076,0.0041,0.0117,14.27,human_climate
Europe,6000,climate,0.0666,0.00399999999999999,0.0706,86.1,human_climate
Europe,6000,human,0.0176,-2.0000000000000226e-4,0.0174,9.35,human_climate_space
Europe,6000,climate,0.0548,0.010700000000000001,0.0655,35.22,human_climate_space
Europe,6000,space,0.1037,-6.000000000000033e-4,0.1031,55.43,human_climate_space
Europe,6500,human,0.0167,0.0127,0.0294,34.19,human_climate
Europe,6500,climate,0.044,0.012700000000000003,0.0567,65.93,human_climate
Europe,6500,human,0.0236,0.007700000000000002,0.0313,17.39,human_climate_space
Europe,6500,climate,0.0315,0.0174,0.0489,27.17,human_climate_space
Europe,6500,space,0.0936,0.0058,0.0994,55.22,human_climate_space
Europe,7000,human,0.0077,0.009800000000000001,0.0175,20.35,human_climate
Europe,7000,climate,0.0589,0.009799999999999996,0.0687,79.88,human_climate
Europe,7000,human,-7e-4,0.011999999999999999,0.0113,6.01,human_climate_space
Europe,7000,climate,0.0438,0.015400000000000004,0.0592,31.49,human_climate_space
Europe,7000,space,0.1014,0.015799999999999995,0.1172,62.34,human_climate_space
Europe,7500,human,0.0431,0.0116,0.0547,45.97,human_climate
Europe,7500,climate,0.0524,0.011700000000000002,0.0641,53.87,human_climate
Europe,7500,human,0.0261,0.019099999999999995,0.0452,24.43,human_climate_space
Europe,7500,climate,0.048,0.012900000000000002,0.0609,32.92,human_climate_space
Europe,7500,space,0.0659,0.012700000000000003,0.0786,42.49,human_climate_space
Europe,8000,human,0.0165,-0.0011000000000000003,0.0154,16.38,human_climate
Europe,8000,climate,0.0794,-0.0010000000000000009,0.0784,83.4,human_climate
Europe,8000,human,0.0171,-0.0011000000000000003,0.016,9.3,human_climate_space
Europe,8000,climate,0.0704,0.003699999999999995,0.0741,43.08,human_climate_space
Europe,8000,space,0.0784,0.003799999999999998,0.0822,47.79,human_climate_space
Europe,8500,human,0.0029,0.006,0.0089,11.41,human_climate
Europe,8500,climate,0.0626,0.0059999999999999915,0.0686,87.95,human_climate
Europe,8500,human,0.0032,0.006200000000000001,0.0094,6.31,human_climate_space
Europe,8500,climate,0.0614,0.006999999999999999,0.0684,45.91,human_climate_space
Europe,8500,space,0.0714,-2.0000000000000573e-4,0.0712,47.79,human_climate_space
North America,2000,human,0.0024,0.0030000000000000005,0.0054,5.24,human_climate
North America,2000,climate,0.0949,0.0030000000000000027,0.0979,95.05,human_climate
North America,2000,human,3e-4,0.0035,0.0038,1.81,human_climate_space
North America,2000,climate,0.0139,0.043,0.0569,27.1,human_climate_space
North America,2000,space,0.1069,0.04250000000000001,0.1494,71.14,human_climate_space
North America,2500,human,0.0078,4.0000000000000105e-4,0.0082,7.52,human_climate
North America,2500,climate,0.1,3.999999999999976e-4,0.1004,92.11,human_climate
North America,2500,human,0.0051,0.0015999999999999999,0.0067,3.03,human_climate_space
North America,2500,climate,0.0199,0.040299999999999996,0.0602,27.24,human_climate_space
North America,2500,space,0.1127,0.041800000000000004,0.1545,69.91,human_climate_space
North America,3000,human,0.01,9.999999999999992e-4,0.011,9.65,human_climate
North America,3000,climate,0.1022,0.0011000000000000038,0.1033,90.61,human_climate
North America,3000,human,0.0048,0.003100000000000001,0.0079,3.74,human_climate_space
North America,3000,climate,0.0177,0.0428,0.0605,28.67,human_climate_space
North America,3000,space,0.097,0.045899999999999996,0.1429,67.73,human_climate_space
North America,3500,human,0.0024,0.0014000000000000002,0.0038,3.65,human_climate
North America,3500,climate,0.0988,0.0013999999999999985,0.1002,96.35,human_climate
North America,3500,human,8e-4,0.0017000000000000001,0.0025,1.14,human_climate_space
North America,3500,climate,0.0215,0.0395,0.061,27.73,human_climate_space
North America,3500,space,0.1162,0.04039999999999999,0.1566,71.18,human_climate_space
North America,4000,human,0.007,0.0033,0.0103,10.51,human_climate
North America,4000,climate,0.0846,0.0033000000000000113,0.0879,89.69,human_climate
North America,4000,human,0.006,0.0026,0.0086,4.55,human_climate_space
North America,4000,climate,0.0148,0.037,0.0518,27.41,human_climate_space
North America,4000,space,0.091,0.0378,0.1288,68.15,human_climate_space
North America,4500,human,0.0079,0.001299999999999999,0.0092,8.6,human_climate
North America,4500,climate,0.0968,0.0013999999999999985,0.0982,91.78,human_climate
North America,4500,human,0.0067,0.0012000000000000005,0.0079,3.67,human_climate_space
North America,4500,climate,0.0163,0.040900000000000006,0.0572,26.6,human_climate_space
North America,4500,space,0.1073,0.042300000000000004,0.1496,69.58,human_climate_space
North America,5000,human,0.0064,2.999999999999999e-4,0.0067,6.2,human_climate
North America,5000,climate,0.1008,2.999999999999947e-4,0.1011,93.61,human_climate
North America,5000,human,0.0032,0.0015999999999999994,0.0048,2.38,human_climate_space
North America,5000,climate,0.0167,0.042,0.0587,29.06,human_climate_space
North America,5000,space,0.094,0.044300000000000006,0.1383,68.47,human_climate_space
North America,5500,human,0.0111,2.999999999999999e-4,0.0114,11.63,human_climate
North America,5500,climate,0.0867,2.999999999999947e-4,0.087,88.78,human_climate
North America,5500,human,0.0122,-6.000000000000016e-4,0.0116,5.83,human_climate_space
North America,5500,climate,0.0167,0.035,0.0517,25.98,human_climate_space
North America,5500,space,0.1008,0.03509999999999999,0.1359,68.29,human_climate_space
North America,6000,human,0.0117,8.000000000000004e-4,0.0125,11.79,human_climate
North America,6000,climate,0.0922,8.99999999999998e-4,0.0931,87.83,human_climate
North America,6000,human,0.0128,-1.0000000000000113e-4,0.0127,6.2,human_climate_space
North America,6000,climate,0.0152,0.039,0.0542,26.44,human_climate_space
North America,6000,space,0.0996,0.038599999999999995,0.1382,67.41,human_climate_space
North America,6500,human,0.0093,-9.99999999999994e-5,0.0092,8.85,human_climate
North America,6500,climate,0.0945,-1.0000000000000286e-4,0.0944,90.77,human_climate
North America,6500,human,0.0077,6.999999999999992e-4,0.0084,3.8,human_climate_space
North America,6500,climate,0.0211,0.0366,0.0577,26.11,human_climate_space
North America,6500,space,0.1171,0.03749999999999999,0.1546,69.95,human_climate_space
North America,7000,human,0.0107,0.0014000000000000002,0.0121,11.42,human_climate
North America,7000,climate,0.0925,0.0012999999999999956,0.0938,88.49,human_climate
North America,7000,human,0.0092,0.0017000000000000001,0.0109,4.89,human_climate_space
North America,7000,climate,0.027,0.033699999999999994,0.0607,27.22,human_climate_space
North America,7000,space,0.1169,0.03420000000000001,0.1511,67.76,human_climate_space
North America,7500,human,0.0101,0.0018000000000000013,0.0119,11.44,human_climate
North America,7500,climate,0.0907,0.0016999999999999932,0.0924,88.85,human_climate
North America,7500,human,0.0077,0.0020999999999999994,0.0098,4.78,human_climate_space
North America,7500,climate,0.0334,0.0295,0.0629,30.68,human_climate_space
North America,7500,space,0.1009,0.031499999999999986,0.1324,64.59,human_climate_space
North America,8000,human,0.0078,-0.0011999999999999997,0.0066,5.28,human_climate
North America,8000,climate,0.1195,-0.0011999999999999927,0.1183,94.64,human_climate
North America,8000,human,0.0083,-7.000000000000001e-4,0.0076,3.52,human_climate_space
North America,8000,climate,0.0423,0.0381,0.0804,37.22,human_climate_space
North America,8000,space,0.0914,0.0369,0.1283,59.4,human_climate_space
North America,8500,human,0.0042,5.999999999999998e-4,0.0048,4,human_climate
North America,8500,climate,0.1145,5.999999999999894e-4,0.1151,95.92,human_climate
North America,8500,human,0.0028,0.0016999999999999997,0.0045,1.96,human_climate_space
North America,8500,climate,0.0284,0.044000000000000004,0.0724,31.48,human_climate_space
North America,8500,space,0.1105,0.04290000000000001,0.1534,66.7,human_climate_space
Latin America,2000,human,-0.0011,0.0041,0.003,1.96,human_climate
Latin America,2000,climate,0.1454,0.004200000000000009,0.1496,97.78,human_climate
Latin America,2000,human,8e-4,0.003999999999999999,0.0048,2.86,human_climate_space
Latin America,2000,climate,0.1257,0.014899999999999997,0.1406,83.69,human_climate_space
Latin America,2000,space,0.0156,0.0072000000000000015,0.0228,13.57,human_climate_space
Latin America,2500,human,-5e-4,0.007299999999999999,0.0068,4.47,human_climate
Latin America,2500,climate,0.1381,0.007200000000000012,0.1453,95.59,human_climate
Latin America,3000,human,0.0156,-0.0066,0.009,4.66,human_climate
Latin America,3000,climate,0.1903,-0.006599999999999995,0.1837,95.18,human_climate
Latin America,3000,human,0.0256,-0.011700000000000002,0.0139,6.5,human_climate_space
Latin America,3000,climate,0.1867,-0.0049000000000000155,0.1818,84.95,human_climate_space
Latin America,3000,space,0.0207,-0.0029,0.0178,8.32,human_climate_space
Latin America,4000,human,0.0389,-0.011899999999999997,0.027,12.39,human_climate
Latin America,4000,climate,0.2032,-0.011899999999999994,0.1913,87.75,human_climate
Latin America,4000,human,0.0407,-0.0133,0.0274,12.29,human_climate_space
Latin America,4000,climate,0.2092,-0.015399999999999997,0.1938,86.91,human_climate_space
Latin America,4000,space,0.0044,-0.0028000000000000004,0.0016,0.72,human_climate_space
Latin America,4500,human,0.0212,-0.005500000000000001,0.0157,7.97,human_climate
Latin America,4500,climate,0.187,-0.005399999999999988,0.1816,92.18,human_climate
Latin America,5000,human,0.0388,-0.013600000000000001,0.0252,12.17,human_climate
Latin America,5000,climate,0.1957,-0.013600000000000001,0.1821,87.97,human_climate
Latin America,5000,human,0.0214,-0.0022000000000000006,0.0192,8.07,human_climate_space
Latin America,5000,climate,0.1147,0.029600000000000015,0.1443,60.63,human_climate_space
Latin America,5000,space,0.0309,0.043800000000000006,0.0747,31.39,human_climate_space
Latin America,5500,human,0.0135,-0.0040999999999999995,0.0094,5.28,human_climate
Latin America,5500,climate,0.1725,-0.0040999999999999925,0.1684,94.61,human_climate
Latin America,6000,human,0.016,-0.006400000000000001,0.0096,5.82,human_climate
Latin America,6000,climate,0.162,-0.0063,0.1557,94.36,human_climate
Latin America,6500,human,-0.0045,9.99999999999994e-5,-0.0044,-2.77,human_climate
Latin America,6500,climate,0.1629,1.0000000000001674e-4,0.163,102.52,human_climate
Latin America,7000,human,0.0025,0.0039000000000000003,0.0064,5,human_climate
Latin America,7000,climate,0.1181,0.0039000000000000007,0.122,95.31,human_climate
Latin America,7500,human,0.0136,-0.0070999999999999995,0.0065,4.17,human_climate
Latin America,7500,climate,0.1567,-0.007200000000000012,0.1495,95.83,human_climate
