region,age,human_climate_human,human_climate_climate,human_climate_space_human,human_climate_space_climate,baseline_balance,spatial_balance,baseline_ranking,spatial_ranking,ranking_changed,status,n_selected
Europe,2000,0.0035,0.0924,0.003,0.0725,-0.08889999999999999,-0.06949999999999999,climate,climate,FALSE,spatial_model_estimated,7
Europe,2500,0.0041,0.0791,0.0025,0.072,-0.075,-0.06949999999999999,climate,climate,FALSE,spatial_model_estimated,8
Europe,3000,0.0057,0.0582,0.0126,0.0502,-0.052500000000000005,-0.0376,climate,climate,FALSE,spatial_model_estimated,8
Europe,3500,0.02,0.0511,0.0176,0.0533,-0.0311,-0.035699999999999996,climate,climate,FALSE,spatial_model_estimated,8
Europe,4000,0.0057,0.0787,0.009,0.0674,-0.07300000000000001,-0.0584,climate,climate,FALSE,spatial_model_estimated,12
Europe,4500,0.0028,0.081,0.0022,0.0813,-0.0782,-0.0791,climate,climate,FALSE,spatial_model_estimated,11
Europe,5000,0.0045,0.0645,0.003,0.0584,-0.060000000000000005,-0.0554,climate,climate,FALSE,spatial_model_estimated,8
Europe,5500,6e-4,0.0868,9e-4,0.0732,-0.0862,-0.0723,climate,climate,FALSE,spatial_model_estimated,13
Europe,6000,0.0117,0.0706,0.0174,0.0655,-0.058899999999999994,-0.048100000000000004,climate,climate,FALSE,spatial_model_estimated,6
Europe,6500,0.0294,0.0567,0.0313,0.0489,-0.0273,-0.017599999999999998,climate,climate,FALSE,spatial_model_estimated,7
Europe,7000,0.0175,0.0687,0.0113,0.0592,-0.051199999999999996,-0.047900000000000005,climate,climate,FALSE,spatial_model_estimated,6
Europe,7500,0.0547,0.0641,0.0452,0.0609,-0.009400000000000006,-0.015700000000000006,climate,climate,FALSE,spatial_model_estimated,6
Europe,8000,0.0154,0.0784,0.016,0.0741,-0.063,-0.0581,climate,climate,FALSE,spatial_model_estimated,8
Europe,8500,0.0089,0.0686,0.0094,0.0684,-0.059699999999999996,-0.059000000000000004,climate,climate,FALSE,spatial_model_estimated,4
North America,2000,0.0054,0.0979,0.0038,0.0569,-0.0925,-0.0531,climate,climate,FALSE,spatial_model_estimated,7
North America,2500,0.0082,0.1004,0.0067,0.0602,-0.0922,-0.0535,climate,climate,FALSE,spatial_model_estimated,6
North America,3000,0.011,0.1033,0.0079,0.0605,-0.09230000000000001,-0.052599999999999994,climate,climate,FALSE,spatial_model_estimated,7
North America,3500,0.0038,0.1002,0.0025,0.061,-0.0964,-0.058499999999999996,climate,climate,FALSE,spatial_model_estimated,5
North America,4000,0.0103,0.0879,0.0086,0.0518,-0.0776,-0.0432,climate,climate,FALSE,spatial_model_estimated,5
North America,4500,0.0092,0.0982,0.0079,0.0572,-0.089,-0.0493,climate,climate,FALSE,spatial_model_estimated,6
North America,5000,0.0067,0.1011,0.0048,0.0587,-0.0944,-0.053900000000000003,climate,climate,FALSE,spatial_model_estimated,5
