dataset_id,analysis,predictor,Unique,Average.share,Individual,I.perc(%),model_profile,total_adjusted_r_squared
46516,spatial_spd,human,-0.0211,0.0379,0.0168,6.15,human_climate,0.273
46516,spatial_spd,climate,0.2182,0.03789999999999999,0.2561,93.81,human_climate,0.273
46516,spatial_spd,human,-0.0502,0.0411,-0.0091,-2,human_climate_time,0.456
46516,spatial_spd,climate,0.1563,0.057499999999999996,0.2138,46.89,human_climate_time,0.456
46516,spatial_spd,time,0.1834,0.06829999999999997,0.2517,55.2,human_climate_time,0.456
26606,spatial_spd,human,0.0649,0.13740000000000002,0.2023,30.1,human_climate,0.672
26606,spatial_spd,climate,0.3319,0.1375,0.4694,69.85,human_climate,0.672
26606,spatial_spd,human,0.0549,0.08399999999999999,0.1389,19.7,human_climate_time,0.705
26606,spatial_spd,climate,0.2129,0.13849999999999998,0.3514,49.84,human_climate_time,0.705
26606,spatial_spd,time,0.0333,0.1814,0.2147,30.45,human_climate_time,0.705
22322,spatial_spd,human,-0.1092,0.03180000000000001,-0.0774,85.05,human_climate,-0.091
22322,spatial_spd,climate,-0.0457,0.031799999999999995,-0.0139,15.27,human_climate,-0.091
22322,spatial_spd,human,-0.0904,0.0194,-0.071,1014.29,human_climate_time,-0.007
22322,spatial_spd,climate,-0.1245,0.0683,-0.0562,802.86,human_climate_time,-0.007
22322,spatial_spd,time,0.0841,0.03580000000000001,0.1199,-1712.86,human_climate_time,-0.007
48966,spatial_spd,human,-0.0411,0.028199999999999996,-0.0129,-2.55,human_climate,0.505
48966,spatial_spd,climate,0.4899,0.028299999999999992,0.5182,102.61,human_climate,0.505
48966,spatial_spd,human,-0.0308,0.0297,-0.0011,-0.18,human_climate_time,0.621
48966,spatial_spd,climate,0.1248,0.2174,0.3422,55.1,human_climate_time,0.621
48966,spatial_spd,time,0.1156,0.16410000000000002,0.2797,45.04,human_climate_time,0.621
3565,spatial_spd,human,0.0334,-9.999999999999593e-5,0.0333,4.27,human_climate,0.78
3565,spatial_spd,climate,0.7474,-1.9999999999997797e-4,0.7472,95.79,human_climate,0.78
3565,spatial_spd,human,0.0134,0.0515,0.0649,8.32,human_climate_time,0.78
3565,spatial_spd,climate,0.2188,0.30579999999999996,0.5246,67.26,human_climate_time,0.78
3565,spatial_spd,time,-2e-4,0.19090000000000001,0.1907,24.45,human_climate_time,0.78
3032,spatial_spd,human,0.021,0.1454,0.1664,52.66,human_climate,0.316
3032,spatial_spd,climate,0.0039,0.1454,0.1493,47.25,human_climate,0.316
3032,spatial_spd,human,0.1179,0.037000000000000005,0.1549,27.81,human_climate_time,0.557
3032,spatial_spd,climate,-8e-4,0.08789999999999999,0.0871,15.64,human_climate_time,0.557
3032,spatial_spd,time,0.2409,0.07369999999999999,0.3146,56.48,human_climate_time,0.557
4383,spatial_spd,human,0.1574,-0.026100000000000012,0.1313,142.72,human_climate,0.092
4383,spatial_spd,climate,-0.013,-0.026100000000000005,-0.0391,-42.5,human_climate,0.092
4383,spatial_spd,human,0.1521,-0.0121,0.14,19.13,human_climate_time,0.732
4383,spatial_spd,climate,0.4747,-0.2585,0.2162,29.54,human_climate_time,0.732
4383,spatial_spd,time,0.6392,-0.26389999999999997,0.3753,51.27,human_climate_time,0.732
45377,spatial_spd,human,0.0507,0.019200000000000002,0.0699,27.09,human_climate,0.258
45377,spatial_spd,climate,0.1692,0.019200000000000023,0.1884,73.02,human_climate,0.258
45377,spatial_spd,human,-0.0597,0.0879,0.0282,10.33,human_climate_time,0.273
45377,spatial_spd,climate,0.1437,0.045399999999999996,0.1891,69.27,human_climate_time,0.273
45377,spatial_spd,time,0.0151,0.040999999999999995,0.0561,20.55,human_climate_time,0.273
236,spatial_spd,human,-0.022,0.0337,0.0117,4.15,human_climate,0.282
236,spatial_spd,climate,0.237,0.03370000000000001,0.2707,95.99,human_climate,0.282
236,spatial_spd,human,0.1193,-0.0762,0.0431,8,human_climate_time,0.539
236,spatial_spd,climate,0.4095,-0.09179999999999999,0.3177,58.94,human_climate_time,0.539
236,spatial_spd,time,0.2564,-0.07840000000000003,0.178,33.02,human_climate_time,0.539
4170,spatial_spd,human,-0.0026,-0.023100000000000002,-0.0257,-5.2,human_climate,0.494
4170,spatial_spd,climate,0.5425,-0.0232,0.5193,105.12,human_climate,0.494
4170,spatial_spd,human,-0.0012,-0.0195,-0.0207,-4.55,human_climate_time,0.455
4170,spatial_spd,climate,0.066,0.21939999999999998,0.2854,62.73,human_climate_time,0.455
4170,spatial_spd,time,-0.0388,0.229,0.1902,41.8,human_climate_time,0.455
25372,spatial_spd,human,0.1091,-0.0218,0.0873,18.69,human_climate,0.467
25372,spatial_spd,climate,0.401,-0.021699999999999997,0.3793,81.22,human_climate,0.467
25372,spatial_spd,human,0.0153,0.0293,0.0446,7.17,human_climate_time,0.622
25372,spatial_spd,climate,0.0833,0.14140000000000003,0.2247,36.13,human_climate_time,0.622
25372,spatial_spd,time,0.1554,0.19720000000000001,0.3526,56.69,human_climate_time,0.622
46544,spatial_spd,human,0.0421,-0.0213,0.0208,5.23,human_climate,0.398
46544,spatial_spd,climate,0.3985,-0.02130000000000004,0.3772,94.77,human_climate,0.398
46544,spatial_spd,human,0.1195,-0.0686,0.0509,8.98,human_climate_time,0.567
46544,spatial_spd,climate,0.3235,0.007599999999999996,0.3311,58.4,human_climate_time,0.567
46544,spatial_spd,time,0.1686,0.015999999999999986,0.1846,32.56,human_climate_time,0.567
982,spatial_spd,human,0.0146,0.053900000000000003,0.0685,15.6,human_climate,0.439
982,spatial_spd,climate,0.317,0.053900000000000003,0.3709,84.49,human_climate,0.439
982,spatial_spd,human,0.0043,0.0465,0.0508,9.36,human_climate_time,0.543
982,spatial_spd,climate,0.0149,0.19240000000000002,0.2073,38.18,human_climate_time,0.543
982,spatial_spd,time,0.1039,0.18130000000000002,0.2852,52.52,human_climate_time,0.543
26448,spatial_spd,human,0.0211,0.10399999999999998,0.1251,32.83,human_climate,0.381
26448,spatial_spd,climate,0.1518,0.10389999999999999,0.2557,67.11,human_climate,0.381
26448,spatial_spd,human,0.0615,0.058300000000000005,0.1198,18.9,human_climate_time,0.634
26448,spatial_spd,climate,0.054,0.1273,0.1813,28.6,human_climate_time,0.634
26448,spatial_spd,time,0.2528,0.07979999999999998,0.3326,52.46,human_climate_time,0.634
4042,spatial_spd,human,0.4394,-0.04139999999999999,0.398,63.28,human_climate,0.629
4042,spatial_spd,climate,0.2723,-0.04139999999999999,0.2309,36.71,human_climate,0.629
4042,spatial_spd,human,0.0075,0.20099999999999998,0.2085,28.1,human_climate_time,0.742
4042,spatial_spd,climate,0.1325,0.05499999999999999,0.1875,25.27,human_climate_time,0.742
4042,spatial_spd,time,0.1134,0.2329,0.3463,46.67,human_climate_time,0.742
3487,spatial_spd,human,-0.0519,0.0104,-0.0415,-15.15,human_climate,0.274
3487,spatial_spd,climate,0.3056,0.01040000000000002,0.316,115.33,human_climate,0.274
3487,spatial_spd,human,-0.0507,0.0121,-0.0386,-13,human_climate_time,0.297
3487,spatial_spd,climate,-0.0108,0.171,0.1602,53.94,human_climate_time,0.297
3487,spatial_spd,time,0.0221,0.15289999999999998,0.175,58.92,human_climate_time,0.297
21675,spatial_spd,human,0.2097,0.12280000000000002,0.3325,57.73,human_climate,0.576
21675,spatial_spd,climate,0.1204,0.1228,0.2432,42.22,human_climate,0.576
21675,spatial_spd,human,-0.0194,0.2164,0.197,29.85,human_climate_time,0.66
21675,spatial_spd,climate,0.0056,0.1593,0.1649,24.98,human_climate_time,0.66
21675,spatial_spd,time,0.0843,0.2138,0.2981,45.17,human_climate_time,0.66
26499,spatial_spd,human,0.082,0.06019999999999999,0.1422,82.2,human_climate,0.173
26499,spatial_spd,climate,-0.0296,0.060200000000000004,0.0306,17.69,human_climate,0.173
26499,spatial_spd,human,0.0879,0.052199999999999996,0.1401,97.97,human_climate_time,0.143
26499,spatial_spd,climate,-0.0864,0.0835,-0.0029,-2.03,human_climate_time,0.143
26499,spatial_spd,time,-0.0296,0.035500000000000004,0.0059,4.13,human_climate_time,0.143
24840,spatial_spd,human,0.4007,-0.06619999999999998,0.3345,80.8,human_climate,0.414
24840,spatial_spd,climate,0.1459,-0.0661,0.0798,19.28,human_climate,0.414
24840,spatial_spd,human,0.0888,0.12879999999999997,0.2176,44.96,human_climate_time,0.484
24840,spatial_spd,climate,-0.0293,0.0605,0.0312,6.45,human_climate_time,0.484
24840,spatial_spd,time,0.0694,0.16549999999999998,0.2349,48.53,human_climate_time,0.484
2395,spatial_spd,human,0.0562,0.10869999999999999,0.1649,75.3,human_climate,0.219
2395,spatial_spd,climate,-0.0546,0.1087,0.0541,24.7,human_climate,0.219
2395,spatial_spd,human,-0.0921,0.16110000000000002,0.069,20.97,human_climate_time,0.329
